,name,details
0,"株式会社　アットプラス
代表者: 田名部　智之","〒034-0003
十和田市元町東３丁目２－３６
TEL: 0176-22-3949"
1,"株式会社　アットプラス
八戸店
代表者: 田名部　智之","〒039-1103
八戸市長苗代３丁目２２－３２－１
TEL: 0178-28-6411"
2,"株式会社　アットプラス
青森店
代表者: 田名部　智之","〒030-0944
青森市筒井１丁目１１－１０
TEL: 017-752-0539"
3,"アップル不動産
代表者: 須藤　雅美","〒036-0316
黒石市ぐみの木１丁目４
TEL: 0172-26-6185"
4,"有限会社　愛信不動産
代表者: 小林　誠","〒030-0963
青森市中佃２丁目２４－１
TEL: 017-765-2660
Mail: aisin-2103@palette.plala.or.jp"
5,"あい不動産
代表者: 大澤　世津子","〒031-0803
八戸市諏訪３丁目２－２１
TEL: 0178-22-1888"
6,"株式会社　アシスト企画
代表者: 佐々木　秀明","〒031-0011
八戸市田向３丁目３－２４
TEL: 0178-38-7408"
7,"株式会社　アベシステム
代表者: 阿部　和房","〒039-2401
上北郡東北町大字上野字大長根１５０－３
TEL: 0176-56-5091"
8,"泉不動産　株式会社
代表者: 齊藤　淑人","〒037-0017
五所川原市大字漆川字鍋懸１８９－１
TEL: 0173-26-1099"
9,"イマジン　株式会社
代表者: 野崎　嵩","〒036-8182
弘前市大字土手町１２６
TEL: 0172-34-6150"
10,"いまむら不動産
代表者: 今村　龍男","〒031-0001
八戸市類家５丁目２１－２３
TEL: 0178-24-5662"
11,"有限会社　岩谷建設
代表者: 岩谷　清美","〒038-2502
西津軽郡深浦町大字岩坂字長谷野１７－７
TEL: 0173-76-3405"
12,"有限会社　ＡＢＣ不動産
代表者: 藤森　直宏","〒030-0822
青森市中央１丁目２６－２
TEL: 017-774-6820"
13,"英隆商事　株式会社
代表者: 野崎　小五郎","〒030-0801
青森市新町２丁目２－１協働社ビル
TEL: 017-723-9567"
14,"エステートリビング　株式会社
代表者: 河野　通信","〒031-0814
八戸市大字妙字大開８５－２４
TEL: 0178-30-1818"
15,"有限会社　Ｎ．Ｓ．ホールディングス
代表者: 瀬田石　昇","〒036-8123
弘前市大字小金崎１丁目１－１
TEL: 0172-44-0001"
16,"株式会社　オーエスアドバンス
代表者: 伊賀　明廣","〒039-1165
八戸市石堂４丁目３－８
TEL: 0178-70-5720"
17,"株式会社　ＯＴＫ
代表者: 新井山　貴之","〒033-0071
上北郡六戸町大字犬落瀬字坪毛沢４８２
TEL: 0176-51-5156"
18,"株式会社　ＯＴＫ
三沢支店
代表者: 新井山　貴之","〒033-0012
三沢市平畑１丁目２－１０
TEL: 0176-51-6324"
19,"株式会社　大山建工
代表者: 大山　重則","〒039-1502
三戸郡五戸町大字切谷内字淋代１４－１
TEL: 0178-68-3353
HP: https://www.ooyamano-ie.jp/
Mail: eigyo@ooyamano-ie.jp"
20,"株式会社　オハナ
代表者: 平尾　孝司","〒031-0072
八戸市城下４丁目９－２ナクイ理美容マート２Ｆ
TEL: 0178-80-7619"
21,"有限会社　角田建設
代表者: 角田　孝則","〒037-0525
北津軽郡中泊町大字小泊字鮫貝１１０－１０
TEL: 0173-64-2877"
22,"かしわや不動産
代表者: 小山内　修","〒038-3102
つがる市柏下古川鶴山８９－１０
TEL: 0173-33-1537"
23,"有限会社　カトウ不動産商事
代表者: 加藤　節子","〒030-0862
青森市古川２丁目１－１
TEL: 017-776-8481"
24,"有限会社　要建設
代表者: 吉田　真也","〒033-0034
三沢市東町４丁目５－８
TEL: 0176-51-2294"
25,"株式会社　カネヒロ
代表者: 小向　広一","〒039-2215
上北郡おいらせ町下屋敷９－１
TEL: 0178-52-2365"
26,"株式会社　アセットポケット
代表者: 伊藤　彰彦","〒034-0031
十和田市東三番町１０－１８－５
TEL: 0176-22-3940"
27,"株式会社　アテンド
代表者: 宮本　達人","〒030-0944
青森市大字筒井字八ツ橋１４０６－６２Ｆ
TEL: 017-718-5563"
28,"株式会社　キョウドウ
代表者: 澁谷　久人","〒036-1325
弘前市大字一町田字村元５２４－４
TEL: 0172-55-7231"
29,"株式会社　桑田
代表者: 桑田　信太郎","〒037-0053
五所川原市字布屋町１９－１６
TEL: 0173-34-2770"
30,"株式会社　ＣＯＣＯＬＥＡＰ
代表者: 吉﨑　裕祈","〒036-8087
弘前市大字早稲田１丁目１３－９早稲田一丁目事務所１０１号室
TEL: 0172-55-0714"
31,"株式会社　サカモト住建
代表者: 三上　亮人","〒037-0004
五所川原市大字唐笠柳字藤巻５２２－９
TEL: 0173-38-3393"
32,"株式会社　ＳＥＥＨＯ
代表者: 石動　龍","〒039-1166
八戸市根城７丁目４－３３１Ｆ
TEL: 0178-43-7131"
33,"株式会社　新菱不動産
代表者: 川原　実企男","〒030-0811
青森市青柳２丁目３－４
TEL: 017-752-0264"
34,"株式会社　ハウスリアルティ
代表者: 高村　光二","〒036-8004
弘前市大字大町３丁目１０－１
TEL: 0172-32-2028"
35,"株式会社　ハウスリアルティ
青森店
代表者: 高村　光二","〒030-0846
青森市青葉３丁目８－１０
TEL: 017-739-2888"
36,"株式会社　ハウスリアルティ
八戸店
代表者: 高村　光二","〒031-0072
八戸市城下１丁目３１－５１－Ｄ
TEL: 0178-38-5454"
37,"株式会社　フジケンザイ
代表者: 田中　周一","〒039-1166
八戸市大字根城西ノ沢３６
TEL: 0178-24-1236"
38,"株式会社　不動産ラボ
代表者: 大安　多華子","〒031-0011
八戸市田向５丁目２１－３
TEL: 0178-51-8262"
39,"株式会社　Ｖステージ
代表者: 小澤　陽介","〒030-0802
青森市本町２丁目１０－２０
TEL: 017-772-7995"
40,"株式会社　ミライズ不動産
代表者: 田中　周一","〒039-1166
八戸市根城８丁目１４－９
TEL: 0178-43-0915"
41,"株式会社　１ｍａｉｓｏｎ
代表者: 工藤　勇人","〒036-0111
平川市小和森上松岡１８－３
TEL: 050-1395-4658"
