,name,details
0,"アース開発　株式会社
代表者: 前﨑　一夫","〒321-0912
宇都宮市石井町３３１０－２
TEL: 028-688-8522"
1,"株式会社　あいる
代表者: 渡辺　尚子","〒324-0241
大田原市黒羽向町４９９ヒルトップC棟２０１
TEL: 0287-48-6201"
2,"有限会社　あおいハウジング
代表者: 嶋田　光章","〒320-0043
宇都宮市桜２丁目６－１４
TEL: 028-616-1201
HP: www.aoi-housing.com/
Mail: info@aoi-housing.com"
3,"株式会社　あおい不動産事務所
代表者: 東　聡","〒321-0139
宇都宮市若松原２丁目18-5
TEL: 028-689-9235"
4,"有限会社　ＡＯＫＩエージェンシー
代表者: 青木　浩司","〒320-0047
宇都宮市一の沢２丁目18-2
TEL: 028-600-6108"
5,"あかつきリビング　株式会社
代表者: 松嶋　典幸","〒329-0211
小山市暁３丁目４－１パールハイツ１０７
TEL: 0285-45-1327"
6,"株式会社　アガ設計工業
代表者: 小西　勝","〒320-0856
宇都宮市砥上町１６６３－１３
TEL: 028-647-1922"
7,"有限会社　アジア産業
代表者: 村松　正義","〒320-0834
宇都宮市陽南４丁目６－４９
TEL: 028-615-2733
HP: http://asia-sangyo.co.jp"
8,"株式会社　アズマエステート
代表者: 金子　勇太","〒326-0822
足利市田中町916-13
TEL: 0284-71-4455"
9,"株式会社　アパートナー
宇都宮店
代表者: 照井　亮二","〒321-0932
宇都宮市平松本町３５３－１１ドミール平松１階
TEL: 028-678-5185"
10,"アルファプラン　株式会社
代表者: 成瀬　宣邦","〒326-0824
足利市八幡町３丁目１１－８
TEL: 0284-64-9326
Mail: a-plan@abelia.ocn.ne.jp"
11,"アルムネット不動産　株式会社
代表者: 浅海　利夫","〒326-0831
足利市堀込町２０９１－６
TEL: 0284-64-9491
HP: http://www.arumunet.co.jp/
Mail: ceo@arumunet.co.jp"
12,"特定非営利活動法人　あんしん空き家管理ネット
代表者: 横山　洋美","〒327-0313
佐野市吉水町１１９８
TEL: 0283-86-8868"
