,name,details
0,"株式会社　アッシュコーポレーション
代表者: 長岡　宏樹","〒371-0846
前橋市元総社町１丁目３－１０ＡＳＨ　ＮＳビル　１０１
TEL: 027-254-5307"
1,"有限会社　あっぷ
代表者: 丸山　ふでみ","〒372-0801
伊勢崎市宮子町３４１７－８
TEL: 0270-22-2612"
2,"株式会社　アーカイブ
代表者: 小暮　恵子","〒373-0034
太田市藤阿久町１６１
TEL: 0276-31-9321"
3,"アーキ計画
代表者: 河田　芳雄","〒373-0011
太田市只上町６２４
TEL: 0276-37-5560"
4,"有限会社　アーキスおぎわら
代表者: 鈴木　由紀美","〒375-0005
藤岡市中９２０－１
TEL: 0274-24-6498"
5,"株式会社　Ａｒｃ
代表者: 柳田　敏秀","〒370-0042
高崎市貝沢町１２８９番地１－D
TEL: 027-388-9393"
6,"株式会社　アークスプラン
代表者: 中島　真由美","〒377-0006
渋川市行幸田１０５２－３
TEL: 0279-24-1584"
7,"株式会社　アートタウン
代表者: 徳江　梓","〒371-0016
前橋市城東町２丁目１０番１号レジデンス麻布２階
TEL: 027-288-0122
HP: https://www.art-town.co.jp/
Mail: 2103@art-town.co.jp"
8,"株式会社　アートタウン
伊勢崎住まいる店
代表者: 徳江　梓","〒372-0812
伊勢崎市連取町３０６０－１２
TEL: 0270-75-3961"
9,"有限会社　アートハウス
代表者: 新井　光弘","〒375-0005
藤岡市中１７８－２
TEL: 0274-22-6333
HP: http://www.a-house.biz
Mail: info@a-house.biz"
10,"アーバン・デザイン　株式会社
代表者: 新井　洋","〒376-0137
桐生市新里町赤城山１２８６－２５８
TEL: 0277-74-6471"
11,"株式会社　アーバンライフ
代表者: 阿部　清","〒370-3602
北群馬郡吉岡町大字大久保１６６１－１
TEL: 0279-30-6777"
12,"株式会社　アールグランデ
代表者: 土佐　功","〒376-0011
桐生市相生町２丁目５４２番地１３
TEL: 0277-47-6944
HP: http://www.r-grande.co.jp
Mail: info@r-grande.co.jp"
13,"株式会社　アールプラン
代表者: 朝本　豪人","〒379-2301
太田市藪塚町２１３８－２
TEL: 0277-46-7297"
14,"株式会社　アイサイト企画
代表者: 高橋　みき代","〒370-0069
高崎市飯塚町１７７６－２２
TEL: 027-370-3933"
15,"有限会社　アイチホーム
代表者: 今村　嘉男","〒370-1301
高崎市新町２１５２－１ホーユウパレス新町駅前
TEL: 0274-42-8670"
16,"アイテック
代表者: 井野　知幸","〒379-2121
前橋市小屋原町２７４－４
TEL: 027-212-9119
Mail: contact@itech-estate.com"
17,"アイワホーム　株式会社
代表者: 渡部　哲哉","〒373-0823
太田市西矢島町１６６－１
TEL: 0276-47-0053"
18,"アクセント企画
代表者: 神宮　和美","〒373-0817
太田市飯塚町１０８３－１
TEL: 0276-60-4644
Mail: accent@wind.ocn.ne.jp"
19,"株式会社　阿久津都市開発
代表者: 阿久津　昇","〒370-0851
高崎市上中居町４３－１MR高崎
TEL: 027-388-0390
HP: http://www.akutucity.co.jp
Mail: main-office@akutucity.co.jp"
20,"株式会社　阿久津都市開発
高崎北営業所
代表者: 阿久津　昇","〒370-0073
高崎市緑町１丁目１５－５
TEL: 027-370-7063
HP: http://www.akutucity.co.jp
Mail: info@akutucity.co.jp"
21,"株式会社　阿久津都市開発
県央営業所
代表者: 阿久津　昇","〒370-3521
高崎市棟高町１３１７－２
TEL: 027-393-6111
HP: https://www.akutucity.co.jp/
Mail: kenou@akutucity.co.jp"
22,"有限会社　アクト
代表者: 大澤　祥弘","〒370-0063
高崎市飯玉町１２６番地１
TEL: 027-395-6633"
23,"株式会社　朝倉ＥＳＴＡＴＥ
代表者: 岩村　敏明","〒371-0811
前橋市朝倉町９７４
TEL: 027-265-1512"
24,"株式会社　あさひ総合建物
代表者: 都丸　資生","〒371-0802
前橋市天川町３９－１３
TEL: 027-243-1203"
25,"株式会社　あさひ総合建物
Ｓｍｉｌｅｓあさひ前橋店
代表者: 都丸　資生","〒371-0024
前橋市表町２丁目１１－３７
TEL: 027-226-8181"
26,"株式会社　アシスト
代表者: 須藤　広志","〒379-2312
みどり市笠懸町久宮６０－２
TEL: 0277-76-0633
HP: https://www.estate-assist.net/
Mail: assist@orange.plala.or.jp"
27,"アシストプラン　株式会社
代表者: 越澤　靖","〒370-0043
高崎市高関町４５０－３
TEL: 027-330-6755
HP: http://www.assist-pl.co.jp
Mail: info@assist-pl.co.jp"
28,"株式会社　アステレックス不動産
代表者: 山本　久雄","〒371-0035
前橋市岩神町４丁目７番３号
TEL: 027-225-5522"
29,"あずまタウン
代表者: 小暮　啓子","〒379-2235
伊勢崎市三室町４５５２－１９
TEL: 0270-61-8642"
30,"株式会社　アテストホーム
代表者: 石関　博之","〒371-0835
前橋市前箱田町１００－１
TEL: 027-212-3981
HP: https://www.atest-home.com
Mail: info@atest-home.com"
31,"アパマン本舗　株式会社
代表者: 川田　常雄","〒373-0818
太田市小舞木町３３２
TEL: 0276-60-1537
HP: http://apaman-honpo.jp/
Mail: apako@apaman7.com"
32,"株式会社　アミッツ
代表者: 小賀野　城代巳","〒370-1201
高崎市倉賀野町２３４０－５
TEL: 027-345-0666"
33,"新井不動産
代表者: 新井　晴夫","〒375-0031
藤岡市矢場７４３－２
TEL: 0274-23-7140"
34,"合同会社　アラタハウス
代表者: 福元　達徳","〒371-0032
前橋市若宮町２丁目1番７号（１０２号）
TEL: 027-212-4207"
35,"有限会社　アルファー地建
代表者: 星野　都","〒370-3531
高崎市足門町６９５番地５
TEL: 027-386-6355"
36,"株式会社　アルファプラン
代表者: 小宮　良一","〒371-0855
前橋市問屋町２丁目４－３アルファビル
TEL: 027-210-5777"
37,"株式会社　アルファプラン
伊勢崎店
代表者: 小宮　良一","〒372-0801
伊勢崎市宮子町３４１１－８
TEL: 0270-40-5151"
38,"株式会社　アルファプラン
前橋本店
代表者: 小宮　良一","〒371-0855
前橋市問屋町２丁目４－３アルファビル１F
TEL: 027-255-0088"
39,"株式会社　アルファプラン
高崎店
代表者: 小宮　良一","〒370-0851
高崎市上中居町４４－１あきよしモールW－２
TEL: 027-322-0007"
40,"株式会社　アルファプラン
太田店
代表者: 小宮　良一","〒373-0852
太田市新井町５５１－１０
TEL: 0276-55-3415"
41,"株式会社　アンカー
代表者: 川口　貴志","〒376-0021
桐生市巴町２丁目１８３２番地９アンカービル　１階
TEL: 0277-45-1464"
42,"株式会社　アンサー
代表者: 三木　一郎","〒370-0802
高崎市並榎町３６６－７
TEL: 027-387-0708
HP: https://omakase-answer.com/
Mail: info@omakase-answer.com"
43,"株式会社　イーハウジング
代表者: 円明　務","〒372-0014
伊勢崎市昭和町１８８８－２
TEL: 0270-75-6192"
44,"有限会社　石原不動産
代表者: 石原　道友","〒372-0006
伊勢崎市太田町８５４－４
TEL: 0270-21-8090"
45,"伊勢崎ハンズ　株式会社
代表者: 飯島　宏修","〒372-0006
伊勢崎市太田町１０２４－２
TEL: 0270-61-5941"
46,"イトウ不動産
代表者: 伊藤　成雄","〒370-1132
佐波郡玉村町大字下新田２３４－３
TEL: 0270-64-2231"
47,"今井不動産
代表者: 今井　隆","〒370-0075
高崎市筑縄町６８－１０
TEL: 027-384-8122
Mail: jc6ef5@bma.biglobe.ne.jp"
48,"イワホーム
代表者: 岩田　正","〒371-0232
前橋市茂木町１３３－１ハイツフレンドもてぎ１０７号
TEL: 027-888-6239"
49,"株式会社　イング
代表者: 西田　孝昭","〒373-0034
太田市藤阿久町９１４番地１９
TEL: 0276-57-6118"
50,"インスカウト不動産
代表者: 吉羽　淳哉","〒370-0513
邑楽郡大泉町東小泉３丁目１４－８
TEL: 0276-49-6354
HP: https://www.inscoutfudousan.com
Mail: inscoutfudousan@gmail.com"
51,"インターシェアード　株式会社
代表者: 岩田　一三","〒373-0019
太田市吉沢町１０５８番地５
TEL: 0276-57-6565"
52,"株式会社　インプル
代表者: 橋本　貴好","〒373-0807
太田市下小林町３８－１テラスハウスキュウブＤ号
TEL: 0276-59-7831"
53,"Ｗｉｔｈ
代表者: 毒島　哲也","〒376-0002
桐生市境野町７丁目１９１－２
TEL: 0277-44-5137"
54,"株式会社　上野商店
代表者: 上野　正一","〒370-0801
高崎市上並榎町４１２
TEL: 027-362-2251"
55,"有限会社　ヴィーヴィーコーポレーション
代表者: 橋本　実樹","〒379-2224
伊勢崎市西小保方町３１３－２
TEL: 0270-61-7333"
56,"株式会社　ＡＢＣ不動産
代表者: 柳澤　尚文","〒371-0843
前橋市新前橋町９番地２
TEL: 027-251-7355"
57,"有限会社　エイ・エヌ建設
代表者: 岡島　信幸","〒370-0069
高崎市飯塚町３３２－６
TEL: 027-370-6067"
