,name,details
0,"有限会社　アットホーム
代表者: 森田　成峰","〒516-0018
伊勢市黒瀬町４８５番地１
TEL: 0596-28-1200"
1,"株式会社　アース
代表者: 大南　畄伊子","〒515-0011
松阪市高町４３２番地３
TEL: 0598-31-1878"
2,"株式会社　アールイースマイル
代表者: 名越　秀典","〒514-0831
津市本町３０番１２号
TEL: 059-222-3225"
3,"有限会社　アイエスプリム
代表者: 松永　かおり","〒510-1312
三重郡菰野町大字竹成３５７１番地の１
TEL: 059-396-4949"
4,"ＩＭエステート
代表者: 伊藤　美和","〒513-0816
鈴鹿市南玉垣町６７２０番地
TEL: 059-373-7640"
5,"アイティーオー　株式会社
代表者: 伊藤　博","〒510-0091
四日市市北浜町２番１７号
TEL: 059-356-1114
HP: http://www.zennichi.net/m/ito/
Mail: ito_jjjjj@hotmail.co.jp"
6,"株式会社　旭エステート
代表者: 谷　健太郎","〒510-0007
四日市市別名２丁目４番１０号
TEL: 059-324-0192"
7,"アセットクレスト
代表者: 杉田　篤生","〒512-1211
四日市市桜町６７４３番地１１
TEL: 059-337-8817"
8,"アトラス　株式会社
代表者: 中西　仁志","〒516-0804
伊勢市御薗町長屋２１６０番地１
TEL: 0596-63-5555"
9,"アトラス　株式会社
津営業所
代表者: 中西　仁志","〒514-1252
津市稲葉町９番５２
TEL: 059-252-1478"
10,"アトラス建設　株式会社
代表者: 岩田　空展","〒510-1222
三重郡菰野町大字大強原２１５４番地
TEL: 059-393-3321"
11,"株式会社　アド加藤
代表者: 加藤　哲也","〒513-0032
鈴鹿市池田町４８番地
TEL: 059-382-9661"
12,"株式会社　ＡＶＡＮＴＩＡ
四日市支店
代表者: 沢田　康成","〒510-0828
四日市市石塚町５－１
TEL: 059-350-3734"
13,"株式会社　アプロワールド
代表者: 後藤　雅樹","〒511-0117
桑名市多度町下野代９００
TEL: 0594-49-3588"
14,"株式会社　アルテ
代表者: 井上　智佳","〒514-1113
津市久居野村町８５９番地
TEL: 059-255-1245"
15,"株式会社　アルバホーム
代表者: 佐柳　智哉","〒519-0506
伊勢市小俣町湯田５４番地３
TEL: 0596-64-8668"
16,"株式会社　アルファエステート
代表者: 矢田　剛士","〒510-0821
四日市市久保田２丁目５番２号ＡＴビル２階
TEL: 059-340-3553"
17,"有限会社　アンジェプレイス
代表者: 吉村　正敏","〒515-0078
松阪市春日町３丁目７４番地
TEL: 0598-58-0010"
