,name,details
0,"株式会社　アップリンク
代表者: 大家　妙子","〒866-0826
八代市竹原町２００９－５
TEL: 0965-31-8080"
1,"アップル宅建
代表者: 中村　哲美","〒861-8039
熊本市東区長嶺南３丁目８－６６
TEL: 096-381-8869"
2,"アーキエステート
代表者: 徳重　勉","〒861-8029
熊本市東区西原２丁目３５－３３
TEL: 096-243-0222"
3,"株式会社　アーバンライク
代表者: 吉野　悟","〒864-0002
荒尾市万田１５９７－２
TEL: 0968-64-3011"
4,"株式会社　アーバンライク
Ｌｉｖｍｅｎｔ　 熊本新屋敷店
代表者: 吉野　悟","〒862-0975
熊本市中央区新屋敷２丁目２７－７－１階
TEL: 096-276-9777"
5,"株式会社　アーバンライク
Ｌｉｖｍｅｎｔ　熊本北店
代表者: 吉野　悟","〒861-0132
熊本市北区植木町植木１１８ー５
TEL: 096-274-0020"
6,"ＲＳ不動産　株式会社
代表者: 赤星　三和","〒862-0941
熊本市中央区出水３丁目７－６１
TEL: 096-247-6348
Mail: rs-re@kib.biglobe.ne.jp"
7,"合同会社　アイ・アール
代表者: 本田　倫美","〒861-3513
上益城郡山都町下市１４６－１
TEL: 096-200-8594"
8,"株式会社　Ｉ・Ｎ・Ｏ
代表者: 井上　幸祐","〒864-0055
荒尾市日の出町3番9号-203
TEL: 0968-64-1173"
9,"アイ・ケイ・エス開発　株式会社
代表者: 松川　淳","〒862-0933
熊本市東区小峯３丁目１番１８号
TEL: 096-288-9300"
10,"株式会社　アイシン商事
代表者: 吉安　啓史","〒861-1104
合志市御代志７１３－１８
TEL: 096-242-4935"
11,"有限会社　愛信不動産
代表者: 掃本　敏","〒869-0416
宇土市松山町１０３５番地の２
TEL: 0964-22-4466"
12,"株式会社　アイティワイ
代表者: 内田　好信","〒861-2103
熊本市東区若葉５丁目１２－２３
TEL: 096-273-9512"
13,"アイプラン
代表者: 山口　剛","〒860-0853
熊本市中央区西子飼町７－１２
TEL: 096-288-3625"
14,"アウテリアタイガー　株式会社
代表者: 倉沢　高幸","〒860-0833
熊本市中央区平成２丁目１番１８号
TEL: 096-379-6002"
15,"有限会社　碧プランニング
代表者: 久場　世津子","〒862-0954
熊本市中央区神水１丁目37-18
TEL: 096-383-0035"
16,"株式会社あかりテラス
代表者: 宮村　聡","〒861-8035
熊本市東区御領２丁目２８－１４
TEL: 096-285-7567"
17,"アグリ開発　株式会社
代表者: 米森　初江","〒862-0969
熊本市南区良町４丁目１－７０
TEL: 096-237-7338"
18,"あすかホーム
代表者: 村上　良一","〒864-0015
荒尾市平山８０３
TEL: 0968-66-3008"
19,"株式会社　明日香リアルティ
代表者: 森　了一","〒860-0831
熊本市中央区八王寺町１６－２２
TEL: 096-295-4688"
20,"株式会社　アセットニューズ
代表者: 今田　祐二","〒862-0968
熊本市南区馬渡２丁目８番１３号サンステートＮ－Ｂ１０１
TEL: 096-201-3736"
21,"株式会社　アパートナー
並木坂店
代表者: 照井　亮二","〒860-0863
熊本市中央区坪井１丁目２－１広町ビル１０３
TEL: 096-342-5622"
22,"株式会社　アパートナー
水前寺店
代表者: 照井　亮二","〒862-0959
熊本市中央区白山３丁目１－８ノーブル水前寺１F
TEL: 096-371-1088"
23,"株式会社　アパートナー
熊本中央店
代表者: 照井　亮二","〒860-0811
熊本市中央区本荘６丁目７－６
TEL: 096-363-3331"
24,"株式会社　アパートナー
平成店
代表者: 照井　亮二","〒860-0816
熊本市中央区本荘町６９３－１
TEL: 096-277-1440"
25,"アプレイザル中九州リアルエステート
代表者: 野中　潤一郎","〒861-4115
熊本市南区川尻３丁目１９－５
TEL: 096-358-6557"
26,"株式会社　歩不動産
代表者: 松永　智之","〒869-1235
菊池郡大津町大字室１５２６番地１
TEL: 096-293-7388"
27,"株式会社　荒尾中央不動産
代表者: 関　直子","〒864-0032
荒尾市増永２９００－１６
TEL: 0968-65-2262"
28,"合資会社　荒木家具店
代表者: 荒木　健夫","〒864-0052
荒尾市四ツ山町２丁目８－２２
TEL: 0968-62-0518"
29,"株式会社　アリスト
代表者: 西村　将平","〒861-4131
熊本市南区薄場１丁目１５－１６
TEL: 096-358-0925"
30,"株式会社　アルキミスタ
代表者: 坂本　祐一朗","〒864-0041
荒尾市荒尾３９５０－３
TEL: 050-3522-1266"
31,"アルバクリエイト　株式会社
熊本支店
代表者: 塩山　耕起","〒860-0802
熊本市中央区中央街４－２２銀座ビル１０階
TEL: 096-356-3411"
32,"有限会社　アルファリアルエステート
代表者: 山本　勇治","〒860-0813
熊本市中央区琴平１丁目２－１２エクセル琴平２０２号
TEL: 096-361-1327"
33,"有限会社　一町畑
代表者: 中村　一雄","〒861-4202
熊本市南区城南町宮地１１１０
TEL: 0964-42-9889"
34,"株式会社　ｉｅ’ｓコーポレーション
代表者: 津崎　哲郎","〒860-0802
熊本市中央区中央街７－２
TEL: 096-285-9577
HP: http://ies-corporation.co.jp
Mail: info@ies-corporation.co.jp"
35,"池上不動産
代表者: 池上　博","〒864-0011
荒尾市下井手３２５－１
TEL: 0968-66-1056"
36,"株式会社　池山商事
代表者: 池山　博司","〒869-1101
菊池郡菊陽町大字津久礼２４９２－２
TEL: 096-232-7157"
37,"株式会社　磯崎工務店
代表者: 磯﨑　博文","〒862-0920
熊本市東区月出４丁目７番５号
TEL: 096-381-0111"
38,"株式会社　猪本ホールディングス
代表者: 猪本　恭三","〒860-0057
熊本市西区八島町７４５－６
TEL: 096-277-4110"
39,"株式会社　井原商事
代表者: 井原　宏明","〒866-0861
八代市本町３丁目４－１１
TEL: 0965-35-4649"
40,"株式会社　インテックス九州
代表者: 松永　博","〒862-0942
熊本市東区江津３丁目４－１２
TEL: 096-214-8311"
41,"株式会社　インベストメントビルド東菱
代表者: 村上　恭一","〒861-2402
阿蘇郡西原村大字小森６１８番地１０
TEL: 096-288-9247"
42,"株式会社　ウェルネス
代表者: 萩原　雄治","〒865-0065
玉名市築地３４８
TEL: 0968-72-2877"
43,"合同会社　ウイング企画
代表者: 小﨑　敬子","〒861-8066
熊本市北区清水亀井町３－１
TEL: 096-345-8031
HP: http://31wing.justhpbs.jp/
Mail: koza@31wing.jp"
44,"株式会社　ウイング不動産
代表者: 荒木　由美子","〒864-0042
荒尾市東屋形２丁目２－６
TEL: 0968-82-7777"
45,"株式会社ウエダ不動産事ム所
代表者: 上田　洋平","〒862-0955
熊本市中央区神水本町２０－３第２林ビル１階
TEL: 096-387-5001"
46,"うえの不動産
代表者: 上野　陽","〒869-1101
菊池郡菊陽町大字津久礼１４２－４
TEL: 096-232-5890
Mail: uaekinora@uma.bbiq.jp"
47,"有限会社　ウチダ
代表者: 内田　浩嗣","〒861-2107
熊本市東区秋津新町１－３８
TEL: 096-368-7030"
48,"うと不動産
代表者: 吉本　功","〒869-0407
宇土市松原町２２４－１
TEL: 0964-22-3915"
49,"ｕｎｉｃｏ　有限会社
代表者: 宮本　由香","〒861-8002
熊本市北区弓削６丁目１１－２６
TEL: 096-223-5008"
50,"株式会社　ヴィレッジＭｔ
代表者: 村山　恵治","〒861-1112
合志市幾久富１８６６－７２
TEL: 096-248-5700
HP: https://kikiyo-takken.wixsite.com/village-mt
Mail: kikiyo.v5700@gmail.com"
