,name,details
0,"有限会社　アックス
代表者: 氷見　敦","〒064-0924
札幌市中央区南二十四条西１５丁目２番５号１０１
TEL: 011-211-0936"
1,"株式会社　アットツリー
代表者: 野村　幸宏","〒065-0033
札幌市東区北三十三条東１丁目７番１５号
TEL: 011-722-7000"
2,"株式会社　アーキコーポレーション
代表者: 菊地　俊哉","〒060-0041
札幌市中央区大通東１０丁目１６－９
TEL: 011-208-7700"
3,"有限会社　アーク
代表者: 菊地　進","〒064-0801
札幌市中央区南一条西２５丁目２－１２－７０１
TEL: 011-615-7707"
4,"株式会社　Ａｒｋ
代表者: 今井　かおる","〒062-0933
札幌市豊平区平岸三条７丁目1-27平岸スクエアビル160号室
TEL: 011-814-2270"
5,"株式会社　アークネット
代表者: 石黒　真司","〒065-0030
札幌市東区北三十条東１丁目５－１　石黒ビル１階
TEL: 011-733-7510"
6,"株式会社　アーク不動産
代表者: 太田　俊輔","〒060-0061
札幌市中央区南一条西８丁目１４番地３札幌第二スカイビル８ＦＡ
TEL: 011-596-7343"
7,"株式会社　ＡＲＣ　ＬＩＶＥＳ
代表者: 平野　拓磨","〒062-0932
札幌市豊平区平岸二条１１丁目４－１５コスモガーデン１０２号室
TEL: 011-839-5952"
8,"株式会社　アースハウス
代表者: 出島　昇","〒085-0043
釧路市喜多町2-6
TEL: 0154-65-7789"
9,"有限会社　アースホーム企画
代表者: 小林　政春","〒042-0942
函館市柏木町２９－９
TEL: 0138-53-8377"
10,"アーチストエージェント　株式会社
代表者: 青木　塁","〒060-0061
札幌市中央区南一条西１３丁目４－５５岩渕ビル２階
TEL: 011-206-1350"
11,"有限会社　アート建築事務所
代表者: 渡辺　宰","〒061-1414
恵庭市漁町９７－２
TEL: 0123-34-9335"
12,"有限会社　アート宅建
代表者: 高島　繁","〒040-0074
函館市松川町６－１
TEL: 0138-44-3020"
13,"有限会社　アーネスト・コーポレーション
代表者: 戸根　雅洋","〒005-0831
札幌市南区中ノ沢３丁目３－７
TEL: 011-578-5055"
14,"株式会社　アービル
代表者: 遠藤　宏康","〒003-0023
札幌市白石区南郷通１８丁目北２－１０
TEL: 011-865-5171"
15,"合同会社　アールアンドエム
代表者: 根本　卓帆","〒001-0032
札幌市北区北三十二条西５丁目３番２８号ＳＡＫＵＲＡ－Ｎ３２
TEL: 050-5375-2955"
16,"株式会社　アールエスホーム
代表者: 佐々木　圭太","〒064-0918
札幌市中央区南十八条西１１丁目２－１８
TEL: 011-211-1284"
17,"アールジー　株式会社
代表者: 上家　寛史","〒003-0876
札幌市白石区東米里２１１８番地１０１
TEL: 011-876-4111
HP: https://www.zennichi.net/m/rg/index.asp#pg_top
Mail: rgc4111@gmail.com"
18,"Ｒ’ｔｍ　株式会社
代表者: 相良　隆記","〒065-0042
札幌市東区本町二条１丁目９番１２号
TEL: 011-839-5350"
19,"ＲＤＳ　株式会社
代表者: 平吹　勝","〒006-0822
札幌市手稲区前田十二条１０丁目3番10号
TEL: 011-694-2071"
20,"株式会社　アールホーム
代表者: 岩島　知礼","〒041-1111
亀田郡七飯町本町１丁目3-1
TEL: 0138-86-7526"
21,"アールリアルエステート　株式会社
代表者: 成田　陸也","〒042-0941
函館市深堀町１３番３５号
TEL: 0138-55-4190
HP: https://r-re-website.com/
Mail: info@r-re.jp"
22,"株式会社　アイ・アール不動産
代表者: 村上　亮","〒067-0064
江別市上江別４７６
TEL: 011-398-4581"
23,"株式会社　ｉ＆Ｆ
代表者: 斎藤　祐太","〒060-0056
札幌市中央区南六条東２丁目４－１ＰＬＩＥ４階
TEL: 011-206-1236
HP: https://i-and-f.co.jp/
Mail: info@i-and-f.co.jp"
24,"株式会社　アイエフプラン
代表者: 藤田　育浩","〒041-0811
函館市富岡町２丁目２８番１８号２階
TEL: 0138-84-5942"
25,"合同会社　アイケイエステート
代表者: 石井　豊","〒060-0809
札幌市北区北九条西４丁目７番地４エルムビル
TEL: 011-374-1002"
26,"有限会社　アイコーポレーション
代表者: 相澤　裕","〒063-0033
札幌市西区西野三条２丁目２－１９－５０１
TEL: 011-665-8262"
27,"有限会社　相澤建設
代表者: 相澤　邦彦","〒061-3201
石狩市花川南一条１丁目９番地
TEL: 0133-73-5787"
28,"株式会社　アイズビル管理
代表者: 相澤　友之","〒064-0808
札幌市中央区南八条西１４丁目３－６－２階
TEL: 011-520-5022
HP: http://www.aizbill.co.jp
Mail: info@aizbill.co.jp"
29,"株式会社　ＩＴＦ
代表者: 今野　幹夫","〒062-0903
札幌市豊平区豊平三条１１丁目２－２７
TEL: 011-213-0961"
30,"株式会社　ＩＤ建築工房
代表者: 遠藤　彰","〒004-0011
札幌市厚別区もみじ台東６丁目５－１１
TEL: 011-897-8560"
31,"株式会社　アイディアルホーム
代表者: 網中　雅基","〒064-0810
札幌市中央区南十条西１２丁目２－３１センチュリオン１０１
TEL: 011-551-6200
HP: https://www.ideal-home.co.jp/
Mail: info@ideal-home.co.jp"
32,"株式会社　アイトラスト
代表者: 今井　雅雄","〒002-0855
札幌市北区屯田五条５丁目３番８号
TEL: 011-556-0342"
33,"アイハウジングサポート　株式会社
代表者: 坂本　周平","〒069-0813
江別市野幌町５０番地５
TEL: 011-398-8006"
34,"ＩＢインベストメント　株式会社
代表者: 岩﨑　正義","〒064-0942
札幌市中央区伏見３丁目８番１１号
TEL: 090-8705-7158"
35,"アイビーホーム　株式会社
代表者: 髙橋　俊博","〒005-0002
札幌市南区澄川二条１丁目１－１０
TEL: 011-823-6648"
36,"株式会社　アイプランニング
代表者: 滝口　清晴","〒004-0022
札幌市厚別区厚別南７丁目26-2
TEL: 011-890-6050"
37,"株式会社ＩＲＩＥＬＩＦＥ
代表者: 髙田　幸平","〒002-0857
札幌市北区屯田七条１２丁目１番３号澤田ビル１Ｆ
TEL: 011-299-6810"
38,"株式会社　アイリステック
代表者: 岩田　敏雄","〒007-0842
札幌市東区北四十二条東１５丁目2-20
TEL: 011-788-6531"
39,"株式会社　アイリスマーク
代表者: 岩田　敏雄","〒007-0842
札幌市東区北四十二条東１５丁目２番２０号今崎ビル３階
TEL: 011-788-6033"
40,"株式会社　アイレヴェンテホーム
代表者: 白戸　正幸","〒062-0034
札幌市豊平区西岡四条２丁目１０番３７号コート西岡１０２号
TEL: 011-826-3523
Mail: info@airevente.co.jp"
41,"株式会社　アイワ不動産
代表者: 橋坂　博","〒066-0021
千歳市東郊１丁目５－３
TEL: 0123-23-3959"
42,"株式会社　アウル
代表者: 谷　隆志","〒064-0801
札幌市中央区南一条西２０丁目１－２５
TEL: 011-623-4667"
43,"株式会社　アウル
西１８丁目店
代表者: 谷　隆志","〒060-0042
札幌市中央区大通西１７丁目２－１９ＯＤＯＲＩ１７　１Ｆ
TEL: 011-688-7702"
44,"株式会社　アヴェニール
代表者: 幸松　英彦","〒060-0034
札幌市中央区北四条東４丁目5番65
TEL: 011-200-0797"
45,"株式会社　アエルホーム
代表者: 加藤　光孝","〒064-0825
札幌市中央区北五条西２５丁目４－１
TEL: 011-632-5960"
46,"蒼キャピタル不動産　株式会社
代表者: 植木　淳宏","〒060-0807
札幌市北区北七条西２丁目６番地３７山京ビル６２５号
TEL: 011-776-6866"
47,"葵地研　株式会社
代表者: 山本　圭一","〒003-0804
札幌市白石区菊水四条２丁目１－２
TEL: 011-827-1275"
48,"株式会社　アカナ
代表者: 田中　裕","〒063-0044
札幌市西区西野十四条８丁目９－６
TEL: 011-518-8001"
49,"株式会社　アカマ不動産
代表者: 赤間　聖","〒003-0838
札幌市白石区北郷八条７丁目２番３号
TEL: 011-799-4834
HP: www.akamafudousan.com/
Mail: info@akamafudousan.com"
50,"Ａｋａｒｉ　Ｅｓｔａｔｅ株式会社
代表者: 佐藤　幸三","〒062-0934
札幌市豊平区平岸四条３丁目５番８号カプリス豊平公園１Ｆ
TEL: 011-598-0330"
51,"株式会社　アクアホームズ
代表者: 中村　健太郎","〒063-0870
札幌市西区八軒十条東４丁目2番18号アクア八軒東ビル
TEL: 011-738-2985"
52,"株式会社　アクシアス
代表者: 工藤　秀子","〒005-0832
札幌市南区北ノ沢６丁目１１番１号
TEL: 011-571-5209"
53,"株式会社　アクシエイズム
代表者: 小林　三希子","〒064-0925
札幌市中央区南二十五条西１１丁目１－１５CABIN２５
TEL: 011-596-0899
HP: https://www.axie.co.jp
Mail: info@axie.co.jp"
54,"株式会社アクティブ
代表者: 勝部　高志","〒064-0912
札幌市中央区南十二条西６丁目１番３５号
TEL: 011-213-0913
Mail: active.katsube@gmail.com"
55,"株式会社　アクト
代表者: 河村　直樹","〒005-0805
札幌市南区川沿五条２丁目７番１８号
TEL: 011-590-5080"
56,"株式会社　アクト工房
代表者: 白石　典子","〒004-0833
札幌市清田区真栄三条２丁目１６－１
TEL: 011-882-0855"
57,"有限会社　アクトプラス
代表者: 森　敬禎","〒001-0038
札幌市北区北三十八条西４丁目１－１５ちゃいるどハウス１階
TEL: 011-708-3333"
58,"株式会社　アサヒ商材
代表者: 佐藤　清治","〒041-0832
函館市神山３丁目４８番１４号
TEL: 0138-31-5101"
59,"朝日建物　有限会社
代表者: 尾久　眞琴","〒064-0801
札幌市中央区南一条西２３丁目１－１　朝日ビル
TEL: 011-611-3545"
60,"アサヒ不動産　株式会社
代表者: 立山　昌介","〒060-0041
札幌市中央区大通東２丁目15-1サラサビル3Ｆ
TEL: 011-281-3611"
61,"有限会社　アシスト
代表者: 佐伯　敏朗","〒066-0032
千歳市北陽４丁目７－９
TEL: 0123-22-2143"
62,"株式会社　アシスト
札幌北大前店
代表者: 小西　浩治","〒001-0012
札幌市北区北十二条西４丁目２－１２GlanzOsamura１階
TEL: 011-758-2033"
63,"株式会社　アシスト
札幌駅前店
代表者: 小西　浩治","〒060-0806
札幌市北区北六条西１丁目３ＮＥＷ札幌ビル１Ｆ
TEL: 011-737-2022"
64,"株式会社　アシスト企画
代表者: 岡本　勝","〒001-0925
札幌市北区新川五条１６丁目６番５号
TEL: 011-764-5150"
65,"アシストジャパン　株式会社
代表者: 髙木　和晴","〒003-0838
札幌市白石区北郷８条８－１－１
TEL: 011-875-8811"
66,"アシストビルサービス　有限会社
代表者: 後藤　勝彦","〒062-0021
札幌市豊平区月寒西一条７丁目４－１５福田ビル３Ｆ
TEL: 011-826-6650"
67,"株式会社　アシスト不動産
代表者: 金子　健一","〒041-0853
函館市中道１丁目２４－４４
TEL: 0138-76-4058
Mail: assistfudousan@ncv.jp"
68,"株式会社　アシストリーブ
代表者: 倉谷　俊男","〒001-0011
札幌市北区北十一条西４丁目２番２１号
TEL: 011-213-9511"
69,"株式会社　アスカ住建
代表者: 福原　浩康","〒004-0864
札幌市清田区北野四条２丁目３－６
TEL: 011-885-1210"
70,"ＡＳＴＡＧＥ　株式会社
代表者: 井筒　翼","〒065-0015
札幌市東区北十五条東１丁目１－１２コスモタウン小野１階
TEL: 011-788-3160"
71,"株式会社　アステート
代表者: 佐藤　憲一","〒060-0061
札幌市中央区南一条西１丁目１５番地３３階
TEL: 011-211-8306"
72,"株式会社　アストリーエステート
代表者: 海老名　二郎","〒065-0032
札幌市東区北三十二条東１８丁目１番１２号
TEL: 011-789-9977"
73,"Ａｓｐｅｃｔ　Ｐｒｏｐｅｒｔｉｅｓ　Ｊａｐａｎ　合同会社
代表者: アンジェリーナ　サハヤ　メアリ　ラマクリ","〒044-0081
虻田郡倶知安町字山田１６９番地３２
TEL: 080-5723-8613"
74,"株式会社　安住
代表者: 室田　美幸","〒062-0031
札幌市豊平区西岡一条３丁目１０－１０
TEL: 011-807-4470"
75,"株式会社　アセット・クリエイティブ札幌
代表者: 右手　康登","〒060-0052
札幌市中央区南二条東２丁目７番地４ビルセススクエア大通302号室
TEL: 011-676-4163"
76,"有限会社　アセット不動産
代表者: 山田　映","〒042-0954
函館市上野町１６番８号
TEL: 0138-57-1253"
77,"合同会社　アセット・プラス
代表者: 山下　望美","〒003-0876
札幌市白石区東米里2179番地6
TEL: 011-807-4704
HP: https://www.assetplus.jp
Mail: info@assetplus.jp"
78,"株式会社　アセットマネジメント
代表者: 川村　裕二","〒060-0061
札幌市中央区南一条西７丁目１－３
TEL: 011-272-7772"
