,name,details
0,"株式会社　アースコンサルト
代表者: 相澤　真理子","〒020-0831
盛岡市三本柳１０地割２２－１
TEL: 019-681-1291"
1,"アイジーアールいわて銀河鉄道　株式会社
代表者: 浅沼　康揮","〒020-0133
盛岡市青山２丁目２－８
TEL: 019-601-9995"
2,"アイジーアールいわて銀河鉄道　株式会社
ＩＧＲ不動産厨川駅店
代表者: 浅沼　康揮","〒020-0124
盛岡市厨川１丁目１７－１
TEL: 019-601-6234"
3,"株式会社　ＩＤＥＡＬ建築設計研究所
代表者: 原田　健","〒020-0402
盛岡市黒川２１地割６６－７
TEL: 019-696-1677"
4,"株式会社　ＩＲＥＣ
代表者: 西舘　孝行","〒020-0051
盛岡市下太田下川原160-10
TEL: 019-613-2447
HP: https://www.irec-i.co.jp/
Mail: info@irec-i.co.jp"
5,"あかり計画　合同会社
代表者: 楠山大輔","〒020-0121
盛岡市月が丘３丁目３１－４２あかりビル１階
TEL: 019-658-8910"
6,"株式会社　アスエステート
代表者: 田屋　光章","〒020-0133
盛岡市青山３丁目２０－１０
TEL: 019-677-8544"
7,"株式会社　あすなろ不動産
代表者: 松田　政樹","〒020-0114
盛岡市高松２丁目３－５
TEL: 019-681-1217"
8,"株式会社　アズパートナー
代表者: 齊藤　良教","〒020-0133
盛岡市青山３丁目３７－４１
TEL: 019-681-9805"
9,"株式会社　アパートナー
盛岡中央店
代表者: 照井　亮二","〒020-0024
盛岡市菜園２丁目２－２０
TEL: 019-606-3311"
10,"株式会社　アピュー
代表者: 太田　耕平","〒021-0882
一関市上大槻街１番４５号
TEL: 0191-23-3854"
11,"株式会社　アプローチ
代表者: 瀬川　晴雄","〒028-3308
紫波郡紫波町平沢字長尾沢８８ー７０
TEL: 019-672-5123
HP: https://www.approach-co.jp/
Mail: kimura@approach-co.jp"
12,"株式会社　アペックス
代表者: 草皆　学","〒020-0114
盛岡市高松４丁目７－２６
TEL: 019-663-8053"
13,"有限会社　アライブ
代表者: 中野　美知子","〒020-0871
盛岡市中ノ橋通１丁目５－３３
TEL: 019-604-8911"
14,"アルヴァ　株式会社
代表者: 三河　通","〒028-0024
久慈市栄町第３２地割51-1
TEL: 0194-66-8171"
15,"株式会社　イーアスホーム
代表者: 大川　泰明","〒020-0024
盛岡市菜園１丁目３ー６農林会館809号
TEL: 019-656-8211"
16,"家子不動産開発　株式会社
代表者: 家子　和男","〒028-1115
上閉伊郡大槌町上町１４－２８
TEL: 0193-42-7721
HP: https://www.zennichi.net/m/iekofudousan/index.asp"
17,"家子不動産開発　株式会社
山田支店
代表者: 家子　和男","〒028-1342
下閉伊郡山田町川向町９－２
TEL: 0193-77-3965"
18,"泉企画
代表者: 玉山　泉","〒028-3308
紫波郡紫波町平沢字長尾沢８８－３２
TEL: 090-2607-3891
HP: https://www.izumi-planning.jp
Mail: gyokusen@cameo.plala.or.jp"
19,"伊藤建設　株式会社
代表者: 伊藤　馨","〒020-0055
盛岡市繋字尾入野４８番地の６
TEL: 0196-89-2331"
20,"株式会社　イヌカイ
代表者: 犬飼　修","〒020-0834
盛岡市永井２０地割１－３８
TEL: 019-681-9936"
21,"いのまた不動産事務所
代表者: 猪又　信幸","〒026-0021
釜石市只越町２丁目３－９－１０１
TEL: 0193-55-5685"
22,"一般社団法人　岩手県伝統資財再生機構
代表者: 本宿　将大","〒028-0541
遠野市松崎町白岩１６地割３１－８
TEL: 0198-62-8202"
23,"特定非営利活動法人　岩手県不動産コンサルティング協会
代表者: 小野寺　俊博","〒023-0828
奥州市水沢東大通り３丁目３－３３
TEL: 0197-51-1115"
24,"岩手大学生活協同組合
代表者: 石垣　剛","〒020-0066
盛岡市上田３丁目１８－３４
TEL: 019-652-3517"
25,"岩手中央観光　株式会社
代表者: 前川　浩","〒020-0034
盛岡市盛岡駅前通３－５３
TEL: 019-622-3131"
26,"ウエスト　株式会社
代表者: 木村　大介","〒020-0125
盛岡市上堂４丁目13-10
TEL: 019-656-6487"
27,"株式会社　ウエストサイド
代表者: 大石　貴之","〒028-7912
九戸郡洋野町種市第２８地割１１４番地５
TEL: 0194-66-9696"
28,"ウエノ不動産管理　有限会社
代表者: 上野　昌次","〒028-3305
紫波郡紫波町日詰字下丸森９－４
TEL: 019-671-2072
HP: http://uenofk.com/
Mail: uenosmem@sepia.plala.or.jp"
29,"有限会社　エーワイティ・サポート
代表者: 菅原　幸雄","〒021-0821
一関市三関字日照７２－２　　　　　メンバ－ズタウン桜町Ｃ-101
TEL: 0191-34-6010"
30,"株式会社　エイテック
代表者: 田屋　慶一","〒020-0402
盛岡市黒川２２－２０－６
TEL: 0196-96-3401
HP: https://www.zennichi.net/m/atc/kaisha.asp
Mail: atc@jc5.so-net.ne.jp"
31,"エイエムエス
代表者: 加藤　卓","〒020-0106
盛岡市東松園３丁目１６－３８
TEL: 019-663-4041"
32,"エクセルハウジング　有限会社
代表者: 小野寺　徹","〒028-6103
二戸市石切所字荷渡２２－１３　エクセルガ－デンビル２Ｆ
TEL: 0195-22-3877"
33,"有限会社　エコ・プランニング岩手
代表者: 佐藤　亮厚","〒020-0823
盛岡市門２丁目１－４７
TEL: 019-681-0270"
34,"エステートいわて
代表者: 沼﨑　亮","〒020-0044
盛岡市城西町１３－７７　　　　　　山与ビル３階
TEL: 019-622-5151
HP: http://www.zennichi.net/m/estate_iwate/
Mail: estate.iwate@sirius.ocn.ne.jp"
35,"株式会社　ｅｓｍｏｒｅ
代表者: 立花　かおり","〒024-0031
北上市青柳町１丁目7番20号
TEL: 0197-61-3180"
36,"オージ不動産取引事務所
代表者: 佐々木　豪","〒020-0011
盛岡市三ツ割４丁目８－２５
TEL: 019-613-6753"
37,"有限会社　及川工務店
代表者: 及川　克幸","〒029-3105
一関市花泉町涌津字一ノ町２５
TEL: 0191-82-3380
HP: http://oikou.jp
Mail: kozo@oikou.e-const.jp"
38,"おいかわ不動産　合同会社
代表者: 及川　一彦","〒029-2205
陸前高田市高田町字栃ヶ沢５０－３
TEL: 0192-54-3935
HP: http://www.oikawa-fudousan.com/
Mail: info@oikawa-fudousan.com"
39,"株式会社　小田島工務店
代表者: 小田島　和浩","〒020-0632
滝沢市牧野林１０１２－２
TEL: 019-687-2510
HP: http://www.odashimakoumuten.jp/
Mail: info@odashimakoumuten.jp"
40,"株式会社　おだや不動産
代表者: 石川　佳之","〒020-0823
盛岡市門１丁目18-1オフィスキャピタル2F
TEL: 019-681-7644"
41,"株式会社　小原商店
代表者: 小原　圭悟","〒020-0114
盛岡市高松２丁目１３－１０
TEL: 019-662-3301"
42,"かまいしアパートセンター
代表者: 道又　貴人","〒026-0034
釜石市中妻町２丁目４－２２
TEL: 0193-27-6066"
43,"上村不動産相談室
代表者: 上村　規久","〒028-6302
九戸郡軽米町大字軽米第１０地割９１－２
TEL: 0195-46-2507"
44,"株式会社　きょうさいライフ
代表者: 佐藤　淳一","〒020-0821
盛岡市山王町１０－６山王ハイツ２階
TEL: 019-626-0002"
45,"きくち不動産事務所
代表者: 菊地　進","〒020-0002
盛岡市桜台２丁目１０番１５号
TEL: 019-677-8320"
46,"株式会社　技建
代表者: 小野寺　剛","〒029-0804
一関市千厩町磐清水字金山沢６９番地１
TEL: 0191-48-3427
Mail: info@onoderagiken.com"
47,"有限会社　クオリティーアンドアソシエイツ
代表者: 佐々木　卓也","〒020-0144
盛岡市土淵字北野３０番地３
TEL: 019-656-9739"
48,"クレディ不動産　株式会社
代表者: 大櫻　岳人","〒020-0022
盛岡市大通３丁目２－８　岩手金属工業会館２階
TEL: 019-681-7550"
49,"クローバーライフ　株式会社
代表者: 川﨑　隆志","〒020-0064
盛岡市梨木町５－４７ジュネス梨木１０５号
TEL: 019-681-9688"
50,"グッドアクション株式会社
代表者: 福島　直輝","〒020-0866
盛岡市本宮２丁目１６番１号小泉産業ビル２階
TEL: 019-613-6035"
51,"株式会社　興道舎
代表者: 松川　章","〒025-0076
花巻市城内２番２号
TEL: 0198-29-6090
Mail: matsukawa.akira@jade.plala.or.jp"
52,"株式会社　江和興業
代表者: 髙橋　和弘","〒024-0073
北上市下江釣子１３地割７０番地１
TEL: 0197-72-5030"
53,"株式会社　Ｃｏｃｏｒｏ
代表者: 小笠原　淳","〒020-0045
盛岡市盛岡駅西通１丁目１１－８
TEL: 019-656-6092"
54,"近藤建設不動産
代表者: 近藤　浩一","〒022-0002
大船渡市大船渡町字笹崎１４－１３
TEL: 0192-47-3555"
55,"有限会社　斎勝本店
代表者: 齋藤　智仁","〒025-0086
花巻市鍛治町４－７
TEL: 0198-24-8845"
56,"さくら不動産
代表者: 貝森　千鶴","〒023-0827
奥州市水沢太日通り２丁目１－１７
TEL: 0197-51-6751"
57,"株式会社　サザンソリューションズ
代表者: 小山　泰美","〒020-0015
盛岡市本町通１丁目７－３５菅野ビル１階
TEL: 019-681-9633
HP: http://southensolutions.jp/dsadmin/infomations
Mail: info@southensolutions.jp"
58,"株式会社　佐藤組
代表者: 佐藤　寛","〒024-0051
北上市相去町旧舘沢２０－１
TEL: 0197-67-5555"
59,"さとう不動産
代表者: 佐藤　弘","〒027-0035
宮古市花輪第１６地割１－１４
TEL: 0193-69-9113
HP: http://satofudosan.net"
60,"株式会社　サン寿広
代表者: 金田　廣","〒020-0874
盛岡市南大通３丁目９－３５
TEL: 019-624-0022"
61,"株式会社　システムテック
代表者: 稗貫　正芳","〒025-0061
花巻市本館５５－６
TEL: 0198-24-5533"
62,"株式会社　ジェイ・エス・ビー・ネットワーク
盛岡店
代表者: 今井　寛","〒020-0034
盛岡市盛岡駅前通９－１０丸善ビル１階
TEL: 019-652-0005"
63,"ジャストワン　株式会社
代表者: 村松　勝行","〒020-0866
盛岡市本宮２丁目１６－１　　　　　　小泉産業ビル
TEL: 019-601-8808
HP: https://just-1.jp
Mail: info@just-1.jp"
64,"株式会社　ジョイパートナー
代表者: 南幅　大慶","〒020-0133
盛岡市青山３丁目20-10-2F
TEL: 019-681-3023"
65,"株式会社　スターＨＯＵＳＥ
代表者: 竹中正臣","〒021-0884
一関市大手町２－１０
TEL: 0191-34-5717"
66,"成城ハウジング不動産　有限会社
代表者: 佐藤　哲文","〒020-0117
盛岡市緑が丘１丁目１－７
TEL: 019-664-9777"
67,"株式会社　セブン不動産
代表者: 向川原　美穂","〒020-0033
盛岡市盛岡駅前北通６－５０　　　　井上ビル１Ｆ
TEL: 019-681-8117"
68,"株式会社　千の蔵
代表者: 千葉　圭悦","〒022-0004
大船渡市猪川町字中井沢１０－４
TEL: 0192-47-3170"
69,"株式会社　千福
代表者: 金子　忠","〒020-0052
盛岡市中太田小沼８０
TEL: 019-659-1015"
70,"株式会社　ＺＥＮ
代表者: 神山　光司","〒020-0852
盛岡市飯岡新田５地割４４番地１０
TEL: 019-613-5219"
71,"株式会社　太子建設
代表者: 佐藤　義信","〒028-4122
盛岡市寺林字平森４０－１
TEL: 019-682-1310"
72,"有限会社　田家建設工業
代表者: 田家　耕夫","〒028-0091
久慈市大川目町２－１８－１０
TEL: 0194-55-3755"
73,"株式会社　大共ホーム
代表者: 橋本　秀久","〒020-0672
滝沢市鵜飼下高柳１１－１
TEL: 019-687-1541"
74,"ダイナステージ　株式会社
代表者: 菊池　聡","〒020-0861
盛岡市仙北２丁目７番６号２階
TEL: 019-656-0300
HP: http://www.dynastage.co.jp/
Mail: info@dynastage.co.jp"
75,"ダイナリアルティ　株式会社
代表者: 續橋　志保","〒020-0866
盛岡市本宮６丁目３０－２１１階
TEL: 019-613-3661"
76,"株式会社　千田工務店
代表者: 千田　忍","〒024-0012
北上市常盤台４丁目１０番７８号
TEL: 0197-65-2562"
77,"株式会社　千田工務店
不動産事業部
代表者: 千田　忍","〒024-0092
北上市新穀町２丁目４番８号
TEL: 0197-62-7728"
