,name,details
0,"株式会社　アースデザイン
代表者: 光永　昭生","〒310-0005
水戸市水府町１５１３
TEL: 029-291-5475"
1,"アースホームズ　株式会社
代表者: 野口　幸德","〒300-1411
稲敷市伊佐津３１２
TEL: 029-869-6811"
2,"有限会社　アーネストホーム
代表者: 松谷　永述","〒311-2204
鹿嶋市大字荒井３２３４
TEL: 0299-69-3820"
3,"アーバンネット不動産　株式会社
代表者: 藤井　光男","〒306-0225
古河市磯部４７９－３
TEL: 0280-23-1377
HP: https://3060225a.hpbegin.jp/"
4,"株式会社　アーベルワン
代表者: 室井　武志","〒310-0912
水戸市見川２丁目１９８－１８
TEL: 029-241-5778"
5,"株式会社　アイアール
代表者: 酒井恒雄","〒300-0045
土浦市文京町４－８
TEL: 029-879-5683
HP: hppt://www.ir-estate.co.jp
Mail: info@ir-estate.co.jp"
6,"株式会社　アイエステートプランニング
代表者: 伊藤浩一","〒310-0827
水戸市吉沼町４４２－１
TEL: 029-291-8568"
7,"株式会社　アイビーパークス
代表者: 山本　崇史","〒305-0035
つくば市松代５丁目２－２９
TEL: 050-8011-6804"
8,"株式会社　Ⅰ　ＰＬＡＮ
代表者: 中島　郁美","〒305-0045
つくば市梅園２丁目２１－５
TEL: 029-883-0019"
9,"アイホーム土地開発　株式会社
代表者: 北村　屯","〒314-0143
神栖市神栖１丁目１２－１２
TEL: 0299-93-4580"
10,"アイミ不動産　株式会社
代表者: 濱本　もと","〒311-4143
水戸市大塚町１５０３－３オフィス８２、２F－２
TEL: 029-239-5700"
11,"青野産業　株式会社
代表者: 青野　洋和","〒314-0252
神栖市柳川２０９２－１
TEL: 0479-46-2222"
12,"株式会社　アゲル
代表者: 八十岡　豊","〒305-0817
つくば市研究学園４丁目１－９
TEL: 029-886-3221
HP: https://www.ager.jp
Mail: info@ager.jp"
13,"株式会社　アゲル
牛久営業所
代表者: 八十岡　豊","〒300-1216
牛久市神谷６丁目４１－２
TEL: 029-893-6511"
14,"株式会社　アゲル
土浦営業所
代表者: 八十岡　豊","〒315-0056
かすみがうら市上稲吉１９１７－１
TEL: 0299-57-3371"
15,"株式会社　アゲル
守谷営業所
代表者: 八十岡　豊","〒302-0127
守谷市松ケ丘７丁目１－８エクセル華０００１号
TEL: 0297-21-9300"
16,"株式会社　アゲル
水戸営業所
代表者: 八十岡　豊","〒310-0847
水戸市米沢町２３７－１５
TEL: 029-353-7280"
17,"旭ハウジング　株式会社
茨城営業所
代表者: 加藤　吉廣","〒300-1222
牛久市中央３丁目２７－１２
TEL: 029-872-3892"
18,"浅見不動産
代表者: 浅見　竜也","〒306-0036
古河市桜町１１－２７
TEL: 0280-51-5969"
19,"有限会社　アシスト
代表者: 遠西　宏之","〒310-0836
水戸市元吉田町１０４１－６
TEL: 029-247-0057"
20,"株式会社　あすなろ企画
代表者: 野中　幸由","〒310-0912
水戸市見川１丁目１１５２－１見川ベース１Ｆ
TEL: 029-239-3989"
21,"吾妻一丁目再開発事業　株式会社
代表者: 宇津野　孝行","〒300-4245
つくば市水守２１２６
TEL: 029-846-3156"
22,"株式会社　安住
代表者: 鬼澤　宜行","〒311-0105
那珂市菅谷２３６１－８
TEL: 029-353-0004
HP: https://www.a-zumi.com
Mail: info-naka@a-zumi.com"
23,"株式会社　愛宕不動産
代表者: 山口　美由紀","〒319-0202
笠間市下郷４５０６－８
TEL: 0299-57-3577"
24,"株式会社　アドバンス土地建物
代表者: 塚田　雅俊","〒310-0902
水戸市渡里町２８６９－１－１０２
TEL: 029-350-1180"
25,"アドレス　株式会社
北茨城店
代表者: 高尾　昇","〒319-1559
北茨城市中郷町上桜井2813プリミエ大谷5号室
TEL: 0293-24-9911"
26,"アドレス　株式会社
日立店
代表者: 高尾　昇","〒317-0065
日立市助川町２丁目4-15アーバンステイジ・オカベ101号室
TEL: 0294-32-5790"
27,"アドレス　株式会社
那珂店
代表者: 高尾　昇","〒311-0105
那珂市菅谷677-1日宅ビル1階
TEL: 029-212-8690"
28,"アパートマンション館　株式会社
代表者: 宮内　清美","〒302-0004
取手市取手２丁目２－７
TEL: 0297-72-1181
HP: http://www.apa-to.co.jp/
Mail: toride@apa-to.co.jp"
29,"アパートマンション館　株式会社
守谷支店
代表者: 宮内　清美","〒302-0116
守谷市大柏１００５－７１
TEL: 0297-47-1281
HP: http://www.moriya-apa-to.jp/
Mail: moriya@apa-to.co.jp"
30,"アパートマンション館　株式会社
龍ヶ崎支店
代表者: 宮内　清美","〒301-0855
龍ケ崎市藤ケ丘３丁目１－８
TEL: 0297-60-7100
HP: http://www.ryugasaki-apa-to.jp/
Mail: ryuugasaki@apa-to.co.jp"
31,"アパートマンション館　株式会社
牛久支店
代表者: 宮内　清美","〒300-1233
牛久市栄町３丁目１６６
TEL: 029-878-3700
HP: http://www.usiku-apa-to.jp/
Mail: usiku@apa-to.co.jp"
32,"株式会社　Ａｒａｔａｎｉ
代表者: 荒木　崇雄","〒306-0515
坂東市沓掛１３６５－２
TEL: 0297-44-3705"
33,"株式会社　Ａｒａｔａ　Ｈｏｍｅ
代表者: 小林　一子","〒300-2655
つくば市島名２１９２－４（諏訪Ｃ１４街区５）ヴェラビータ１０１
TEL: 029-897-3437
HP: www.aratahome.co.jp
Mail: info@aratahome.co.jp"
34,"アルテ不動産　株式会社
代表者: 浦山　重雄","〒300-0031
土浦市東崎町１１－８
TEL: 029-824-1411
Mail: pb5s-urym@helen.ocn.ne.jp"
35,"株式会社　ＡｌｂａＬｉｎｋ
茨城支店
代表者: 河田　憲二","〒305-0005
つくば市天久保１丁目５－５-202
TEL: 029-875-8750"
36,"有限会社　飯塚商事
代表者: 飯塚　浩一","〒300-0512
稲敷市椎塚１７０８－１１
TEL: 029-834-5020"
37,"株式会社　イサカホーム
代表者: 井坂　一二","〒310-0852
水戸市笠原町６８２－１３
TEL: 029-305-3118
HP: http://www.isaka-fudousan.jp/
Mail: info@isaka-fudousan.jp"
38,"株式会社　イケダ管財
代表者: 池田　眞人","〒314-0146
神栖市平泉２４１４－４
TEL: 0299-93-3241"
