,name,details
0,"アットホームズ　株式会社
代表者: 大﨑　隆司","〒272-0802
市川市柏井町１丁目１９７７番地
TEL: 047-702-3280
HP: https://www.athome.co.jp
Mail: mail@athomes.info"
1,"株式会社　アットリンクホーム
代表者: 小平　和輝","〒292-0043
木更津市東太田４丁目３－２
TEL: 0438-42-1171"
2,"アーキッツホーム　株式会社
代表者: 志見　壮一","〒270-0111
流山市江戸川台東２丁目２５２－１
TEL: 04-7157-3895"
3,"株式会社　アーキテクト・ディベロッパー
柏支店
代表者: 井村　航","〒277-0005
柏市柏３丁目２－１８リブリ・柏中央１・２階
TEL: 047-168-7550"
4,"株式会社　アーキテクト・ディベロッパー
千葉支店
代表者: 井村　航","〒260-0045
千葉市中央区弁天１丁目１６－５リブリ・千葉
TEL: 043-207-8500"
5,"株式会社　アーキテクト・ディベロッパー
船橋支店
代表者: 井村　航","〒273-0865
船橋市夏見１丁目１－１リブリ・船橋１階２階
TEL: 047-411-3141"
6,"アークホームズ　株式会社
千葉支店
代表者: 穐谷　紀行","〒271-0091
松戸市本町５－１２
TEL: 047-361-4881"
7,"株式会社　アース住環境研究所
代表者: 青島　勇","〒270-2261
松戸市常盤平７丁目２７－８
TEL: 047-382-5673"
8,"株式会社　アースワーク
代表者: 山口　勝示","〒298-0206
夷隅郡大多喜町横山６８０－１
TEL: 0470-82-5777"
9,"株式会社　アースワークス
代表者: 髙田　雅美","〒271-0051
松戸市馬橋２２８２－３
TEL: 047-348-5237"
10,"アーチ　株式会社
代表者: 山本　邦子","〒263-0043
千葉市稲毛区小仲台２丁目１３－３１Ｐｅａｃｅ２０１号
TEL: 043-255-9145"
11,"株式会社　アーチ
代表者: 榎本　太郎","〒270-0163
流山市南流山１丁目１０－４
TEL: 04-7157-3235
HP: arch@arch-tx.com
Mail: arch@arch-tx.com"
12,"株式会社　アーツ
代表者: 千代　義起","〒273-0002
船橋市東船橋２丁目１０－４８８ビル２階
TEL: 047-409-6735"
13,"株式会社　アート
代表者: 春日　常敏","〒283-0816
東金市西福俵６５－１４
TEL: 0475-52-7071"
14,"有限会社　アート企画
代表者: 今井　一博","〒290-0066
市原市五所１４９４番地ニューコーポ今井１０２号
TEL: 0436-43-8903"
15,"アート住宅設計　株式会社
代表者: 和佐　浩","〒290-0141
市原市ちはら台東３丁目３－９
TEL: 0436-52-4523"
16,"株式会社　アート住宅販売
代表者: 寺下　睦美","〒275-0001
習志野市東習志野３丁目１－２３
TEL: 047-493-3985
Mail: terasita@olive.ocn.ne.jp"
17,"アートスペース　株式会社
代表者: 小野　京子","〒267-0066
千葉市緑区あすみが丘１丁目４４－１３
TEL: 043-295-8891"
18,"株式会社　アートファクトリー
代表者: 白石　忠靖","〒292-0041
木更津市清見台東２丁目２８－１５
TEL: 0438-97-0883"
19,"有限会社　アーネスト
代表者: 小倉　喜則","〒263-0021
千葉市稲毛区轟町１丁目５－１５
TEL: 043-254-1581"
20,"株式会社　あーばん
代表者: 向田　邦晴","〒273-0005
船橋市本町６丁目３－１０－３０３
TEL: 047-481-8186"
21,"株式会社　アーバン・クリエイト
代表者: 木村　太","〒274-0816
船橋市芝山５丁目１５－６
TEL: 047-469-2426"
22,"株式会社　アーバンクレスト
代表者: 阿部　雅行","〒275-0011
習志野市大久保３丁目１２－１２
TEL: 047-470-3105
HP: https://www.homemate.co.jp/shop/hm-5493/
Mail: info@cst-urbancrest.com"
23,"アーバンスペース　株式会社
代表者: 鈴木　隆三","〒272-0834
市川市国分２丁目１－１
TEL: 047-318-5333"
24,"株式会社　アーバン不動産情報センター
代表者: 浦田　健","〒272-0138
市川市南行徳１丁目２０－１３第２エディフシオ３階
TEL: 047-390-2180"
25,"株式会社　アーバンホーム
代表者: 石﨑　俊之","〒299-0246
袖ケ浦市長浦駅前２丁目３－９
TEL: 0438-63-8411
HP: http://urbanhome.jp.net/
Mail: info@urban-homes.co.jp"
26,"有限会社　アーバンホーム
代表者: 奥村　弘","〒263-0035
千葉市稲毛区稲毛町５丁目２３２－１３
TEL: 043-213-8777"
27,"アーベストサポート　株式会社
代表者: 永峯　孝","〒299-0261
袖ケ浦市福王台３丁目８－７
TEL: 0438-97-7491
HP: http://www.abestsupport.jp
Mail: info@abestsupport.jp"
28,"株式会社　Ｒ・Ｈホーム
代表者: 川原　豊","〒273-0125
鎌ケ谷市初富本町１丁目１６－２７
TEL: 047-752-9300"
29,"ＲＬＨＤ　株式会社
代表者: 木内　雅之","〒277-0872
柏市十余二３４８番地４
TEL: 04-7131-5078"
30,"株式会社　アールシーコーポレーション
代表者: 今村　勲","〒292-0806
木更津市請西東３丁目１７－１２
TEL: 0438-30-1661"
31,"アールプランニング　株式会社
代表者: 栁澤　隆","〒270-0163
流山市南流山３丁目１－９ラ・ベルメゾンⅢ １階
TEL: 04-7157-8807"
32,"アールプランニング　株式会社
松戸店
代表者: 栁澤　隆","〒271-0092
松戸市松戸１２２８－１松戸ステーションビル３階
TEL: 047-330-1866"
33,"株式会社　ＩＲ　ｅｓｔａｔｅ
代表者: 茂木　巧一","〒273-0005
船橋市本町７丁目２３－１０ガビアーノ船橋４０６号
TEL: 050-1188-9709"
34,"あいおい開発　株式会社
代表者: 高橋　正敏","〒299-0261
袖ケ浦市福王台２丁目６－４
TEL: 0438-62-8164"
35,"あいおいＣＯＭＦＯＲＴ　株式会社
代表者: 石橋　幸治","〒264-0031
千葉市若葉区愛生町１１８－３
TEL: 043-254-8008"
36,"株式会社　アイキ
代表者: 大塚　ゆかり","〒299-1861
富津市金谷１９６５－１１
TEL: 0439-29-5711"
37,"株式会社　アイキュウプランニング
代表者: 猪股　正","〒270-0013
松戸市小金きよしケ丘２丁目１８－７
TEL: 047-309-3719
HP: http://www.i-kyu.co.jp
Mail: info@i-kyu.co.jp"
38,"株式会社　アイキョーハウス
四街道支社
代表者: 重見　康浩","〒284-0005
四街道市四街道３丁目１－１７第８ライブリービル
TEL: 043-304-4567
HP: http://www.aikyohouse.co.jp/
Mail: yotukaido@aikyo.co.jp"
39,"株式会社　アイキョーハウス
千葉中央支社
代表者: 重見　康浩","〒260-0014
千葉市中央区本千葉町１０－２３ＤＩＫマンション１階
TEL: 043-202-3338"
40,"株式会社　アイキョーハウス
印西支店
代表者: 重見　康浩","〒270-1331
印西市牧の原１丁目３番地モアショッピングセンター
TEL: 0476-47-3333"
