,name,details
0,"アールアイ企画
代表者: 保延　英敏","〒400-0111
甲斐市竜王新町581-4アールアイRyuo201
TEL: 055-234-5731"
1,"株式会社　アイディーホーム
代表者: 村松　裕","〒400-0806
甲府市善光寺１丁目１１－１６
TEL: 055-237-7660
HP: http://www.id-home.net/
Mail: info@id-home.net"
2,"アイ・ハウジング
代表者: 入倉　基公","〒400-0034
甲府市宝２丁目１３－１
TEL: 055-288-8362
HP: ai-irikura.com
Mail: south_wind328@yahoo.co.jp"
3,"株式会社　ｉＢＯＸ
代表者: 井原　克彦","〒400-0306
南アルプス市小笠原1191-2
TEL: 055-215-1099
HP: https://www.ibox-yy.com/
Mail: iboxyy@gmail.com"
4,"株式会社　ｉｗｏｒｋｓ
代表者: 稲葉　優","〒400-0053
甲府市大里町4021-1
TEL: 055-236-8586"
5,"有限会社　赤澤プランニング
代表者: 赤澤　弥生","〒409-3607
西八代郡市川三郷町印沢１５６－１ポケットハウス201
TEL: 055-288-1239
Mail: akazawa.kunio@snow.plala.or.jp"
6,"旭ハウジング　株式会社
甲府営業所
代表者: 加藤　吉廣","〒400-0053
甲府市大里町5208サンライズ甲府大里１階店舗
TEL: 055-220-2623"
7,"有限会社　アスト
代表者: 河西　宏海","〒400-0057
甲府市高室町２１－１
TEL: 055-241-2612"
8,"合同会社　アンリバー
代表者: 下川　孝司","〒400-0211
南アルプス市上今諏訪1310-3
TEL: 055-225-4828"
9,"井口建設　株式会社
代表者: 安藤　政司","〒409-0133
上野原市八ツ沢714-7
TEL: 0554-63-2944"
10,"有限会社　イツキ
代表者: 金丸　大樹","〒400-0335
南アルプス市加賀美２８７１－１
TEL: 055-282-8900"
11,"いろは地所
代表者: 渡邉　登","〒407-0263
韮崎市穴山町1592-1
TEL: 0551-30-7848
HP: https://www.zennichi.net/m/iroha/index.asp#pg_top
Mail: iroha7848@nifty.com"
12,"有限会社　上野原不動産
代表者: 杢代　秀明","〒409-0113
上野原市新田１３８０－９サーパス・ライフ１Ｆ
TEL: 0554-63-4811"
13,"株式会社　ＡｎＡ
代表者: 窪田　浩之","〒400-0123
甲斐市島上条３０６９
TEL: 055-230-9100"
