,name,details
0,"有限会社アットホーム
代表者: 手塚龍雄","〒940-0051
長岡市西神田町２丁目‐５‐１７
TEL: 0258-37-5450"
1,"株式会社　アップライト新潟
代表者: 阿部　昌広","〒950-0915
新潟市中央区鐙西１丁目17番5号
TEL: 025-290-7080"
2,"Ａ＆Ｍ新潟賃貸　株式会社
代表者: 保坂　編","〒950-0088
新潟市中央区万代３丁目5-38
TEL: 025-282-7410"
3,"株式会社　アーキファクトリー
代表者: 北原　雄一","〒949-6102
南魚沼郡湯沢町大字神立161-3エーエフビル
TEL: 025-784-4777"
4,"株式会社　アール
代表者: 平山　留美","〒943-0804
上越市新光町２丁目３番１１号
TEL: 025-520-8035
HP: http://r-joetsuchintai.com/
Mail: r_mini_mini@ybb.ne.jp"
5,"株式会社　アールス
代表者: 小西　規夫","〒940-2103
長岡市古正寺町363番地
TEL: 0258-94-4624
HP: http://www.fjs-rs.info
Mail: konuma@fjs-rs.info"
6,"株式会社　アールツー
代表者: 監物　伶奈","〒951-8126
新潟市中央区学校町通３番町484番地6
TEL: 025-201-6153"
7,"株式会社　アールデザイン
代表者: 本間　洋一","〒950-0943
新潟市中央区女池神明２丁目３番地１３
TEL: 025-278-8001
HP: http://www.r-design.jp/
Mail: info@r-design.jp"
8,"アールホーム株式会社
代表者: 斎藤　登","〒959-1232
燕市井土巻２丁目12-1
TEL: 0256-61-6070
HP: http://zennichi.net/m/rhome/
Mail: rhome@alpha.ocn.ne.jp"
9,"アールライフデザイン
代表者: 金山るり子","〒950-3304
新潟市北区木崎1105-1フォルトナＢ
TEL: 025-367-3316
Mail: 2008＠r-lifedesign.net"
10,"株式会社　ｉａトキワ
代表者: 西條　公","〒955-0808
三条市新保327番地6
TEL: 0256-35-0876"
11,"有限会社愛郷土地ホーム
代表者: 遠藤春和","〒950-3321
新潟市北区葛塚４７５１‐１
TEL: 025-384-7777
HP: http://aikyou-th.com/
Mail: aikiyou@sage.ocn.ne.jp"
12,"株式会社愛幸堂
代表者: 高橋　隆幸","〒950-2024
新潟市西区小新西３丁目14-8
TEL: 025-201-8959"
13,"株式会社　ＩＴ企画
代表者: 東條　利彦","〒950-0983
新潟市中央区神道寺１丁目2-26神道寺マンション313
TEL: 025-288-5217"
14,"株式会社　ＡＩプランニング
新潟支店
代表者: 五十嵐　豊","〒950-0150
新潟市江南区下早通柳田２丁目2-17ニュージニアス１階４号室
TEL: 025-282-5958"
15,"株式会社　ｉ　Ｈｏｍｅ
代表者: 宮島光善","〒950-0088
新潟市中央区万代３丁目5-38
TEL: 050-3681-2274"
16,"株式会社　アイ・マネージメント
代表者: 相澤　伸洋","〒940-2005
長岡市巻島１丁目29
TEL: 0258-21-3755"
17,"あいりす不動産株式会社
代表者: 上野香代子","〒950-0914
新潟市中央区紫竹山６丁目6-5
TEL: 025-288-6593
HP: http://www.airis-f.com/
Mail: info@airis-f.com"
18,"アイワ不動産
代表者: 相澤　康","〒940-0045
長岡市金房３丁目‐４‐１５
TEL: 0258-31-4123"
19,"株式会社　アオキ住建
代表者: 青木　一憲","〒945-0041
柏崎市松美２丁目2番47号
TEL: 0257-23-2888"
20,"株式会社　アオキ住建
上越営業所
代表者: 青木　一憲","〒942-0064
上越市塩屋新田350番地
TEL: 025-520-9262"
21,"株式会社あかね不動産
代表者: 高橋猛","〒959-2659
胎内市あかね町２５‐１
TEL: 0254-44-1055
HP: http://www.akanef.jp/
Mail: info@akanef.jp"
22,"株式会社　浅草屋地所
代表者: 水澤　伸嘉","〒940-0034
長岡市福住１丁目7-37
TEL: 0258-33-4919
HP: http://www.asakusayajisyo.com/
Mail: asakusayajisyo@yahoo.co.jp"
23,"旭土地開発
代表者: 戸田良一","〒949-6608
南魚沼市美佐島宇野田道１６４６‐１
TEL: 025-773-3671"
24,"株式会社アシスト
代表者: 高橋泰代","〒950-0155
新潟市江南区泉町１丁目2-23
TEL: 025-381-0039
HP: https://assist-with.com
Mail: info@assist-with.com"
25,"株式会社　新しい土地
代表者: 上原　幸雄","〒950-2004
新潟市西区平島1277番地7
TEL: 025-201-9445"
26,"株式会社　アパートナー
新潟店
代表者: 照井　亮二","〒950-2044
新潟市西区坂井砂山３丁目11-11
TEL: 025-268-5650"
27,"株式会社　Ａｌｉｖｅ
代表者: 小寺　元","〒940-1153
長岡市要町１丁目9番32号
TEL: 0258-89-8528"
