,name,details
0,"株式会社　Ａｒｔ’ｓ・Ｊａｐａｎ
代表者: 島田　隆之","〒939-8208
富山市布瀬町南３丁目６番地１２
TEL: 076-420-8113"
1,"株式会社　Ｒｅ・モデル
代表者: 成瀬　亘","〒939-8071
富山市上袋100-1アピタ富山店1階
TEL: 076-456-6587
HP: re-model55.com/
Mail: ko0419@pb.ctt.ne.jp"
2,"株式会社　アイネット
代表者: 飯村　宏","〒936-0855
滑川市有金１０７８番地
TEL: 076-411-6078
HP: https://ainet123.web.fc2.com/index.html
Mail: bgarage123@gmail.com"
3,"アイ・ハウス　株式会社
代表者: 北村　順滋","〒939-8084
富山市西中野町１丁目８番１号
TEL: 076-464-3091"
4,"アイランド
代表者: 水野　猛","〒936-0057
滑川市田中町４５－３
TEL: 076-475-6566"
5,"アクアホームサービス
代表者: 奥村　幸司","〒934-0056
射水市寺塚原633番地
TEL: 0766-73-7677
HP: http://www.aquahome.co.jp
Mail: info@aquahome.co.jp"
6,"株式会社　アクセス
代表者: 薮田　孝浩","〒935-0006
氷見市稲積２１９８
TEL: 0766-72-3841"
7,"不動産　アクテイブ
代表者: 高田　重夫","〒936-0006
滑川市荒俣２２５
TEL: 076-475-9054"
8,"アサヒホーム　有限会社
代表者: 石橋　正好","〒939-8281
富山市今泉西部町３番地9
TEL: 076-461-3678"
9,"アサヒホーム　有限会社
ハウスドゥ高岡南店
代表者: 石橋　正好","〒933-0874
高岡市京田625
TEL: 0766-30-2577"
10,"株式会社　Ａｒｚｂｕｒｎ
代表者: 鶴見　靖智","〒930-0887
富山市五福４６６番地２４
TEL: 076-471-6834"
11,"有限会社　アセア美研
代表者: 高藤　広子","〒930-0887
富山市五福１１４３番地アリスショッピングセンター
TEL: 076-471-8739"
12,"アツマロ
代表者: 坂口　国広","〒939-8251
富山市西荒屋５番地３０
TEL: 076-461-5261"
13,"合同会社　アリファリビング
代表者: 柚木　芳正","〒939-2306
富山市八尾町井田７８６番地3
TEL: 076-400-8833"
14,"あるねっと　株式会社
代表者: 水橋　誠","〒939-8083
富山市西中野本町２－１７
TEL: 076-482-6950
HP: https://arunet.biz
Mail: info@arunet.biz"
15,"株式会社　アルプス
代表者: 沢田　稔","〒930-0061
富山市一番町６－１２
TEL: 076-422-9265"
16,"株式会社　あるぺん村
代表者: 大辻　進","〒930-0044
富山市中央通り１丁目1-14中央通りビル
TEL: 076-461-7446
Mail: fudousan@alpenmura.co.jp"
17,"株式会社　安心住宅
代表者: 天井　正","〒930-0814
富山市下冨居２丁目５番６号
TEL: 076-411-6110"
18,"有限会社　イー・ディ・アイ
代表者: 大坪　隆","〒933-0874
高岡市京田４３２
TEL: 0766-28-6250
HP: http://www.zennichi.net/m/edi/index.asp
Mail: edi0725@deluxe.ocn.ne.jp"
19,"株式会社　Ｅ．プロジェクト
代表者: 高森　千代子","〒939-8081
富山市堀川小泉町１２８-５
TEL: 076-461-6092"
20,"和泉さくら地所
代表者: 野替　博史","〒939-8081
富山市堀川小泉町８４１
TEL: 076-420-7631"
21,"いずみ都市開発　株式会社
代表者: 中田　幸男","〒939-2718
富山市婦中町分田１５７
TEL: 076-466-1301"
22,"伊藤建設　株式会社
代表者: 伊藤　甚宰","〒937-0033
魚津市島尻１３４６
TEL: 0765-32-8380"
23,"いながき不動産
代表者: 稲垣　智至","〒939-1355
砺波市杉木４丁目73
TEL: 0763-32-5080"
24,"有限会社　イワクラｊｐ
代表者: 岩倉　敏男","〒930-0010
富山市稲荷元町２丁目１１－１　アピア１階
TEL: 076-433-0507
HP: http://iwakura.info/
Mail: mail@iwakura.jp"
25,"株式会社　岩崎商事
代表者: 岩崎　静雄","〒936-0806
滑川市北野２５７番地
TEL: 076-475-8660"
26,"有限会社　インテリワークス
代表者: 浅野　浩","〒939-1732
南砺市荒木１５５９－１
TEL: 0763-52-8852"
27,"有限会社　ウィズエイト
代表者: 野村　和裕","〒939-8205
富山市新根塚町２丁目１５－1
TEL: 076-420-5080"
28,"株式会社　ウィスタ
代表者: 江村　克也","〒930-0952
富山市町村２丁目４
TEL: 076-423-9988"
29,"有限会社　ウルキ開発
代表者: 坂下　祐生","〒935-0051
氷見市十二町２１１－１８
TEL: 0766-91-7531"
30,"株式会社　ＡＢＬトラスト
代表者: 長谷川　由美","〒930-0151
富山市古沢５９３
TEL: 076-436-6988"
31,"有限会社　ＡＹエンタープライズ
代表者: 東　幸夫","〒930-0074
富山市堀端町4番4号デュエットビル3階
TEL: 076-464-6221"
32,"株式会社　エーワンライフ
代表者: 瀬戸　洋之","〒930-0138
富山市呉羽町２９０１
TEL: 076-436-3288
Mail: a-onelife1997@grape.plala.or.jp"
33,"Ｈ．ファクター　株式会社
代表者: 毛利　総司","〒939-8086
富山市東中野町３丁目11-14大栄ビル３階
TEL: 076-464-4160
HP: https://www.h-factor.co.jp/
Mail: info@h-factor.co.jp"
34,"株式会社　ＨＹＡ
代表者: 米澤　勇一","〒939-0626
下新川郡入善町入膳３５０７－５
TEL: 0765-72-2166"
35,"有限会社　エステート立山
代表者: 奥村　義隆","〒930-0261
中新川郡立山町大石原２００－３
TEL: 076-464-1689"
36,"有限会社　エステート不二
代表者: 富樫　由美子","〒930-0353
中新川郡上市町法音寺２
TEL: 076-472-0227"
37,"エステートプランニングオフィスエコー
代表者: 児玉　善治","〒930-0895
富山市駒見２３６－３
TEL: 076-444-5578
Mail: info@e-echo.jp"
38,"ＳＨＯＭＥ
代表者: 杉田美智留","〒933-0802
高岡市蓮花寺４５１番地２
TEL: 0766-26-5066"
39,"株式会社　Ｆ不動産
代表者: 福山　勝年","〒939-8049
富山市堀川本郷１５－１３６
TEL: 076-495-9577
HP: http://f-fudousan.net/
Mail: ffudousan121@gmail.com"
40,"エムケー不動産
代表者: 村田　健治","〒930-0027
富山市蛯町１-４舟崎ビル２Ｆ
TEL: 076-461-7283
HP: http;//mkldl.com
Mail: murata@mkldl.com"
41,"エムズ　株式会社
代表者: 升谷　専一","〒939-2727
富山市婦中町砂子田７３番地１砂子田エムズ２０２
TEL: 076-461-7301"
42,"Ｍ’Ｓプラン
代表者: 齊藤　正治","〒930-0887
富山市五福302ドエル朝日105
TEL: 076-482-3136
HP: http://www.fudousan-ms.com
Mail: emuzu@fudousan-ms.com"
43,"エムツー住宅
代表者: 牧野　正一","〒939-8045
富山市本郷町１３０番地３０
TEL: 076-493-6732"
44,"株式会社　エムライン
代表者: 村井　弘樹","〒939-8075
富山市今泉３９－８Ｐａｒｋビル２Ｆ
TEL: 076-413-3939"
45,"株式会社　Ｌ’ｓモダン
代表者: 中田　雅三","〒933-0944
高岡市中島町1-20
TEL: 0766-54-5633"
46,"エレミヤ地所
代表者: 藤井　誠","〒939-8073
富山市大町８６番地の３
TEL: 076-492-0585"
47,"有限会社　オクト
代表者: 岡村　淳一","〒930-0916
富山市向新庄町１丁目5-23
TEL: 076-451-3059"
48,"表建築
代表者: 表　正則","〒930-0962
富山市長江本町１６－４８
TEL: 076-423-1605"
49,"カーサコンセプト　株式会社
代表者: 宮本　次郎","〒939-8213
富山市黒瀬５９番地１
TEL: 076-493-1233"
50,"開成商事　有限会社
代表者: 開田　剛","〒930-0063
富山市太田口通り１丁目5番9号
TEL: 076-423-8677"
51,"かがやき不動産　有限会社
代表者: 平尾　彰司","〒930-0835
富山市上冨居２丁目１１-４７
TEL: 076-451-3627"
52,"ＫＡＴＯＯ企画開発
代表者: 加藤　治雄","〒933-0852
高岡市下黒田１９７２－２
TEL: 0766-21-1584"
53,"カナディアンホーム　株式会社
代表者: 島田　秀喜","〒939-8264
富山市経田１２２６
TEL: 076-467-2232"
54,"カナモリ不動産
代表者: 金盛　文孝","〒939-2376
富山市八尾町福島３０３－３
TEL: 076-460-9096"
55,"株式会社　金山産業
代表者: 金山　洋子","〒936-0021
滑川市中川原１８１
TEL: 076-476-1473"
56,"株式会社　ＲＥＶＯ
代表者: 竹内　昭夫","〒939-8207
富山市布瀬本町４番地１３
TEL: 076-461-6730
HP: http://www.revo-f.com
Mail: info_f@yunite.co.jp"
57,"株式会社　大宝
代表者: 城石　浩","〒939-8272
富山市太郎丸本町２丁目4-19グラン・カメリア　１０４号室
TEL: 076-425-0621"
58,"有限会社　河﨑建設
代表者: 河﨑　秋良","〒939-8063
富山市小杉８２１－９
TEL: 076-429-8743"
59,"株式会社　共栄ホームズ
代表者: 武田　安弘","〒939-2717
富山市婦中町上田島５２-３
TEL: 076-466-3091"
60,"株式会社　吉祥地所
代表者: 本部　吉宣","〒930-0962
富山市長江本町１４番１７号
TEL: 076-422-1381"
61,"有限会社　喜中工務店
代表者: 喜中　和代","〒936-0053
滑川市上小泉５６０
TEL: 076-475-3074"
62,"クラフト
代表者: 布村　之宏","〒939-8003
富山市西公文名町12-9
TEL: 076-481-6978"
63,"車屋不動産
代表者: 車谷　伊佐一","〒938-0049
黒部市山田７４４
TEL: 0765-32-3068"
64,"グッドグッド不動産　株式会社
代表者: 青山　幸生","〒936-0853
滑川市上梅沢３９６番１
TEL: 076-475-9376
HP: http://goodgoodrealestate.jp/"
65,"グランエステート株式会社
代表者: 講神　幸人","〒939-8015
富山市中川原128-1
TEL: 076-461-5863"
66,"グランテック　株式会社
代表者: 講神　幸彦","〒939-8015
富山市中川原128-1
TEL: 076-464-1778"
67,"合同会社　ｇｒａｐｅｓ
代表者: 中川　智介","〒939-8193
富山市石田１３７０番地８
TEL: 050-5360-4678
HP: https://budoufudousan.com/
Mail: budoufudousan@gmail.com"
68,"有限会社　高英地所
代表者: 高岡　由美子","〒939-0362
射水市太閤山１丁目３１７８－５
TEL: 0766-57-0014"
69,"コスモハウス
代表者: 田中　賢治","〒939-8071
富山市上袋４６１
TEL: 076-424-2030"
70,"株式会社　コスモス
代表者: 牧 稔","〒939-8081
富山市堀川小泉町１丁目７－１
TEL: 076-422-1034"
71,"小西ホーム
代表者: 小西　広一","〒930-0856
富山市牛島新町３番７－１１５号
TEL: 076-442-4466"
72,"合同会社　シェアライフ富山
代表者: 姫野　泰尚","〒930-0846
富山市奥井町１０－２４
TEL: 076-461-4894"
73,"五光
代表者: 松倉　啓子","〒937-0041
魚津市吉島１丁目８０１－２
TEL: 0765-24-7608"
74,"株式会社　サクセス
代表者: 森林　豊光","〒930-0955
富山市天正寺４８０－１０
TEL: 076-413-8282"
75,"サクドウプラン　株式会社
代表者: 作道　康人","〒934-0005
射水市善光寺２６－５
TEL: 0766-82-5046
HP: http://sakudouplan.com"
76,"さくら住宅　有限会社
代表者: 村川　孝志","〒930-0085
富山市丸の内１丁目３－１５
TEL: 076-444-1401"
77,"株式会社　さくら不動産ギャラリー
代表者: 荘司　和明","〒933-0045
高岡市本丸町４番５号
TEL: 0766-22-7188"
78,"佐々木工業　株式会社
代表者: 佐々木　洋","〒935-0034
氷見市小竹１３－９
TEL: 0766-91-2681"
79,"有限会社　佐藤地所
代表者: 佐藤　豊一","〒939-8081
富山市堀川小泉町４８１－２８
TEL: 0764-93-3888"
80,"サポート開発
代表者: 楠　肇","〒938-0059
黒部市石田１１９６－２
TEL: 0765-57-0300"
81,"三建　株式会社
代表者: 三由　昌成","〒939-8073
富山市大町１９－１０
TEL: 076-421-8331"
82,"株式会社　サンビック富山
代表者: 大江　功一郎","〒930-0996
富山市新庄本町２丁目２－４３
TEL: 076-451-7560"
83,"有限会社　サンワ
代表者: 野村英之","〒936-0053
滑川市上小泉２８３４－１
TEL: 076-475-5080
HP: https://www.fudousan-sanwa.co.jp
Mail: info@fudousann-sanwa.co.jp"
84,"株式会社　さんわ
代表者: 石伊　大助","〒931-8314
富山市粟島町１丁目23番23号
TEL: 076-471-7067"
85,"株式会社　三和総業
代表者: 中村　義輝","〒930-0010
富山市稲荷元町３丁目１-２４
TEL: 076-433-1234"
86,"有限会社　しあわせ不動産
代表者: 守護　久雄","〒933-0045
高岡市本丸町13-19
TEL: 0766-26-6173
HP: https://shiawasedana.amebaownd.com/
Mail: shiawase2103@gmail.com"
87,"株式会社　シティ・コネクション
代表者: 車谷　伊佐一","〒938-0059
黒部市石田９１８番地1
TEL: 0765-52-1220
HP: https://cityconnection.co.jp/
Mail: info@cityconnection.co.jp"
88,"有限会社　四宮地所
代表者: 四宮　博","〒930-0812
富山市松若町１６－１１
TEL: 076-442-0820"
89,"有限会社　柴田商事
代表者: 児玉　勝","〒939-2352
富山市八尾町下新町９８－３
TEL: 076-454-5151
Mail: shibasyo@cty8.com"
90,"株式会社　島崎ファイナンシャルプランナー事務所
代表者: 島崎　俊之","〒939-8071
富山市上袋100-1アピタ富山店１Ｆ
TEL: 076-493-9161
HP: https://s-madoguchi-minami.com
Mail: info@s-madoguchi-minami.com"
91,"株式会社　真家建築工房
代表者: 作道　真治","〒939-0351
射水市戸破１４０３番地１８
TEL: 0766-82-1201"
92,"株式会社　ジェイ・エス・ビー・ネットワーク
富山大学前インフォメーションセンター
代表者: 今井　寛","〒930-0887
富山市五福３５１８－４サクセス５－５階
TEL: 076-443-3811"
93,"株式会社　ジュープラス
代表者: 永森　裕章","〒939-8055
富山市下堀７番地
TEL: 076-492-7062"
94,"有限会社　住和建設
代表者: 伏間　信子","〒930-0161
富山市東老田１１０３
TEL: 076-436-3221"
95,"株式会社　ＺＥＡＬ建創
代表者: 四間丁　努","〒939-8212
富山市掛尾町42-3ＺＥＡＬビル
TEL: 076-461-6863"
96,"有限会社　数寄屋ハウス
代表者: 塩谷　久美子","〒930-2243
富山市四方７２７
TEL: 076-435-3443"
97,"株式会社　ステージプラン
代表者: 大山　正人","〒930-0984
富山市荒川新町３番１５号Ｓビル
TEL: 076-420-1145"
98,"株式会社　すまいるほーむ
代表者: 田開　寛","〒939-8015
富山市中川原３３４
TEL: 076-421-1441"
99,"株式会社　スリーピース
代表者: 松永　明大","〒930-0085
富山市丸の内１丁目６番１２号
TEL: 076-405-0445"
100,"株式会社　星良工務店
代表者: 大浦　英明","〒936-0806
滑川市北野１７０番地
TEL: 076-475-5610"
101,"成友建設　株式会社
代表者: 坂本　智志","〒930-0936
富山市藤木2167-1
TEL: 076-425-4053"
