,name,details
0,"アース・プラン
代表者: 中出　忠幸","〒922-0304
加賀市分校町ウ８９－１
TEL: 0761-74-1637"
1,"株式会社　アールジェイ
代表者: 橋爪　大樹","〒920-0362
金沢市古府１丁目２２２
TEL: 076-259-6859"
2,"Ｒ－ＳＴＯＲＥ　株式会社
代表者: 新谷　英紀","〒920-0362
金沢市古府町1-166
TEL: 076-259-0661
HP: http://www.rstore.co.jp/
Mail: info@rstore.co.jp"
3,"株式会社　ＩＭＣアセットマネジメント
代表者: 山口　直","〒921-8825
野々市市三納２丁目４７
TEL: 076-287-0877"
4,"株式会社　アウリエ
代表者: 上田　雅大","〒921-8147
金沢市大額２丁目６５
TEL: 076-296-0988"
5,"アクトエム　合同会社
代表者: 佐々　千鶴","〒923-0907
小松市浜田町ロ５０
TEL: 0761-21-6877"
6,"浅田建設　株式会社
代表者: 浅田　国洋","〒920-0211
金沢市湊２丁目３０番地１２
TEL: 0762-37-1204"
7,"Ａ’ｚ　ＰＬＡＮ　株式会社
代表者: 辰田　正雄","〒920-0942
金沢市小立野３丁目４－３１
TEL: 076-222-8722"
8,"アセットプランニング
代表者: 長養　哲志","〒921-8034
金沢市泉野町５丁目１３番２７
TEL: 076-227-9984
HP: https://www.assetplanning-kanazawa.com
Mail: info@assetplanning-kanazawa.com"
9,"株式会社　アトランティスホーム
代表者: 垣内　申治","〒920-0027
金沢市駅西新町２丁目９－１
TEL: 076-255-3774
HP: http://atlantishome.co.jp/index.html
Mail: info@atlantishome.co.jp"
10,"株式会社　アド・ホーム
代表者: 能村　徹","〒921-8064
金沢市八日市２丁目６５６
TEL: 076-280-0050"
11,"株式会社　ＡＶＡＮＴＩＡ
金沢営業所
代表者: 沢田　康成","〒920-0901
金沢市彦三町１丁目１－１金沢彦三１１１ビル１階
TEL: 076-224-0234"
12,"株式会社　アパートナー
金沢店
代表者: 照井　亮二","〒921-8031
金沢市野町２丁目３－２ルポー広小路１階
TEL: 076-242-2160
HP: http://apartner-kanazawa.jp/
Mail: kanazawa@apartner.co.jp"
13,"アパマンション　株式会社
代表者: 元谷　外志雄","〒920-0046
金沢市大和町１－５
TEL: 076-260-8111"
14,"株式会社　アビリティ
代表者: 杉本　和重","〒929-0341
河北郡津幡町字横浜い７１
TEL: 076-254-0471"
