,name,details
0,"アットホーム
代表者: 山本　富雄","〒399-3103
下伊那郡高森町下市田２１８６－５１
TEL: 0265-35-9539"
1,"有限会社　アップル不動産
代表者: 尾泉　良秀","〒384-0061
小諸市大字加増２１７－１０
TEL: 0267-25-1231"
2,"アーキコア　株式会社
代表者: 井沢　正臣","〒390-0875
松本市城西１丁目６－２
TEL: 0263-31-5682
HP: http://www.archicore.jp/
Mail: fudousan-info@archicore.jp"
3,"アースひゃくせん不動産
代表者: 中村　與志人","〒390-1701
松本市梓川倭１９６０
TEL: 0263-76-1102"
4,"アート不動産
代表者: 竹山　友幸","〒390-0837
松本市鎌田１丁目２－２
TEL: 0263-25-2847"
5,"有限会社　アーバンデザイン
代表者: 藤巻　智也","〒389-0104
北佐久郡軽井沢町軽井沢東１９－１３
TEL: 0267-41-1667"
6,"株式会社あいさい
代表者: 醍醐　英治","〒399-8303
安曇野市穂高3142-2
TEL: 0263-82-9685
HP: https://www.zennichi.net/m/isai/
Mail: isaiagent@gmail.com"
7,"アイステージ軽井澤　株式会社
代表者: 齊木　秀祝","〒389-0111
北佐久郡軽井沢町大字長倉2477-1
TEL: 0267-46-8123"
8,"株式会社　青木ハウジング
代表者: 青木　隆則","〒244-0003
須坂市大字米持２３８
TEL: 026-245-5544"
9,"あおぞら不動産
代表者: 冨澤　曜正","〒381-0038
長野市大字東和田935コイデビル２階2-D号室
TEL: 026-477-7318"
10,"有限会社　青柳地建
代表者: 青柳　真","〒390-1241
松本市大字新村２４００
TEL: 0263-48-2880
HP: http://cindream.jp
Mail: cindream@work.odn.ne.jp"
11,"有限会社　赤壁開発
代表者: 米窪　巧","〒399-0703
塩尻市大字広丘高出1486-517
TEL: 0263-52-6229"
12,"アクアリゾート　株式会社
代表者: 市川　和幸","〒384-0304
佐久市北川463-1
TEL: 0267-54-7088"
13,"株式会社　アクセル
代表者: 片瀬　悠","〒390-0833
松本市双葉17-2
TEL: 0263-31-0255
HP: https://accel-estate.wixsite.com/estate
Mail: accel.estate@outlook.jp"
14,"浅間リゾート　株式会社
代表者: 井出　富二男","〒389-0206
北佐久郡御代田町大字御代田２２１２－２
TEL: 0267-32-0216"
15,"株式会社　アシスト環
代表者: 児玉　和美","〒389-0804
千曲市大字戸倉2632
TEL: 026-214-5778
Mail: asistk@eos.ocn.ne.jp"
16,"有限会社　あずみの舎
代表者: 山田　拓哉","〒399-8602
北安曇郡池田町大字会染１１０１７－５
TEL: 0261-61-1877
HP: www.azumino-inakagurashi.net
Mail: yamada@azumino-inakagurashi.net"
17,"安曇野不動産　株式会社
代表者: 等々力　政彦","〒399-8205
安曇野市豊科４３３１－３
TEL: 0263-71-2520"
18,"安曇不動産
代表者: 斉藤　岬","〒399-8211
安曇野市堀金烏川３１２３－７
TEL: 0263-73-2508"
19,"株式会社　アセンドホーム
代表者: 小野　博康","〒389-0111
北佐久郡軽井沢町大字長倉2023-2アーク旧軽井沢ヴィレッジⅡ　2階
TEL: 0267-31-6332"
20,"有限会社　あづみ野杜
代表者: 遠藤　一彦","〒399-8602
北安曇郡池田町大字会染６１０８－７７
TEL: 0261-62-6641"
21,"あづみ野地所
代表者: 岡村　嘉章","〒399-8304
安曇野市穂高柏原２９９４-１
TEL: 0263-74-5380"
22,"有限会社　あづみ野宅建
代表者: 松島　一雄美","〒399-8301
安曇野市穂高有明２５７２－１
TEL: 0263-83-5058"
23,"あど・ホック
代表者: 林　和一","〒386-0404
上田市上丸子２７６－３
TEL: 0268-42-0655
HP: http://www.adhoc-shinsyu.sakura.ne.jp
Mail: adhoc@air.ocn.ne.jp"
24,"有限会社　アネスト企画
代表者: 中島　秀樹","〒389-0111
北佐久郡軽井沢町大字長倉２５９１－２
TEL: 0267-45-0330"
25,"株式会社　アビラ
代表者: 松下　宏之","〒389-2257
飯山市大字飯山11492-321(斑尾高原ホテル)
TEL: 0269-64-3311"
26,"アプト相続対策　株式会社
代表者: 三浦　繁","〒385-0021
佐久市長土呂427-27佐久平　秋桜202
TEL: 0267-78-3388"
27,"株式会社　アプロ２１
代表者: 東本　強","〒390-0815
松本市深志２丁目5-13大東レジデンス深志109
TEL: 0263-88-3210"
28,"株式会社　荒井建設工業
代表者: 荒井　隆寛","〒380-0911
長野市大字稲葉６２７－１
TEL: 0262-21-4734"
29,"有限会社　新井地所
代表者: 霜鳥　市郎","〒389-1103
長野市豊野町蟹沢２８８４－１
TEL: 026-215-3071"
30,"株式会社　アライ不動産プランニング
代表者: 新井　正臣","〒386-0014
上田市材木町２丁目9-4産業振興ビル3-C
TEL: 0268-75-8170"
31,"有限会社　荒船開発
代表者: 岩月　直之","〒385-0031
佐久市内山２８２４－１
TEL: 0267-66-5050
HP: http://arafune.sakura.ne.jp
Mail: ar.kaihatsu@almond.ocn.ne.jp"
