,name,details
0,"有限会社　アット・コーポレーション
代表者: 有尾　啓","〒500-8268
岐阜市茜部菱野１丁目６５－２　河八ビル２－Ｂ
TEL: 058-276-6235"
1,"株式会社　アップル
代表者: 杉浦　徹","〒500-8361
岐阜市本荘西４丁目９２
TEL: 058-253-3669"
2,"株式会社　アースホーム
代表者: 横井　洋","〒507-0041
多治見市太平町６丁目164アイン太平1Ｆ
TEL: 0572-56-8663"
3,"有限会社　アーバンプロパティ
代表者: 和田　久夫","〒504-0915
各務原市三井山町１丁目４３
TEL: 058-375-3113"
4,"ＲＥ　有限会社
代表者: 小原　隆浩","〒507-0035
多治見市栄町１丁目５６－２　マルイビル
TEL: 0572-21-5200"
5,"株式会社　アイエスホーム
代表者: 鳥羽　増男","〒501-6105
岐阜市柳津町梅松４丁目２４
TEL: 058-387-9180"
6,"アイシン　株式会社
代表者: 今井　要","〒506-0009
高山市花岡町３丁目９５－１０
TEL: 0577-36-2555
HP: http://www7b.biglobe.ne.jp/~aisin-hidatakayama/
Mail: aisin@kfx.biglobe.ne.jp"
7,"株式会社　アイシン
代表者: 服部　桂子","〒500-8264
岐阜市茜部辰新１丁目８４
TEL: 058-215-8644"
8,"アイル企画開発　株式会社
代表者: 五十川ゆかり","〒500-8222
岐阜市琴塚２丁目１２番６
TEL: 058-322-8667"
9,"株式会社　愛和
代表者: 板頭　芳樹","〒505-0027
美濃加茂市本郷町１丁目７－２３
TEL: 0574-25-3357"
10,"葵テック　株式会社
代表者: 稲垣　彰彦","〒507-0038
多治見市白山町３丁目１４
TEL: 0572-25-4331
HP: www.aoi-tech.co.jp
Mail: support01@aoi-tech.co.jp"
11,"株式会社　青山
代表者: 青山　貫禅","〒509-7205
恵那市長島町中野２丁目１－２１
TEL: 0573-26-2011"
12,"株式会社　アクシス
代表者: 大島　稔","〒501-6232
羽島市竹鼻町狐穴１３０１
TEL: 058-391-1331"
13,"株式会社　あけぼの
代表者: 土屋　宗秀","〒504-0907
各務原市那加住吉町１丁目19
TEL: 058-260-8127"
