,name,details
0,"アットライフ
代表者: 藤浪　庸一","〒417-0055
富士市永田町１丁目１２１あさひビル２０１
TEL: 0545-52-7212"
1,"アーステック
代表者: 土井　章","〒418-0023
富士宮市山本２５８－４３
TEL: 0544-23-7474"
2,"株式会社　アート総合開発
代表者: 鈴木　武","〒437-0015
袋井市旭町２丁目１０－１２
TEL: 0538-42-1800"
3,"株式会社　アート都市開発
代表者: 小島　一彦","〒410-0308
沼津市柳沢４９２
TEL: 055-969-4511"
4,"アート不動産　有限会社
代表者: 杉本　國男","〒411-0932
駿東郡長泉町南一色２８１ー１
TEL: 055-980-5515"
5,"アーリ不動産
代表者: 山口　清美","〒422-8032
静岡市駿河区有東３丁目８－３５
TEL: 054-266-5667"
6,"株式会社　アール
代表者: 山本　智","〒413-0011
熱海市田原本町９－１熱海第一ビル
TEL: 0557-55-7778"
7,"ＲＥコンサルタント静岡　株式会社
代表者: 濵島　健太郎","〒430-0949
浜松市中区尾張町１３２－５
TEL: 053-489-6088"
8,"株式会社　ＲＨ
代表者: 池田　遼","〒417-0047
富士市青島町１８３
TEL: 0545-67-6990"
9,"有限会社　アール・ネットすずき不動産
代表者: 鈴木　修實","〒422-8004
静岡市駿河区国吉田５丁目４－１８
TEL: 054-265-1522"
10,"ＲＢＳ　有限会社
代表者: 柄澤　公彦","〒431-3125
浜松市東区半田山５丁目２－８
TEL: 050-3473-0708"
11,"ＲＢＳ　有限会社
半田山店
代表者: 柄澤　公彦","〒431-3125
浜松市東区半田山４丁目２３－７
TEL: 053-443-8578"
12,"株式会社　アールホーム
代表者: 荒木　正弘","〒420-0832
静岡市葵区横内町５
TEL: 054-294-7560"
13,"株式会社　ｉ・エステート
代表者: 森下　陽子","〒415-0014
下田市須崎５７－１アーバンヒルズ下田リゾート３２２号室
TEL: 0558-23-4551
HP: http://www.iestate.jp/
Mail: info@iestate.jp"
14,"株式会社　あいしん不動産
代表者: 藪﨑　秀實","〒422-8017
静岡市駿河区大谷１丁目９－８
TEL: 054-237-2710
HP: https://www.aishin3.jp
Mail: info@aishin3.jp"
15,"株式会社　アイズホーム
代表者: 今田　新二","〒433-8119
浜松市中区高丘北３丁目１－１７
TEL: 053-414-0825
HP: http://www.is-h.jp
Mail: imada@is-h.jp"
16,"有限会社　アイティーオー
代表者: 竹内　良","〒430-0807
浜松市中区佐藤１丁目３１－１７
TEL: 053-461-9801"
17,"ＩＤＫ　株式会社
代表者: 井出　克広","〒417-0061
富士市伝法１３３５
TEL: 0545-53-1337"
18,"ＩＤＫ　株式会社
イデキョウ　住まいの発見館
代表者: 井出　克広","〒418-0062
富士宮市城北町５５０－３
TEL: 0544-29-7777"
19,"株式会社　ＩＤＰ
代表者: 山口　拓郎","〒417-0051
富士市吉原４丁目９－１７
TEL: 0545-55-0620"
20,"合資会社　アイデクス
代表者: 井出　訓正","〒416-0906
富士市本市場１３５－１
TEL: 0545-64-8666"
21,"株式会社　愛野土地開発
代表者: 山下　拡","〒436-0086
掛川市宮脇５７－１
TEL: 0537-29-7570"
22,"有限会社　相羽工務店
代表者: 相羽　正","〒437-0065
袋井市堀越１５３５－２
TEL: 0538-43-7899"
23,"有限会社　ＩＢホールディングス
代表者: 石川　晴美","〒426-0042
藤枝市兵太夫５８２－２
TEL: 054-908-8947"
24,"株式会社　ＩＰＲ土地建物
代表者: 小林　敬仕郎","〒422-8061
静岡市駿河区森下町３－４０
TEL: 054-281-0183"
25,"株式会社　ＩＰＲ土地建物
島田店
代表者: 小林　敬仕郎","〒427-0029
島田市日之出町６－３
TEL: 0547-39-6688"
26,"有限会社　あいホーム
代表者: 望月　功一","〒420-0812
静岡市葵区古庄５丁目１－１４
TEL: 054-262-2118"
27,"株式会社　アイマチ
代表者: 堀内　聡太","〒412-0045
御殿場市川島田１５５７－２
TEL: 0550-75-7794"
