,name,details
0,"アックス不動産　株式会社
代表者: 垂水　健介","〒541-0042
大阪市中央区今橋２丁目３番１６号ＭＩＤ今橋ビル７Ｆ
TEL: 06-6231-0755"
1,"株式会社　アッシュ
代表者: 大部　秀一","〒541-0048
大阪市中央区瓦町１丁目３－２HIGASHI 　BLD４０３
TEL: 06-7502-9245"
2,"ａｔ
代表者: 林　光一","〒545-0003
大阪市阿倍野区美章園２丁目２１－２７エルベ美章園１０１号
TEL: 06-6777-3560"
3,"アットジャパンプランニング　株式会社
代表者: 弓長　徹","〒590-0958
堺市堺区宿院町西３丁２－１４
TEL: 072-320-8548
HP: http://atjapanplanning.com
Mail: info@atjapanplanning.com"
4,"株式会社　アット・ニーズ
代表者: 延原　俊永","〒538-0053
大阪市鶴見区鶴見３丁目１３番３５号グリーンビューつるみ１０７
TEL: 06-6913-5100"
5,"有限会社　アットハウジング
代表者: 大倉　嘉起","〒533-0014
大阪市東淀川区豊新３丁目５番２７号ユノキハイツ１階
TEL: 06-6990-1001"
6,"株式会社　アット・ホーム
代表者: 山田　殉也","〒573-1105
枚方市南楠葉１丁目７－１－１０１号
TEL: 072-809-5550"
7,"有限会社　アットライフ
代表者: 塩山　勇司","〒532-0003
大阪市淀川区宮原３丁目３－１１新大阪プラザビル２Ｆ
TEL: 06-6150-0677"
8,"有限会社　アットライフ
代表者: 橋口　博海","〒546-0013
大阪市東住吉区湯里２丁目１８番７号ウイングコート南栄503号
TEL: 06-4305-4447"
9,"株式会社　アップ
代表者: 楠本　公哉","〒530-0027
大阪市北区堂山町15-4梅田シティビラアクトⅢ612号
TEL: 06-6130-8835"
10,"アップエース　有限会社
代表者: 日髙　徹也","〒536-0022
大阪市城東区永田１丁目３番１７号
TEL: 06-6167-0051"
11,"株式会社　アップステージ
代表者: 青木　広子","〒541-0052
大阪市中央区安土町１丁目７－１３トヤマビル本館
TEL: 06-6261-6699"
12,"有限会社　アップスペース
代表者: 上田　慶文","〒573-0022
枚方市宮之阪３丁目1-24柿沼ﾋﾞﾙ201
TEL: 072-396-4468"
