,name,details
0,"有限会社　アッシュ建物管理
代表者: 武田　孝","〒651-0084
神戸市中央区磯辺通４丁目２－１４（エスリ－ド三宮フラワ－ロ－ド１Ｆ）
TEL: 078-262-6601"
1,"有限会社　アットハウス
代表者: 髙尾　光","〒651-0094
神戸市中央区琴ノ緒町５丁目５－８Ｍ’ｓインターナショナルタワー１Ｆ
TEL: 078-252-3900"
2,"有限会社　アットホームおおたに
代表者: 大谷　一夫","〒671-1203
姫路市勝原区丁２５４－１
TEL: 079-272-7898
HP: http://www.ath-21.com
Mail: ootani@ath-21.com"
3,"アップクリエイト　株式会社
代表者: 福岡　和秀","〒671-2217
姫路市町田７４（福岡ビル）
TEL: 079-267-5775"
4,"アップトラスト　株式会社
代表者: 中谷　龍矢","〒652-0804
神戸市兵庫区塚本通３丁目１－１２－１ロイヤル塚本１階
TEL: 078-512-3555
HP: http://uptrust.jp
Mail: info@uptrust.jp"
5,"有限会社　アップフィールド
代表者: 上田　誠一","〒658-0048
神戸市東灘区御影郡家２丁目１９－８(ライオンズマンション御影第２)
TEL: 078-843-7288"
6,"株式会社　アップライフ
代表者: 大本　潔","〒659-0093
芦屋市船戸町３－４コンフォ－ル芦屋２Ｆ
TEL: 0797-22-8288"
7,"有限会社　アークレホームサービス
代表者: 松山　隆義","〒657-0101
神戸市灘区六甲山町北六甲４５１２－６４２
TEL: 078-891-0801"
8,"有限会社　アース住建
代表者: 土屋　知揚","〒673-0037
明石市貴崎３丁目２－１－１０２
TEL: 078-924-8088"
9,"アースホーム　株式会社
代表者: 梶山　耕太郎","〒652-0805
神戸市中央区琴ノ緒町５丁目３－５
TEL: 078-261-0770"
10,"株式会社　アーデンホーム神戸
代表者: 西尾　修","〒655-0041
神戸市垂水区神陵台５丁目２２－８
TEL: 078-798-5333"
11,"有限会社　アート住建
代表者: 武本　尚","〒678-0024
相生市双葉２丁目１８番１５号
TEL: 0791-22-6700"
12,"株式会社　アートハウス
代表者: 近藤　哲也","〒664-0896
伊丹市船原２丁目３－４
TEL: 072-764-8232"
13,"株式会社　アートホームプロジェクト
代表者: 平山　潤","〒666-0033
川西市栄町１１－１（パルティＫ２）
TEL: 072-740-3232"
14,"株式会社　アートランド
代表者: 武本　尚","〒670-0054
姫路市南今宿８－９
TEL: 079-295-0185"
15,"株式会社　アーバニティー
代表者: 藤本　京子","〒663-8171
西宮市甲子園一番町７－１８パレ１番町ビル２－７
TEL: 0798-40-8818"
16,"アーバントラスト　株式会社
代表者: 肥塚　俊彦","〒671-1232
姫路市網干区大江島寺前町１０９
TEL: 079-274-0668"
