,name,details
0,"アットホーム
代表者: 梶谷　範子","〒637-0036
五條市野原西２丁目５－２９
TEL: 0747-25-3151"
1,"アップルホームエージェンシー　株式会社
代表者: 畑中　智己","〒639-0221
香芝市五ヶ所512番1
TEL: 0745-79-7017"
2,"アークスタイル不動産　株式会社
代表者: 齊藤　光徳","〒636-0091
北葛城郡河合町泉台３丁目8番18号
TEL: 0745-58-2270"
3,"有限会社　アーバンネット
代表者: 清水　石信","〒635-0035
大和高田市旭南町１－３１蔵１３１号
TEL: 0745-23-9208
Mail: urbannetto@sea.plala.or.jp"
4,"株式会社　アールエーホーム
代表者: 西峯　良作","〒634-0804
橿原市内膳町４丁目４番３号
TEL: 0744-47-3477"
5,"株式会社　アールクリエイト
代表者: 山口　耕治","〒639-0231
香芝市下田西１丁目124番1号豊富香芝ビル1階3号
TEL: 0745-44-8420
HP: http://koji.rcreate.biz/
Mail: rcreate@air.ocn.ne.jp"
6,"株式会社　アイア奈良
代表者: 南　正利","〒636-0091
北葛城郡河合町泉台３丁目８－１８
TEL: 0745-58-3100"
7,"株式会社　アイビーホーム
代表者: 松本　有司","〒630-8036
奈良市五条畑１丁目１７－２１
TEL: 0742-51-1490"
8,"アイリスＦＡホーム有限会社
代表者: 福中　昭彦","〒639-0225
香芝市瓦口２３３１
TEL: 0745-71-2170"
9,"有限会社　あおいホーム
代表者: 大川　貴仁","〒639-0236
香芝市磯壁４丁目４３６－８
TEL: 0745-78-1687"
10,"赤坂ハウジング
代表者: 井ノ口　君子","〒635-0803
北葛城郡広陵町大字大野２４４
TEL: 0745-56-3489"
11,"ＡＸＩＸＡ　株式会社
代表者: 井村　章二","〒639-0254
香芝市関屋北５丁目6番18号
TEL: 0745-49-0330
HP: http://www.axixa.co.jp
Mail: info@axixa.co.jp"
12,"秋田工務店　株式会社
代表者: 田上　博","〒634-0846
橿原市小槻町２０９－３
TEL: 0744-23-4639"
13,"株式会社　浅利工務店
代表者: 浅利　直樹","〒635-0053
大和高田市大字秋吉１９６－２
TEL: 0745-53-5035"
14,"株式会社　昇陽エステート
代表者: 松田　秀人","〒639-1123
大和郡山市筒井町1319番地6
TEL: 0743-59-3000
HP: http://asahi-estate.info/"
15,"株式会社　明日香不動産販売
代表者: 泉　耕司","〒634-0008
橿原市十市町453番5号明日香ビル5階
TEL: 0744-20-2060"
16,"アテナホーム株式会社
代表者: 吉川　友祥","〒639-1042
大和郡山市小泉町２２６１－４
TEL: 0743-55-5255"
17,"ａｂｏｋａｄｏ不動産　合同会社
代表者: 新開　香織","〒633-0066
桜井市大字西之宮311-11
TEL: 0744-41-9204"
18,"アライヴホーム　株式会社
代表者: 金田　福太郎","〒630-8001
奈良市法華寺町１４３５－１
TEL: 0742-30-3377
HP: http://alivehome.jp/
Mail: info@alivehome.jp"
19,"イッセイ住建
代表者: 上野　香樹","〒631-0052
奈良市中町4465-3
TEL: 0742-41-6054
Mail: nanairo311@yahoo.co.jp"
20,"株式会社　イースマイル
奈良本店
代表者: 島村　禮孝","〒630-8134
奈良市大安寺町504-3
TEL: 0742-34-8688"
21,"株式会社　ｅ－創建
代表者: 上田　拓也","〒635-0823
北葛城郡広陵町大字三吉元赤部方７５
TEL: 0745-55-8000"
22,"イーポート
代表者: 田中　春彦","〒639-1054
大和郡山市新町535番地1
TEL: 0743-89-0372"
23,"株式会社　イノウエアセットマネジメント
代表者: 井上　博光","〒639-2145
葛城市大屋160番地9
TEL: 0745-47-2822"
24,"株式会社　井上工務店
代表者: 仙度　緑","〒637-0084
五條市釜窪町1392
TEL: 0747-25-2580"
25,"株式会社　井上地所
代表者: 井上　數世","〒637-0093
五條市田園２丁目２番地の１
TEL: 07472-5-2573"
26,"株式会社　井上地所
吉野店
代表者: 井上　數世","〒639-3125
吉野郡大淀町大字北野１５０－９
TEL: 07463-2-5252"
27,"株式会社　井上地所
奈良中央店
代表者: 井上　數世","〒635-0031
大和高田市今里町3-5
TEL: 0745-25-7050"
28,"株式会社　井上地所
五條店
代表者: 井上　數世","〒637-0084
五條市釜窪町1392番地
TEL: 0747-26-5530"
29,"岩井建設工房
代表者: 岩井　清也","〒630-8115
奈良市大宮町２丁目７－１１
TEL: 0742-30-3114"
30,"株式会社　インディゴ
代表者: 堀口　敦由","〒639-0224
香芝市別所74番地5
TEL: 0745-60-8791"
31,"株式会社　ウィズ
代表者: 小林　治","〒631-0012
奈良市中山町1558番地の3　(302)
TEL: 0742-93-3303"
32,"ウィンストック
代表者: 東　省吾","〒630-0133
生駒市あすか野南３丁目１０－１５
TEL: 0743-71-1860"
33,"株式会社　ウェーブ
代表者: 沢田　美千枝","〒632-0063
天理市西長柄町１０
TEL: 0743-67-1730"
34,"有限会社　ウイズホーム
代表者: 栁本　明彦","〒631-0011
奈良市押熊町１２７２番地　パテイオ赤坂１０１
TEL: 0742-47-0031"
35,"有限会社　ウエンズ
代表者: 岩井　文子","〒635-0015
大和高田市幸町７番１２－４０１号
TEL: 0745-23-0468"
36,"株式会社　ウエダ
代表者: 上田　航也","〒635-0821
北葛城郡広陵町大字笠２２２番地の１
TEL: 0745-55-2121"
37,"株式会社　ウエブリーディング
代表者: 前田　千幸","〒639-0236
香芝市磯壁６丁目６０７－１
TEL: 0745-71-5858"
38,"ＡＪプロパティマネジメント　株式会社
代表者: 梶木　美織","〒636-0112
生駒郡斑鳩町法隆寺東１丁目１番５号
TEL: 0745-43-8377"
39,"株式会社　エステートフジ
代表者: 藤原　洋子","〒634-0078
橿原市八木町１丁目４－１５
TEL: 07442-9-2400"
40,"株式会社　エステートフジ
桜井店
代表者: 藤原　洋子","〒633-0063
桜井市大字川合２５１－４
TEL: 0744-43-9800"
41,"株式会社　エステートフジ
近鉄八木駅前店
代表者: 藤原　洋子","〒634-0006
橿原市新賀町２５４－６
TEL: 0744-20-0203"
42,"株式会社　エステート藤井
代表者: 藤井　孝章","〒635-0821
北葛城郡広陵町大字笠４１２－２６
TEL: 0745-54-0811"
43,"株式会社　エスファクトリー
代表者: 西端　修輔","〒630-0134
生駒市あすか野北２丁目1番10号
TEL: 0743-87-9313
HP: http://www.s-factory.nara.jp
Mail: info@s-factory.nara.jp"
44,"株式会社　エターナル住宅流通
代表者: 田中　昭治","〒634-0007
橿原市葛本町３３８番地６
TEL: 0744-21-3388"
45,"株式会社　エヌ・ジー・エス
代表者: 前川　浩二","〒634-0005
橿原市北八木町１丁目１－８　　　　　橿原中央ビル
TEL: 0744-23-7795"
46,"ＦＭホーム　株式会社
代表者: 谷　将人","〒635-0067
大和高田市春日町２丁目1-12
TEL: 0745-52-8871"
47,"株式会社　エフエムホーム
代表者: 村岡　太","〒639-0232
香芝市下田東５丁目523番地1
TEL: 0745-77-5788"
48,"株式会社　エフエムホーム
橿原店
代表者: 村岡　太","〒634-0007
橿原市葛本町312番地3
TEL: 0744-21-5788"
49,"株式会社　エフエムホーム
奈良店
代表者: 村岡　太","〒631-0823
奈良市西大寺国見町３丁目2-13
TEL: 0742-53-5788"
50,"株式会社　エムズ
代表者: 松本　庄司","〒631-0064
奈良市帝塚山南１丁目６番１５号
TEL: 0742-43-3248"
51,"エムハウス
代表者: 椿本　三佐子","〒631-0013
奈良市中山町西３丁目1831番地の5
TEL: 0742-87-0397"
52,"有限会社　ＯＴＡＳ
代表者: 嶋田　誠","〒639-1007
大和郡山市南郡山町１９２－３６
TEL: 0743-20-0703"
53,"オーテックス　株式会社
代表者: 大塚　靖史","〒631-0041
奈良市学園大和町１丁目1番4
TEL: 0742-45-8220"
54,"株式会社　大岡産業
奈良支店
代表者: 岡田　達也","〒630-0222
生駒市壱分町607番地54
TEL: 0743-85-7752"
55,"大奥商事
代表者: 大奥　春枝","〒630-8115
奈良市大宮町３丁目２１９－３
TEL: 0742-34-4909"
56,"株式会社　オフィス佳
代表者: 一　貴之","〒630-8357
奈良市杉ヶ町43-3ジョイパレス奈良駅前パートⅦ　402号
TEL: 0742-87-1477
HP: officekei-nara.com
Mail: info@officekei-nara.com"
57,"オリエントハウジング
代表者: 三浦　晃弘","〒635-0024
大和高田市日之出西本町６－１０　サングレ－ス大和高田
TEL: 0745-22-8955"
58,"オンザストアハウス　合同会社
代表者: 藏之上　邦男","〒630-8301
奈良市高畑町30番地の３
TEL: 0742-55-1898"
59,"株式会社　橿原住宅
代表者: 川崎　悟","〒634-0831
橿原市曽我町１０４５－７
TEL: 0744-24-5811
HP: http://www.kashihara-jutaku.co.jp/
Mail: info@kashihara-jutaku.co.jp"
60,"有限会社　カセヤビル
代表者: 吉井　英一郎","〒635-0824
北葛城郡広陵町大字疋相１３６
TEL: 0745-55-0431"
61,"勝美商事
代表者: 西本　勝","〒635-0803
北葛城郡広陵町大字大野363番地21
TEL: 0745-58-2323"
62,"葛城ホーム　株式会社
代表者: 西川　幸治","〒635-0822
北葛城郡広陵町大字平尾７０６－１
TEL: 0745-55-1021
HP: https://www.k-home.co.jp/
Mail: k-home@sky.plala.or.jp"
63,"有限会社　川北商事
代表者: 川北　能弘","〒635-0067
大和高田市春日町１丁目８－２７
TEL: 0745-52-1355"
64,"有限会社　川田商事
代表者: 川田　一郎","〒639-1123
大和郡山市筒井町913番地1
TEL: 0743-59-1777
Mail: info@kawata-syouji.com"
65,"川田住建
代表者: 川田　倫弘","〒630-8101
奈良市青山８丁目２６５
TEL: 0742-22-0988"
66,"株式会社　関西トレーディング
代表者: 川東　則夫","〒630-8031
奈良市柏木町３５３－１
TEL: 0742-32-5510"
67,"株式会社　関西不動産販売
代表者: 丸橋　康之","〒639-0223
香芝市真美ヶ丘５丁目５番２６号
TEL: 0745-44-8681"
68,"九　株式会社
代表者: 梅木　宏一郎","〒639-0237
香芝市すみれ野１丁目１番７
TEL: 050-7109-8098"
69,"株式会社　協栄ホーム
代表者: 久保西　勇治","〒630-8013
奈良市三条大路１丁目１０－５０　　　協栄ビル
TEL: 0742-30-3751"
70,"共同企画
代表者: 上岡　政廣","〒636-0072
北葛城郡河合町中山台２丁目４－６
TEL: 0745-73-7198"
71,"京和ビルディング　株式会社
代表者: 山田　良弘","〒630-0263
生駒市中菜畑２丁目１０１１－１
TEL: 07437-5-1030"
72,"岸田不動産　株式会社
代表者: 岸田　安訓","〒636-0202
磯城郡川西町大字結崎７４７番地の１２８
TEL: 0745-43-0089"
73,"貴船不動産
代表者: 船木　孝純","〒639-1156
大和郡山市堺町２９番地　秀英ビル内
TEL: 07435-3-3200
Mail: kibunetakarabune@yahoo.co.jp"
74,"株式会社　清須組
代表者: 清須　悠佑","〒633-2422
吉野郡東吉野村大字鷲家１６０７
TEL: 07464-2-0534"
75,"株式会社　キラマチ不動産
代表者: 上田　庸輔","〒634-0072
橿原市醍醐町522番1
TEL: 0744-20-2130"
76,"霧島住宅　株式会社
代表者: 宮原　謙治","〒630-0101
生駒市高山町５６３９番地
TEL: 0743-71-0828
HP: http://www.kirishima-j.co.jp/
Mail: info@kirishima-j.co.jp"
77,"株式会社　近畿不動産販売
大和高田店
代表者: 位田　善文","〒635-0064
大和高田市栄町3番18号
TEL: 0745-21-5021"
78,"株式会社　近畿不動産販売
大和八木店
代表者: 位田　善文","〒634-0006
橿原市新賀町２００－２
TEL: 0744-25-0021"
79,"株式会社　近畿不動産販売
香芝店
代表者: 位田　善文","〒639-0231
香芝市下田西３丁目２番１７号
TEL: 0745-79-0021"
80,"株式会社　栗実住宅
代表者: 國原　正記","〒630-8041
奈良市六条町１１３番４
TEL: 0742-34-8300"
81,"株式会社　グリーン
代表者: 北垣　公一","〒631-0033
奈良市あやめ池南１丁目３番２号２号室
TEL: 0742-81-3661
HP: https://green-corp.co.jp/
Mail: info@green-corp.co.jp"
82,"ＫＩ地創　株式会社
代表者: 村上　治之","〒630-8001
奈良市法華寺町482番地
TEL: 0742-33-0010"
83,"有限会社　ケイアンドエム
代表者: 村野　秀宗","〒639-2102
葛城市東室122番地1
TEL: 0745-69-8855"
84,"株式会社　ＫＧ－Ｎｅｘｔ
代表者: 比嘉　辰則","〒636-0344
磯城郡田原本町大字宮森304－5
TEL: 0744-38-9025"
85,"けいま総建
代表者: 木村　孝博","〒630-8115
奈良市大宮町４丁目465オーヤビル新館302号室
TEL: 0742-93-8621"
86,"株式会社　元大
代表者: 河野　紀夫","〒630-8031
奈良市柏木町３８３
TEL: 0742-35-1303"
87,"髙栄ハウジング　株式会社
代表者: 溝口　栄一","〒634-0837
橿原市曲川町６丁目12番7号
TEL: 07442-5-0006
HP: https://www.koueihousing.com/
Mail: info@koueihousing.com"
88,"株式会社　恒心不動産
代表者: 牧薗　文彦","〒632-0016
天理市川原城町８３９－１
TEL: 07436-3-5423
HP: http://www.koushin-re.co.jp
Mail: koushin@opal.plala.or.jp"
89,"光陽住建
代表者: 吉岡　正博","〒631-0805
奈良市右京３丁目３－９
TEL: 0742-71-8281"
90,"株式会社　香紀ホーム
代表者: 花房　好美","〒631-0811
奈良市秋篠町１２４８－１４
TEL: 0742-46-4000"
91,"恒和　株式会社
代表者: 中塚　宏明","〒630-2234
山辺郡山添村大字切幡１３４３－１
TEL: 0743-87-0558"
92,"ＫＯＫＯＲＯ住建
代表者: 中川　英典","〒639-0266
香芝市旭ヶ丘２丁目12-13
TEL: 0745-27-9322"
93,"有限会社　コスモビジネス
代表者: 南本　明美","〒631-0803
奈良市山陵町548番地
TEL: 0742-51-3993"
94,"株式会社　寿ｈｏｍｅ
代表者: 村松　幸夫","〒630-0252
生駒市山崎町４－１－３　東生駒グランドハイツ１１２
TEL: 0743-87-9688
HP: http://www.kotobukihome.com
Mail: 2990950191"
95,"小松合同会社
代表者: 小松　秀次","〒631-0043
奈良市菅野台16番12号
TEL: 0742-52-5890"
96,"古民家鑑定所　株式会社
代表者: 大風　彰一","〒639-1107
大和郡山市若槻町１７５－４
TEL: 0743-58-5851"
97,"株式会社　サカモト
代表者: 坂本　訓啓","〒635-0037
大和高田市中今里町２－３８
TEL: 0745-53-3114"
98,"サカノ総合企画
代表者: 坂野　佳宏","〒635-0834
北葛城郡広陵町大字大塚４８９－１
TEL: 0745-55-3703"
99,"株式会社　サクシード
代表者: 村上　慎一","〒630-8114
奈良市芝辻町４丁目６－１５　宝来ビル３０１
TEL: 0742-30-3910"
100,"さくら住建
代表者: 髙橋　勇治","〒630-0222
生駒市壱分町１１７４－３クレールいちぶ１０１
TEL: 0743-77-0011"
101,"株式会社　さとみハウジング
代表者: 石橋　豊","〒632-0076
天理市岩室町５３－１
TEL: 0743-63-2980"
102,"株式会社　侍
代表者: 花田　雷覇","〒636-0123
生駒郡斑鳩町興留１丁目６番３１号
TEL: 050-3479-3601"
103,"サンワホーム
代表者: 永野　雅彦","〒639-0265
香芝市上中１０７番地５
TEL: 07457-7-1177"
104,"サンエコ　株式会社
代表者: 中塚　健藏","〒630-8211
奈良市雑司町３６８－２
TEL: 0742-27-0014"
105,"株式会社　三久
代表者: 石川　恭子","〒635-0013
大和高田市昭和町８番１３－４０２号朝日プラザイーストウイング
TEL: 0745-25-1432"
106,"株式会社　三恵
代表者: 北　利充","〒630-8114
奈良市芝辻町２丁目２番７ー２０７号
TEL: 0742-93-9746"
107,"三郷住建　株式会社
代表者: 納　栄盛","〒636-0803
生駒郡三郷町東信貴ケ丘１丁目９－２９
TEL: 0745-32-4557"
108,"株式会社　サンベイズ
代表者: 西田　晃","〒633-0068
桜井市大字東新堂97番地
TEL: 0744-44-6677"
109,"サンワ・ハウス　株式会社
代表者: 小川　一夫","〒636-0013
北葛城郡王寺町元町１丁目７－１
TEL: 0745-32-1160"
110,"株式会社　シュガーアソシエイツ
代表者: 佐藤　貴弘","〒630-8247
奈良市油阪町438-1　　　4Ｆ
TEL: 0742-93-3358"
111,"翔星建設　株式会社
代表者: 吉田　裕史","〒630-8104
奈良市奈良阪町1085番地
TEL: 0742-23-6768"
112,"株式会社　四季園
代表者: 松本　孝一","〒630-0135
生駒市南田原町３９３
TEL: 0743-79-9770"
113,"シマ建設　株式会社
代表者: 小島　健一","〒639-1028
大和郡山市田中町８１８－１
TEL: 0743-52-1010"
114,"株式会社　シマホーム
代表者: 小島　麻男","〒639-1107
大和郡山市若槻町109番地16
TEL: 0743-55-0026"
115,"伸和建設　株式会社
代表者: 山中　祐次","〒636-0246
磯城郡田原本町千代１１１０－５
TEL: 0744-32-8850"
116,"新都市再生　株式会社
代表者: 井上　博司","〒630-8104
奈良市奈良阪町１０８５番地緑商第１ビル１階
TEL: 0742-20-5878"
117,"伸陽興産
代表者: 金本　英子","〒639-1121
大和郡山市杉町４３－１
TEL: 0743-56-5617"
118,"株式会社　ジェイマップス
代表者: 中川　善之","〒630-0212
生駒市辻町753番地東生駒諏訪ビル202号
TEL: 0743-72-1151"
119,"株式会社　住地
代表者: 梅原　清孝","〒630-8013
奈良市三条大路２丁目１－７６　プレナコ－ト１Ｆ
TEL: 0742-30-5500"
120,"ＪＯＩＮ　株式会社
代表者: 伊藤　良彦","〒634-0803
橿原市上品寺町８１番地の３エレガンハイツ２０１号
TEL: 0744-35-6621"
121,"株式会社　スエヒロ不動産
代表者: 棚橋　慶郎","〒636-0932
生駒郡平群町吉新４丁目4番8号岡田ビル１０５
TEL: 0745-45-8172"
122,"株式会社　杉建築設計
代表者: 杉　幸治","〒630-8216
奈良市東向南町２番地パレスビル４階
TEL: 0742-27-2024"
123,"杉田屋
代表者: 杉田　裕一","〒630-8014
奈良市四条大路１丁目3-6ライフプラスワン203号
TEL: 0742-93-7720"
124,"西武建設　株式会社
代表者: 國澤　英明","〒633-0068
桜井市大字東新堂３２５番地の１　西武マンシヨン１Ｆ
TEL: 07444-6-3311"
125,"誠公不動産
代表者: 松川　公明","〒630-8357
奈良市杉ヶ町３９－２杉ヶ町ビル２０１号
TEL: 0742-94-4006"
126,"株式会社　ＺＥＶ・ＣＯＲＰＯＲＡＴＩＯＮ
奈良支店
代表者: 辻　得夫","〒639-1123
大和郡山市筒井町１４２－１－３
TEL: 0743-59-3334"
127,"株式会社　総建
代表者: 北村　憲一","〒635-0134
高市郡高取町大字薩摩５２７
TEL: 0744-52-3921"
128,"株式会社　ソニック
代表者: 小林　訓子","〒631-0011
奈良市押熊町１８０
TEL: 0742-41-2232"
129,"株式会社　タッタ住宅
代表者: 大山　陽子","〒636-0914
生駒郡平群町西宮２丁目７番１８号
TEL: 0745-45-0963"
