,name,details
0,"アイケア不動産
代表者: 増田　隆之","〒779-3223
名西郡石井町高川原字高川原2433-32
TEL: 088-660-6688"
1,"アイワ　株式会社
代表者: 林　和弘","〒770-8053
徳島市沖浜東１丁目9
TEL: 088-655-1244"
2,"アイワハウジング
代表者: 島田　計一","〒770-0812
徳島市北常三島町２丁目１６
TEL: 0886-55-3338
Mail: aiwa@silk.plala.or.jp"
3,"アセットマネジメントサービス
代表者: 廣瀬　佳代","〒770-0874
徳島市南沖洲４丁目４－９７
TEL: 088-664-8066"
4,"阿南住宅　有限会社
代表者: 松浦　壽郎","〒774-0030
阿南市富岡町玉塚２７－１
TEL: 0884-22-7001"
5,"あんしん神の山不動産
代表者: 河野　俊明","〒771-3422
名西郡神山町上分字本根川460番地
TEL: 050-2024-4982"
6,"Ｅホーム
代表者: 小森　仁史","〒772-0032
鳴門市大津町吉永79-6
TEL: 088-677-5253"
7,"Ｙｅｓ不動産　株式会社
代表者: 祖父江　徹","〒770-0802
徳島市吉野本町５丁目30-1
TEL: 088-612-7733"
8,"壱億不動産企画　株式会社
代表者: 中西　裕一","〒770-0941
徳島市万代町５丁目７番地3フタバビル101
TEL: 088-679-1822"
9,"有限会社　イワイ
代表者: 岩井　治","〒779-4102
美馬郡貞光町字野口３０－１
TEL: 0883-62-2267"
10,"株式会社　ウェイバル
代表者: 久米　委周","〒770-8063
徳島市南二軒屋町２丁目４番３４号
TEL: 088-655-8055"
11,"株式会社　ウザワ
代表者: 鵜澤　一郎","〒772-0051
鳴門市鳴門町高島字北580
TEL: 088-679-7516"
12,"有限会社ヴィラージュ
代表者: 青野　隆","〒770-0868
徳島市福島２丁目４番７号
TEL: 088-623-0008"
13,"ＨＹみはるホーム　株式会社
代表者: 米田　久夫","〒779-3117
徳島市国府町日開９４９－２
TEL: 088-635-3753"
14,"株式会社　エスプレイス
代表者: 元木　幾美子","〒771-0201
板野郡北島町北村字西久保38-1
TEL: 088-679-7486"
15,"エドマスター　株式会社
徳島支店
代表者: 武岡　史郎","〒770-8051
徳島市沖浜町北畑５１３－３北畑マンション２０４号
TEL: 088-624-8872"
16,"株式会社Ｍ－ｃｒｅａｔｅ
代表者: 古謝　まどか","〒770-0937
徳島市富田橋５丁目11-4
TEL: 088-678-3137"
17,"ＭＫプランニングコンサルタント　株式会社
代表者: 三阪　幸治","〒771-1201
板野郡藍住町奥野字乾157-1
TEL: 088-692-0563"
18,"株式会社　Ｍ＇ｚ
代表者: 立石　真人","〒770-0944
徳島市南昭和町６丁目60番地の3
TEL: 088-635-3884"
19,"株式会社　エムプロジェクト
代表者: 細田　篤志","〒773-0023
小松島市坂野町字大久保８１番地１
TEL: 0885-48-8660"
20,"有限会社　おおにし
代表者: 大西　久","〒770-0047
徳島市名東町２丁目５８８－３
TEL: 0886-31-3880"
21,"オオルリ不動産
代表者: 古屋　好規","〒770-8011
徳島市論田町中開52-9
TEL: 088-663-3331"
22,"オフィス島村
代表者: 島村　廣子","〒770-0861
徳島市住吉６丁目６－６０－９０４
TEL: 088-626-2556"
23,"オフィス　レック
代表者: 安丸　瑞穂","〒771-1401
阿波市吉野町柿原字ノタ原１１５番地３４
TEL: 088-660-6322"
24,"オリーブハウジング　株式会社
代表者: 吉岡　克富","〒770-0815
徳島市助任橋２丁目34-10
TEL: 088-624-8765"
25,"梶原不動産
代表者: 梶原　義邦","〒770-0025
徳島市佐古五番町6-22
TEL: 088-623-5530"
26,"有限会社　桂
代表者: 福井　七五三夫","〒774-0016
阿南市中林町南林３８－２
TEL: 0884-24-5790"
27,"株式会社　加藤不動産販売
代表者: 加藤　稔大","〒771-0203
板野郡北島町中村字樫切6番地6
TEL: 088-697-2017"
28,"神木不動産
代表者: 神木　利幸","〒770-8070
徳島市八万町宮ノ谷５番地４
TEL: 0886-69-5886"
29,"協大　株式会社
代表者: 竹原　司朗","〒770-0834
徳島市元町２丁目11番地竹原ビル３F
TEL: 088-635-3435"
