,name,details
0,"有限会社　アットホーム・エステート
代表者: 鈴木　誠司","〒761-8075
高松市多肥下町１５５６－１１
TEL: 087-814-8850"
1,"アップル不動産株式会社
代表者: 井出　喜久美","〒769-1101
三豊市詫間町詫間2102番地1ABCテナント2F
TEL: 0875-83-5740
HP: https://applefudousan.com
Mail: info@applefudousan.com"
2,"有限会社　アーク
代表者: 髙橋　克明","〒763-0081
丸亀市土器町西４丁目364番地丸大ビル２階
TEL: 0877-23-4777"
3,"株式会社　アークス
高松駅前店
代表者: 影山　千太郎","〒760-0021
高松市西の丸町1-1今井ビル１F
TEL: 087-811-3700"
4,"株式会社　アイ・エステート
代表者: 石川　博之","〒762-0087
丸亀市飯山町西坂元１１１０－１
TEL: 0877-55-1504
HP: http://senior-smilehousing.com
Mail: aiestatekagawa@gmail.com"
5,"有限会社　アイ・プロジェクト
代表者: 物部　高志","〒761-0102
高松市新田町甲1020番地1
TEL: 087-843-8878"
6,"有限会社　アサヒホーム
代表者: 藤原　明","〒768-0013
観音寺市村黒町265番地1
TEL: 0875-25-9886"
7,"株式会社アシストライフ
代表者: 竹内　翔","〒760-0004
高松市西宝町１丁目６－２４中村ビル1F
TEL: 087-813-4606"
8,"株式会社　アストラスト
代表者: 冨岡　計孝","〒763-0053
丸亀市金倉町１４３２番地３
TEL: 0877-35-9620"
9,"株式会社　アパテック
代表者: 吉原　保則","〒769-2302
さぬき市長尾西954番地6
TEL: 0879-24-9001"
10,"安部不動産販売
代表者: 安部　信彦","〒769-0210
綾歌郡宇多津町3545番地3
TEL: 0877-55-6556"
11,"アルモンデ
代表者: 片山　哲也","〒761-8077
高松市出作町347-3
TEL: 087-889-8533
HP: http://almonde.jp/
Mail: tetsu010percent@gmail.com"
12,"株式会社　いえなび
高松中央通り店
代表者: 後藤　良太","〒760-0024
高松市兵庫町２－９
TEL: 087-851-3765"
13,"株式会社　いえなび
高松サンフラワー通り店
代表者: 後藤　良太","〒761-8071
高松市伏石町1314-4
TEL: 087-899-6915"
14,"有限会社いずみ
代表者: 大山　愛","〒760-0068
高松市松島町３丁目4番20号
TEL: 087-887-9771"
15,"井関商事
代表者: 井関　達也","〒761-0113
高松市屋島西町１５４７－１
TEL: 087-841-9720
HP: http://www.zennichi.net/m/reaiseki/
Mail: rea-iseki@mf.pikara.ne.jp"
16,"株式会社イドコロ
代表者: 増田　利洋","〒766-0011
仲多度郡まんのう町公文３７８番地４６
TEL: 0877-43-7791"
17,"有限会社　稲田総合事務所
代表者: 稲田　美佐子","〒767-0011
三豊市高瀬町下勝間505番地3
TEL: 0875-72-3565"
18,"有限会社　ウィック
代表者: 若宮　達也","〒760-0002
高松市茜町２８－２６
TEL: 087-851-4824"
19,"株式会社　ウィズライフホーム
代表者: 喜久山　知哉","〒761-8073
高松市太田下町２３５７－１
TEL: 087-880-7015"
20,"株式会社　ウッドホーム
代表者: 中庭　有理","〒761-0301
高松市林町2217番地8
TEL: 087-866-2050"
21,"株式会社ｖａｒｉｏｕｓ　ｐｒｏｊｅｃｔｓ
代表者: 森　伸悟","〒761-1701
高松市香川町大野１３６０番地３
TEL: 080-6730-7408"
22,"栄地企画
代表者: 岡田　英則","〒760-0080
高松市木太町１１５３番地１
TEL: 087-866-2705"
23,"株式会社　えざき
高松支店
代表者: 日野　健太郎","〒760-0064
高松市朝日新町13番3号
TEL: 087-822-3213"
24,"株式会社　エステート・Ｋ
代表者: 車口　和寿","〒760-0078
高松市今里町１丁目28番地29
TEL: 087-802-5650"
25,"株式会社　エフ・コーポレーション
代表者: 藤田　宏和","〒761-2305
綾歌郡綾川町滝宮４６９番地１５
TEL: 087-814-4140"
26,"Ｅｍｉ不動産
代表者: 久保　栄美","〒763-0046
丸亀市南条町1-1丸亀ビル
TEL: 0877-85-5074"
27,"おうちの相談所香川
代表者: 仁田　隼人","〒763-0044
丸亀市福島町153番地3
TEL: 0877-43-7020"
28,"オカモト不動産
代表者: 岡本　明美","〒760-0002
高松市茜町２５番１３号
TEL: 087-837-8420"
29,"オフィスネットワーク
代表者: 中久木　秀行","〒760-0078
高松市今里町７－１４
TEL: 087-815-2477"
30,"Ｏ＇Ｂｒｅｅ　株式会社
代表者: オブリー　裕美子","〒768-0076
観音寺市港町１丁目6番17号
TEL: 0875-88-9036"
31,"株式会社　オリーブ環境開発
代表者: 小川　恵美子","〒761-4122
小豆郡土庄町上庄１３５２番地
TEL: 0879-62-9193"
32,"有限会社　香川水道工業所
代表者: 小山　嘉樹","〒761-8072
高松市三条町79-5
TEL: 087-865-6012"
33,"株式会社香川わくわく不動産
代表者: 寺井　眞人","〒760-0078
高松市今里町１丁目19-10
TEL: 087-880-6135"
34,"鎌倉工業　株式会社
代表者: 鎌倉　誠","〒763-0081
丸亀市土器町西１丁目１１８５－７
TEL: 0877-22-2899"
35,"株式会社ｃｏｌｏｒｓ
代表者: 音泉　裕子","〒763-0045
丸亀市新町４番地２４グランコーポ丸亀３０４
TEL: 0877-43-7826"
36,"京都ハウジング　株式会社
代表者: 鈴木　一雄","〒763-0046
丸亀市南条町５９－１
TEL: 0877-24-2777"
37,"京都ハウジング　株式会社
駅前店
代表者: 鈴木　一雄","〒763-0022
丸亀市浜町3番地1
TEL: 0877-24-5400"
38,"京都ライフ　株式会社
代表者: 鈴木　一雄","〒763-0022
丸亀市浜町３番地１
TEL: 0877-85-3456"
39,"株式会社共同
代表者: 山下　伸宏","〒767-0011
三豊市高瀬町下勝間650-1
TEL: 0875-72-0531"
40,"菊池不動産
代表者: 菊池　栄子","〒769-2702
東かがわ市松原１２３４－２８
TEL: 0879-25-3445
Mail: kikuchi34@mc.pikara.ne.jp"
41,"株式会社　クオリティライフ
香川坂出店
代表者: 平野　剛誠","〒762-0006
坂出市旭町３丁目7-5
TEL: 0877-85-8222"
42,"株式会社　クリーンＨＯＴ
代表者: 濱西　和夫","〒762-0058
坂出市常盤町１丁目７－７
TEL: 0877-58-0001"
43,"株式会社クルー不動産
代表者: 長田　英三郎","〒763-0012
丸亀市土居町２丁目18番7号
TEL: 0877-85-7036"
44,"有限会社　グローバル・エボリューション
代表者: 鎌野　孝治","〒761-0450
高松市三谷町１６５８－５
TEL: 087-888-6194"
45,"株式会社　ＫーＨＯＵＳＥ．
代表者: 田中　啓司","〒762-0025
坂出市川津町2725番地1
TEL: 0877-45-1123"
