,name,details
0,"アットホーム不動産
代表者: 山﨑　ゆかり","〒781-0013
高知市薊野中町34-8
TEL: 088-846-0707"
1,"アース住宅
代表者: 笹原　順子","〒780-0031
高知市宇津野１２－５
TEL: 088-823-0253"
2,"アイアップ不動産
代表者: 和田　義許","〒781-5106
高知市介良乙737-7
TEL: 088-860-5688"
3,"有限会社　アイス不動産
代表者: 中澤　正志","〒783-0004
南国市大埇甲1255番地1
TEL: 088-878-6644"
4,"あおい住宅
代表者: 桒原　英進","〒780-0065
高知市塩田町10番12号カーサAoi　1階
TEL: 088-855-9344"
5,"有限会社　朝日不動産
代表者: 尾﨑　幸男","〒781-1134
土佐市家俊１２６－１
TEL: 088-855-0052"
6,"アスカ
代表者: 古谷　廣海","〒782-0051
香美市土佐山田町楠目１０６８－１
TEL: 0887-57-0130
Mail: aska_kozyannto@yahoo.co.jp"
7,"株式会社　恵美寿
代表者: 福永　美貴","〒782-0014
香美市土佐山田町小田島２７１
TEL: 0887-53-5567"
8,"ＭＩタウン企画部
代表者: 片岡　正治","〒781-5213
香南市野市町東野１９３６－３
TEL: 0887-55-5329"
9,"有限会社　エルジー調査・鑑定事務所
代表者: 竹村　俊彦","〒780-0983
高知市中久万208
TEL: 088-879-6938
Mail: toshi8561@ybb.ne.jp"
10,"オーミ住宅
代表者: 赤松　利枝子","〒781-4217
香美市香北町橋川野２９０－１
TEL: 0887-56-9848"
11,"株式会社　岡豊宅建
代表者: 中澤　正文","〒783-0041
南国市岡豊町定林寺248-2
TEL: 088-855-8978"
12,"有限会社　楓企画
代表者: 松岡　剛司","〒781-0241
高知市横浜新町４丁目３２４番地
TEL: 088-848-0543"
13,"克建　株式会社
代表者: 井上　克明","〒781-8121
高知市葛島４丁目6番6号
TEL: 088-803-5558"
14,"株式会社　建商
代表者: 西森　義信","〒781-0270
高知市長浜3109番地3
TEL: 088-841-5511"
