,name,details
0,"株式会社　アッシュコーポレーション
代表者: 和田　基","〒617-0002
向日市寺戸町梅ノ木１０－８　　　　アツシユビル１Ｆ
TEL: 075-924-1100"
1,"アットホームダット
代表者: 武並　良見","〒621-0846
亀岡市南つつじケ丘大葉台２丁目４１－８
TEL: 0771-29-5786"
2,"株式会社　アッドスパイス
代表者: 武内　千佳","〒602-0054
京都市上京区今出川通堀川東入飛鳥井町267番地4アッドスパイスビル
TEL: 075-205-4789"
3,"株式会社　アップインテリジェンスプランニング
代表者: 河本　泰史","〒602-0024
京都市上京区新町通上立売上る上立売町1番地7
TEL: 075-415-1183"
4,"アップルコーポレーション　株式会社
代表者: 高井　正明","〒606-0021
京都市左京区岩倉忠在地町１０番地１０
TEL: 075-712-2722"
5,"株式会社　アーキエムズ
代表者: 村田　雅明","〒604-8176
京都市中京区両替町通御池上る龍池町４４９番地１
TEL: 075-241-2227"
6,"株式会社　ＡＲＴＣＵＢＥ
代表者: 垣内　忠正","〒622-0234
船井郡京丹波町塩田谷大将軍１０－１
TEL: 0771-82-0802"
7,"アートホーム　株式会社
代表者: 乾　賀弘","〒615-8237
京都市西京区山田中吉見町6番地メルヴィーユ桂102
TEL: 075-381-8772"
8,"有限会社　アーネスト
代表者: 坂本　敦子","〒617-0831
長岡京市一里塚２－１０　ア－ネストハイツ一里塚１０２号
TEL: 075-955-1235"
9,"アーバンデベ　株式会社
代表者: 岡　世津子","〒610-0331
京田辺市田辺沓脱52番地4
TEL: 0774-39-8086"
10,"有限会社　アール・グリーン
代表者: 柴田　弘次","〒612-8464
京都市伏見区中島前山町７６番地
TEL: 075-602-1629"
11,"有限会社　ｉｓｉ
代表者: 石原　茂","〒603-8404
京都市北区大宮中林町３８－４
TEL: 075-494-2865
Mail: sekigenft@yahoo.co.jp"
12,"アイエステート　株式会社
代表者: 松村　建彦","〒606-8214
京都市左京区田中南大久保町６９　　リバテイ東大路１階
TEL: 075-712-3636"
13,"株式会社　愛京住宅
代表者: 德久　聡","〒615-8086
京都市西京区桂乾町１４－１
TEL: 075-382-6668"
14,"有限会社　アイコウ
代表者: 佐藤　修","〒621-0804
亀岡市追分町馬場通２番地の４
TEL: 0771-23-3444"
15,"株式会社　アイ・コミュニティーズ
代表者: 今枝　利浩","〒604-8423
京都市中京区西ノ京西月光町５５
TEL: 075-821-7222"
16,"有限会社　アイサポート
代表者: 冨永　智子","〒606-8365
京都市左京区新富小路通仁王門下る讃州寺町217番地1
TEL: 075-257-2333"
17,"有限会社　アイデン
代表者: 豊田　南星","〒612-8244
京都市伏見区横大路千両松町8番地1
TEL: 075-205-5373"
18,"株式会社　ＡＩプラスホーム
代表者: 赤松　力","〒615-0095
京都市右京区山ノ内西八反田町9番地9
TEL: 075-366-6388"
19,"株式会社　Ｉｍハウジング
代表者: 石田　仁宏","〒612-8225
京都市伏見区葭島金井戸町２３－８
TEL: 075-621-1495"
20,"株式会社　アイルトンシティ
代表者: 岡田　直己","〒604-8155
京都市中京区占出山町310番地502号
TEL: 075-256-7700"
21,"株式会社　アイレスホーム
代表者: 金谷　浩二","〒604-8822
京都市中京区壬生辻町４９
TEL: 075-841-1800"
22,"アイワエステート　株式会社
代表者: 西村　泰昭","〒606-8302
京都市左京区吉田牛ノ宮町４ー１
TEL: 075-771-0314"
23,"あおいコーポレーション　株式会社
代表者: 村山　涼子","〒615-0901
京都市右京区梅津南広町５２
TEL: 075-865-0197"
24,"あかりプロジェクト
代表者: 岡本　重弘","〒606-8285
京都市左京区北白川東久保田町13番地2第五京銀ビル401
TEL: 075-707-1616"
25,"株式会社　ａＫｉ家
代表者: 土橋　真衣","〒611-0013
宇治市莵道東中42-14
TEL: 0774-51-7046"
26,"株式会社　アクセスコーポレーション
代表者: 伊藤　義通","〒615-0027
京都市右京区西院西三蔵町３－３０
TEL: 075-314-8850"
27,"有限会社　アクセスホーム
代表者: 長澤　洋","〒621-0832
亀岡市東つつじケ丘都台３丁目６番６－１号
TEL: 0771-25-0555
HP: http://www.accesshome.biz/
Mail: info@accesshome.biz"
28,"株式会社　アコー
代表者: 河本　圭祐","〒606-8212
京都市左京区田中里ノ内町７１－２　アクエルド東大路２階
TEL: 075-703-5225"
29,"有限会社　旭ハウス
代表者: 永田　眞美","〒601-1346
京都市伏見区醍醐東合場町１３番地の２
TEL: 075-573-0076"
30,"朝倉エステート　株式会社
代表者: 朝倉　美也子","〒606-8113
京都市左京区一乗寺東杉ノ宮町１
TEL: 075-712-6622"
31,"旭殖産
代表者: 芳山　浩二","〒619-0245
相楽郡精華町大字下狛小字下新庄34-1サニービル1Ｆ
TEL: 0774-93-1510"
32,"飛鳥
代表者: 中原　秀樹","〒615-0026
京都市右京区西院北矢掛町16フロムイースト302
TEL: 075-311-2728"
33,"有限会社　明日香開発
京都営業所
代表者: 辻　吉明","〒614-8093
八幡市八幡三本橋60-28
TEL: 075-971-7700"
34,"株式会社　ミヤコ
代表者: 吉田　健一郎","〒612-8141
京都市伏見区向島二ノ丸町387番地2リバーサイド二ノ丸
TEL: 075-601-5530"
35,"アデリーライフ　株式会社
代表者: 蔀　幸祐","〒604-8152
京都市中京区烏丸通錦小路上る手洗水町670番地京都フクトクビル6階
TEL: 075-213-1111"
36,"有限会社　アトム住宅販売
代表者: 樋村　正幸","〒604-8855
京都市中京区壬生淵田町３１－５
TEL: 075-813-0890
HP: https://www.atom-j.com/
Mail: atom@pearl.ocn.ne.jp"
37,"合同会社　アトリエ・ネスト
代表者: 坂本　孝緒","〒610-0313
京田辺市三山木中央２丁目7-13
TEL: 0774-26-4695"
38,"アドバンスライフ　株式会社
代表者: 山内　宏樹","〒612-0028
京都市伏見区深草飯食町８４０セントラルプラザ１階
TEL: 075-642-7800"
39,"株式会社　アフィックス住宅販売
代表者: 宮﨑　勇司","〒612-0889
京都市伏見区深草直違橋３丁目３９８
TEL: 075-643-9200
HP: https://www.affix.ne.jp
Mail: info@affix.ne.jp"
40,"有限会社　ア・ファクトリー
代表者: 田中　雅也","〒603-8354
京都市北区等持院西町５－２４
TEL: 075-465-4066
HP: http://www.kyotodefudosan.com/
Mail: afactory@kyotodefudosan.com"
41,"株式会社　アフターホーム
代表者: 川本　耕平","〒615-0913
京都市右京区梅津南上田町６－５
TEL: 075-863-0080"
42,"株式会社　アフターホーム
伏見店
代表者: 川本　耕平","〒612-8318
京都市伏見区紙子屋町537-4
TEL: 075-748-7892"
43,"株式会社　アフターホーム
京都西店
代表者: 川本　耕平","〒617-0001
向日市物集女町御所海道28-1
TEL: 075-925-9990"
44,"株式会社　アフターホーム
京都南店
代表者: 川本　耕平","〒610-0121
城陽市寺田新池78番地1
TEL: 0774-66-4002"
45,"株式会社　油忠地所
代表者: 石塚　忠久","〒612-8445
京都市伏見区竹田浄菩提院町３６
TEL: 075-621-2791"
46,"アムズ不動産販売
代表者: 大村　龍則","〒615-8262
京都市西京区山田四ノ坪町７－１２
TEL: 075-394-5777"
47,"アムルリアルエステート　株式会社
代表者: 桂川　武久","〒610-0315
京田辺市同志社山手１丁目19番地14
TEL: 0774-29-6048"
48,"株式会社　アライバル
代表者: 野木　英孝","〒612-0074
京都市伏見区桃山井伊掃部西町５番地５６
TEL: 075-644-9556"
49,"株式会社　Ａｌｉｖｅ
代表者: 田中　篤志","〒604-8106
京都市中京区堺町通御池下る丸木材木町６７１－４０２エクレ－ヌ御池
TEL: 075-222-2380"
50,"株式会社　アラシ
代表者: 稲森　沙也加","〒603-8321
京都市北区平野鳥居前町12番地
TEL: 075-465-0022"
51,"アルカディア
代表者: 吉田　満","〒606-8175
京都市左京区一乗寺築田町４１－１　ブレインズ一乗寺２Ｆ
TEL: 075-741-6064"
52,"株式会社　アレグロ・エステート
代表者: 小谷　浩也","〒601-8123
京都市南区上鳥羽南塔ノ本町7番地
TEL: 075-746-5689"
53,"株式会社ａｌｌｏｇｇｉｏ
代表者: 本田　紘一","〒611-0041
宇治市槇島町落合124番地1グラン・コート宇治槇島305号室
TEL: 075-950-5970"
54,"有限会社　アンクルホーム
代表者: 野原　正光","〒616-8122
京都市右京区太秦井戸ケ尻町21-2
TEL: 075-873-2030"
55,"株式会社　Ａｎｄ　Ｄｏホールディングス
代表者: 安藤　正弘","〒604-8152
京都市中京区烏丸通錦小路上る手洗水町６７０番地
TEL: 075-229-3201"
56,"株式会社アンビアンス
代表者: 堂脇　武","〒604-0841
京都市中京区車屋町通二条下ル　　　仁王門突抜町３２１
TEL: 075-229-3277"
57,"株式会社　一休堂
代表者: 森嶋　捷子","〒611-0044
宇治市伊勢田町名木１丁目１番地の２３２
TEL: 0774-44-2853"
58,"ｉｋｋａ　ｄｅｓｉｇｎ株式会社
代表者: 塩崎　力也","〒617-0845
長岡京市下海印寺樽井2番地11F-4
TEL: 075-406-6161
HP: http://ikka-design.jp
Mail: info@ikka-design.jp"
59,"株式会社　一笑住宅
代表者: 吉田　敏子","〒616-8258
京都市右京区鳴滝般若寺町35番地3
TEL: 075-201-7177"
60,"株式会社　イッセイ建設
代表者: 山口　明男","〒616-8205
京都市右京区宇多野御屋敷町１９
TEL: 075-464-2127"
61,"株式会社　イー住まい
代表者: 松岡　大玄","〒602-8151
京都市上京区丸太町通日暮西入西院町914番地
TEL: 075-803-5777"
62,"株式会社　イー住まい
南店
代表者: 松岡　大玄","〒611-0031
宇治市広野町西裏97番地5
TEL: 0774-41-5777"
63,"イエストア株式会社
代表者: 迫田　敬介","〒603-8434
京都市北区紫竹東栗栖町7-7ママス＆パパス1階B
TEL: 075-432-8692"
64,"株式会社　ＩＥＺＯ
代表者: 青木　勇市朗","〒600-8893
京都市下京区西七条御領町17番地2
TEL: 075-748-9133
HP: http://ie-zo.com
Mail: info@ie-zo.com"
65,"合同会社　Ｉｏｎｅａｒ
代表者: 齋藤　将茂","〒615-8271
京都市西京区山田弦馳町16番地3エミネント上桂101
TEL: 075-286-4214"
66,"有限会社　イシダ住建
代表者: 石田　優紀代","〒612-0049
京都市伏見区深草中ノ島町３８－２９
TEL: 075-645-1778"
67,"株式会社　石山工務店
代表者: 石山　廣行","〒601-8162
京都市南区上鳥羽塔ノ森柴東町230番地
TEL: 075-672-2257"
68,"株式会社　井筒屋
代表者: 井筒　大輔","〒615-0002
京都市右京区西院東今田町10番地4
TEL: 075-874-4700"
69,"有限会社　イトー住販
代表者: 伊藤　大府","〒606-0953
京都市左京区松ケ崎海尻町５
TEL: 075-722-5100"
70,"稲生不動産　有限会社
代表者: 稲生　正浩","〒615-8283
京都市西京区松尾井戸町１１
TEL: 075-381-1192
HP: http://inao170.net/
Mail: info@inao170.net"
71,"株式会社居場所
代表者: 小出　享一","〒615-0061
京都市右京区西院乾町48番地6
TEL: 075-874-2882"
72,"株式会社　イマーニ・クリエイト
代表者: 木下　彰彦","〒607-8162
京都市山科区椥辻草海道町１４－７
TEL: 075-595-1259"
73,"今井建設　株式会社
代表者: 今井　小百合","〒629-2502
京丹後市大宮町河辺3732番地
TEL: 0772-68-1200"
74,"有限会社　いまじん相研
代表者: 鈴木　覚","〒600-8845
京都市下京区朱雀北ノ口町１３
TEL: 075-313-1722"
