,name,details
0,"株式会社　ＩＳ
代表者: 末原　重昭","〒840-0027
佐賀市本庄町大字本庄253-12
TEL: 0952-29-5015"
1,"有限会社　アイコー不動産
代表者: 中原大介","〒840-0801
佐賀市駅前中央２丁目6-10
TEL: 0952-22-0202"
2,"有限会社　アイワ商事
代表者: 鮎川　勲","〒849-0921
佐賀市高木瀬西２丁目３－１６
TEL: 0952-32-4811"
3,"アウラス管理　株式会社
代表者: 杉本　和朋","〒841-0051
鳥栖市元町102-16アウラス元町701
TEL: 0942-80-7967"
4,"株式会社　あおぞら不動産
代表者: 古舘　英也","〒840-0842
佐賀市多布施４丁目20-15
TEL: 0952-77-9528"
5,"特定非営利活動法人　空家・空地活用サポートＳＡＧＡ
代表者: 塚原　功","〒840-0813
佐賀市唐人２丁目5-15TOJIN館２F
TEL: 0952-20-0960"
6,"株式会社　アスシード
代表者: 藤瀬　一晃","〒840-0811
佐賀市大財２丁目8-11
TEL: 0952-25-1052"
7,"株式会社　アルナ薬局
代表者: 小池　伸拡","〒849-1602
藤津郡太良町大字多良１５６０番地１
TEL: 0954-67-9122"
8,"株式会社　アルファーホーム
代表者: 辻　真由美","〒849-2102
杵島郡大町町大字福母１５７８－３
TEL: 0952-82-3620
HP: http://www.alpha2001.jp
Mail: mail@alpha2001.jp"
9,"有限会社　イ・オ設計室
代表者: 内田　直希","〒849-0922
佐賀市高木瀬東３丁目１４番１６号
TEL: 0952-97-8585"
10,"株式会社　育商会
代表者: 今里　聖紀","〒841-0051
鳥栖市元町1246番地3
TEL: 0942-50-5735"
11,"株式会社　イチケン
代表者: 佐田　秀勝","〒840-0023
佐賀市本庄町大字袋４０５－８
TEL: 0952-24-1145
HP: http://www.kk-ichiken.co.jp
Mail: ichiken@drive.ocn.ne.jp"
12,"市武不動産
代表者: 田中　好生","〒840-1106
三養基郡みやき町大字市武１４０４－８
TEL: 0942-96-3517"
13,"いまり不動産
代表者: 前田祥造","〒848-0027
伊万里市立花町１６０４－１７０
TEL: 0955-25-9541"
14,"株式会社　ｗａｋｅ　ｕｐ
代表者: 小川　大輔","〒840-0864
佐賀市嘉瀬町大字荻野2844番地
TEL: 0952-20-2239"
15,"うえの不動産
代表者: 上野　秀俊","〒849-5111
唐津市浜玉町南山3115-2
TEL: 0955-56-7365"
16,"株式会社　栄信グループ
代表者: 浅村　明良","〒847-0824
唐津市神田2536番地1
TEL: 0955-65-7511"
17,"エイチアイ企画
代表者: 前田　裕樹","〒840-0825
佐賀市中央本町９－２ＳＫセントラルマンション２０５号
TEL: 0952-37-3570"
18,"エスカルゴ
代表者: 竹下　敏雅","〒840-0811
佐賀市大財３丁目208番地
TEL: 0952-24-0335"
19,"有限会社エステート神成
代表者: 廣木　誠","〒840-0107
神埼市神埼町鶴９６４－４
TEL: 0952-53-2874"
20,"エステート三日月
代表者: 園田　清子","〒845-0033
小城市三日月町樋口９７２－２
TEL: 0952-73-5550"
21,"株式会社　江戸屋不動産
代表者: 齊籐　晃","〒840-0032
佐賀市末広２丁目6-30スカーレット末広ビル2F
TEL: 0952-65-4611
Mail: 3110edoya@gmail.com"
22,"株式会社　Ｍｉｅ
代表者: 村山　浩一","〒840-0811
佐賀市大財１丁目5番59-201号
TEL: 0952-26-3660"
23,"株式会社　おおぞら不動産
代表者: 坂本　覚","〒840-0805
佐賀市神野西３丁目14-49
TEL: 0952-97-6741"
24,"有限会社　カイ商事
代表者: 野﨑　竜広","〒847-0121
唐津市鳩川７２２１－７９
TEL: 0955-79-6868"
25,"株式会社キャニオン
代表者: 三瀬　智徳","〒845-0024
小城市三日月町道辺1432番地3
TEL: 0952-97-9466"
26,"有限会社　久栄産業
代表者: 村岡　正美","〒840-0815
佐賀市天神２丁目５－１８－１１０５
TEL: 0952-26-8927"
27,"極東殖産　有限会社
代表者: 伊東　主夫","〒841-0075
鳥栖市立石町８８１－１
TEL: 0942-83-1378"
28,"株式会社　クエスト
代表者: 新ケ江　貴仁","〒849-0937
佐賀市鍋島２丁目３－２７
TEL: 0952-97-8785"
29,"株式会社　Ｃｌｉｍｂ
代表者: 楢﨑　登","〒847-0031
唐津市原1125番地1
TEL: 0955-53-8383"
30,"クリエイトシティ
代表者: 権藤　貴紀","〒841-0037
鳥栖市本町２丁目３３－１　　　　　大山ビル１階１０５
TEL: 0942-84-7830"
31,"株式会社　ＣＬＩＥＳＴＡＴＥ
代表者: 小林　裕生","〒849-0122
三養基郡上峰町大字前牟田1600-1
TEL: 0952-97-7753
HP: https://www.cliestate.co.jp/
Mail: web@cliestate.co.jp"
32,"株式会社　栗原建設
代表者: 永尾　繁昌","〒849-2302
武雄市山内町大字鳥海18531番地1
TEL: 0954-45-4361"
33,"株式会社　クレセントホーム
代表者: 水﨑　隆志","〒840-0804
佐賀市神野東２丁目５－１７
TEL: 0952-36-8520"
34,"株式会社　クローバーホーム
佐賀東店
代表者: 石井　秀和","〒849-0919
佐賀市兵庫北７丁目３－４９
TEL: 0952-37-6345"
35,"有限会社　建築サポート
代表者: 高井　弘一郎","〒849-1401
嬉野市塩田町大字久間甲860
TEL: 0954-66-5732"
36,"株式会社　コンドー住設
代表者: 宮﨑　浩二","〒847-0022
唐津市鏡4415
TEL: 0955-77-4848"
37,"株式会社　五黄住建
代表者: 松尾　裕之","〒845-0001
小城市小城町２７３－２２
TEL: 0952-72-2028"
38,"株式会社　サーチ不動産
代表者: 音成　修市","〒841-0086
鳥栖市牛原町533番地3
TEL: 0942-85-7061"
39,"坂井不動産事務所
代表者: 坂井　金治","〒847-0401
東松浦郡鎮西町大字名護屋７７９
TEL: 0955-82-1035
HP: http://www.sakai-k.sakura.ne.jp/
Mail: sea-worker-sora@wind.ocn.ne.jp"
40,"合同会社　さかえ不動産
代表者: 奥村　逸郎","〒840-0805
佐賀市神野西４丁目18-10202号
TEL: 0952-97-7796"
41,"有限会社　さが西成
代表者: 西岡　高志","〒840-0202
佐賀郡大和町大字久池井２９２４－１
TEL: 0952-64-9283"
42,"株式会社ＳＵＮ
代表者: 岩永　忠美","〒849-4153
西松浦郡有田町立部乙2238番地1
TEL: 0955-25-8038"
43,"サン興発　有限会社
代表者: 中村　勝郎","〒840-0811
佐賀市大財６丁目７－１１
TEL: 0952-29-6661"
44,"サンライクエステート　株式会社
代表者: 三好　正洋","〒840-0804
佐賀市神野東３丁目３－１４サンライクビル１Ｆ
TEL: 0952-40-4010"
