,name,details
0,"株式会社　アイ企画
代表者: 木野　愛加","〒640-8345
和歌山市新在家１４５－３
TEL: 073-499-5097"
1,"株式会社　アイ・ルームス
代表者: 出﨑　達也","〒640-8328
和歌山市木広町２丁目７８番地
TEL: 073-414-3337"
2,"青山ホーム
代表者: 神平　悦子","〒640-8331
和歌山市美園町３丁目６
TEL: 0734-36-3445
Mail: kamihirayae@gaia.eonet.ne.jp"
3,"合同会社　赤山事務所・ＦＰ・相続・不動産
代表者: 赤山　卓也","〒643-0855
有田郡有田川町大字上中島７７５番地１
TEL: 0737-22-3809"
4,"アサヤマ不動産
代表者: 浅山　勉","〒646-0031
田辺市湊１０７３－５８　浅山ビル２階
TEL: 0739-25-9211"
5,"アゼリア
代表者: 宮﨑　彰太","〒640-8464
和歌山市市小路３５３－３
TEL: 073-452-8247
Mail: miyazakiazeria@yahoo.co.jp"
6,"株式会社　アド
代表者: 小林　久起","〒644-0012
御坊市湯川町小松原５８１－２
TEL: 0738-23-5551"
7,"アドヴァンス
代表者: 前　敦之","〒640-8472
和歌山市大谷１０－１　アネツクス１－Ｅ
TEL: 073-455-0002"
8,"Ａｎｎｅｘ　株式会社
代表者: 片山　慎平","〒641-0014
和歌山市毛見１５０５－２PACIFIC VISTA Ⅱ－１０２号
TEL: 090-1714-0195"
9,"株式会社　Ａ夢Ｚクリエイト
代表者: 植本　昌彦","〒640-8392
和歌山市中之島２０５７番地
TEL: 073-421-3255"
10,"アリスホーム　株式会社
代表者: 松田　悟","〒640-8482
和歌山市六十谷１０４０－５
TEL: 073-499-7747"
11,"有田ハウス　株式会社
代表者: 阪本　誠造","〒649-0422
有田市糸我町西５５５－５
TEL: 0737-22-3200"
12,"株式会社　有田リサイクルサービス
代表者: 濃添　勇作","〒643-0841
有田郡有田川町大字徳田１６９３－１
TEL: 0737-52-6048"
13,"株式会社　アルディ
代表者: 山内　利夫","〒649-2211
西牟婁郡白浜町８９０－６
TEL: 0739-43-0133
HP: http://www.arudy.jp
Mail: info@arudy.jp"
14,"いちかわ地所
代表者: 市川　真理","〒644-0044
日高郡美浜町大字和田２１０１の３
TEL: 0738-23-3485"
15,"有限会社　一陽不動産
代表者: 戸田　均","〒640-8464
和歌山市市小路３６５－８
TEL: 073-480-4156"
16,"株式会社　井上地所
橋本店
代表者: 井上　數世","〒648-0072
橋本市東家４丁目１８－１８
TEL: 0736-39-5520"
17,"株式会社　井上地所
岩出店
代表者: 井上　數世","〒649-6231
岩出市川尻６－５
TEL: 0736-69-2230"
18,"岩渕不動産
代表者: 岩渕　栄次","〒640-8114
和歌山市船場町６４－１
TEL: 0734-31-3355"
19,"株式会社　岩橋土木
代表者: 吉田　梨絵","〒640-8323
和歌山市太田２丁目８番１１号
TEL: 073-488-1072"
20,"株式会社　ウォーカーズハウス
代表者: 田岡　護","〒640-8255
和歌山市舟津町２丁目11
TEL: 073-421-3456"
21,"上須工務店
代表者: 上須　容子","〒641-0036
和歌山市西浜９２３－３
TEL: 073-445-3690"
22,"ＡＢ不動産
代表者: 北山　和弘","〒646-0022
田辺市東山１丁目１－９
TEL: 0739-25-1203"
23,"ＨＳ不動産
代表者: 平原　佐治哉","〒649-7121
伊都郡かつらぎ町大字丁ノ町２５３０－１７地村第二ビル
TEL: 0736-26-7009"
24,"有限会社　エイトホーム
代表者: 福澤　登司郎","〒640-8342
和歌山市友田町４丁目１０７　東陽ビル１Ｆ
TEL: 073-423-8200"
25,"ＳＴ不動産
代表者: 中澤　伸悟","〒640-8342
和歌山市友田町２丁目１０５番地
TEL: 073-431-2233"
26,"有限会社　エヌジーエス
代表者: 坂中　康宏","〒640-8358
和歌山市北ノ新地下六軒丁８番中嶋ビル１階東２号室
TEL: 090-6606-5030"
27,"エフスタイル
代表者: 藤本　洋行","〒640-8472
和歌山市大谷５３－１０
TEL: 073-463-9036"
28,"株式会社　ＭＴｅｓｔａｔｅ
代表者: 田端　裕","〒640-8033
和歌山市本町４丁目４３－１サンビル本町２Ｂ
TEL: 073-435-4001"
29,"エム・ティ・ホーム　株式会社
代表者: 森田　幸代","〒649-6245
岩出市中島６０６1Ｆ
TEL: 0736-63-3366
HP: https://www.mthome-wakayama.com/
Mail: mt-home@maia.eonet.ne.jp"
30,"株式会社　Ｍハウジング
代表者: 中川　正人","〒648-0074
橋本市小原田６８番地
TEL: 0736-33-0071"
31,"株式会社　大空エステート
代表者: 藤田　泰生","〒640-8157
和歌山市八番丁９番地県信ビル４０１号
TEL: 073-426-0003"
32,"オカモトホーム
代表者: 岡本　民三","〒642-0021
海南市井田１６４－１４
TEL: 073-486-2277"
33,"有限会社　オフィス・アン
代表者: 中西　敦子","〒640-8011
和歌山市北新元金屋丁１９－１
TEL: 073-494-6061"
34,"ＣＡＲＯハウス　株式会社
代表者: 作倉　ハイエン","〒649-6227
岩出市清水359番地の2
TEL: 0736-60-2410"
35,"垣内工務店
代表者: 垣内　捷作","〒649-2105
西牟婁郡上富田町朝来８１－７
TEL: 0739-33-7885"
36,"垣本建築
代表者: 垣本　俊夫","〒640-8341
和歌山市黒田２８７－５
TEL: 073-471-8114"
37,"株式会社　カリフ産業
代表者: 南　武雄","〒640-8301
和歌山市岩橋２９８番地
TEL: 073-460-9750"
38,"合同会社　きさだ商店
代表者: 松畑　嘉子","〒647-0005
新宮市元鍛治町１丁目1番地の１４
TEL: 0735-22-4930"
39,"株式会社　紀州コーポレーション
代表者: 嶋　朝也","〒643-0032
有田郡有田川町大字天満４５２－１
TEL: 0737-53-2226"
40,"北山不動産
代表者: 北山　久典","〒640-8317
和歌山市北出島１３１－８
TEL: 073-475-0164"
41,"紀の国屋　株式会社
代表者: 林　翔平","〒640-8335
和歌山市餌差町１丁目３６－４階
TEL: 073-422-1004"
42,"株式会社　紀乃屋
代表者: 中井　誠","〒645-0014
日高郡みなべ町西岩代１６０６－７
TEL: 0739-34-2320"
43,"有限会社　喜望地所
代表者: 海堀　泰臣","〒649-7207
橋本市高野口町大野４３３番地９
TEL: 0736-43-0588"
44,"紀北開発　株式会社
代表者: 山本　義行","〒649-6222
岩出市岡田１９５番地
TEL: 0736-67-7073"
45,"紀北地所　株式会社
代表者: 山本　康貴","〒649-6222
岩出市岡田３８９－１
TEL: 0736-61-5554"
46,"合同会社　きらくサポート
代表者: 上野　禎一","〒649-6232
岩出市荊本２３４－１シャルマンフジ岩出三番館２０６号
TEL: 0736-60-1912"
47,"切本不動産　有限会社
代表者: 切本　誠一","〒645-0011
日高郡みなべ町気佐藤１９
TEL: 0739-72-2507"
48,"株式会社　近畿マリンクラブ
代表者: 小池　佳史","〒644-0013
御坊市湯川町丸山７７－１
TEL: 0738-23-3109"
49,"キンキハウジング
代表者: 北村　昇道","〒649-6435
紀の川市東三谷１５８－１０
TEL: 0736-77-6736"
50,"株式会社　キンキホーム
和歌山駅前センター
代表者: 越智　裕也","〒640-8331
和歌山市美園町４丁目74和田ビル１階
TEL: 073-426-0008"
51,"有限会社　銀徳
代表者: 吉村　公俊","〒649-6202
岩出市根来９２
TEL: 0736-62-0277"
52,"クルスハウジング
代表者: 栗栖　末和","〒640-8311
和歌山市寺内１０－５
TEL: 073-473-4554"
53,"株式会社　ＫＵＲＯＤＡ
代表者: 黒田　道江","〒641-0007
和歌山市小雑賀１３０－１
TEL: 073-427-2027"
54,"グッドエステート
代表者: 西尾　敏","〒640-8303
和歌山市鳴神1051-1ウイング花山201号
TEL: 073-473-3995"
55,"ＧＲＥＥＮ　ＮＡＴＵＲＥ　有限会社
代表者: NG　YING　PENG","〒649-6202
岩出市根来２２２０番地の１
TEL: 0736-69-1306"
56,"有限会社　グローバルシノミヤ
代表者: 四宮　要三","〒649-6418
紀の川市久留壁８６－１０
TEL: 0736-78-2103"
57,"株式会社　グローリーハウス
代表者: 日根　賢","〒649-2201
西牟婁郡白浜町堅田２０７５
TEL: 0739-43-0039"
58,"Ｋ－ＲＥＡＬＴＯＲ
代表者: 松本　克三","〒648-0073
橋本市市脇４－７－６
TEL: 0736-26-8128"
59,"有限会社　ケイアイオフィス
代表者: 岩本　康平","〒649-3503
東牟婁郡串本町串本２３７８
TEL: 0735-62-1566
HP: http://k-i-kushimoto.com/
Mail: nantan888@gmail.com"
60,"越部地所
代表者: 越部　剛一","〒640-8337
和歌山市毛革屋丁２１番地
TEL: 0734-22-5234"
61,"株式会社　五嶋屋
代表者: 栗山　卓","〒649-0304
有田市箕島２５２
TEL: 0737-82-3655"
62,"株式会社　際
代表者: 曽和　勝彦","〒640-8337
和歌山市毛革屋丁２５番地
TEL: 073-424-1100
HP: https://www.sai-wakayama.com/
Mail: wakayama@sai-sk.co.jp"
63,"再興住宅　株式会社
代表者: 塩見　忍","〒640-8471
和歌山市善明寺３８７－１
TEL: 090-6915-8920"
64,"サイトラスト　株式会社
代表者: 大平完介","〒640-8482
和歌山市六十谷３５番地１０
TEL: 073-462-7720"
65,"株式会社三愛エステート
代表者: 西岡　明恵","〒640-8356
和歌山市北ノ新地上六軒丁３６
TEL: 073-427-3901"
