,name,details
0,"アットハウス　株式会社
代表者: 細野　輝人","〒360-0843
熊谷市三ヶ尻5471-1
TEL: 048-594-8810"
1,"株式会社　アッド
代表者: 新田　耕平","〒332-0023
川口市飯塚１丁目１－２ウエストゲート川口ビル２階
TEL: 048-290-8951"
2,"株式会社　Ａｄｄ
代表者: 新田　耕平","〒332-0032
川口市中青木１丁目８－２２－３０３
TEL: 048-202-8795"
3,"有限会社　アップヒル
代表者: 坂田　純二","〒355-0036
東松山市大字下野本１３２２－１－１０１
TEL: 0493-59-8049"
4,"有限会社　アーヴァンクリエイト
代表者: 和久井　誠","〒332-0012
川口市本町４丁目５－３２
TEL: 048-227-0008"
5,"株式会社　アーキテクト・ディベロッパー
さいたま支店
代表者: 井村　航","〒336-0027
さいたま市南区沼影１丁目５－１４佐藤ビル
TEL: 048-710-7310"
6,"株式会社　アーキテクト・ディベロッパー
川越支店
代表者: 井村　航","〒350-1122
川越市脇田町１５－３リブリ・ユウシン１階
TEL: 049-228-5100"
7,"株式会社　アーキテクト・ディベロッパー
越谷支店
代表者: 井村　航","〒343-0845
越谷市南越谷４丁目１１－１５斉藤ビル２階
TEL: 048-961-4710"
8,"株式会社　アーク
代表者: 蘆川　茂三","〒337-0003
さいたま市見沼区深作２丁目２８－８
TEL: 048-797-8382"
9,"有限会社　アーク・アイ
代表者: 生貝　義男","〒330-0062
さいたま市浦和区仲町１丁目１５－７－１０１(リベリエ浦和仲町)
TEL: 048-679-5520
HP: hppt//ark-ai.jp/mail/
Mail: info@ark-ai.jp"
10,"アース地所　株式会社
代表者: 雨宮　孝行","〒350-1147
川越市諏訪町１６－１
TEL: 049-238-2100"
11,"アースホーム　有限会社
代表者: 奥村　健一","〒344-0067
春日部市中央１丁目４７－１
TEL: 048-731-2551"
12,"アースホームデザインカンパニー　有限会社
代表者: 渡邉　洋一","〒346-0005
久喜市本町６丁目１３－１１
TEL: 0480-48-7312"
13,"株式会社　アーズコーポレーション
代表者: 滝沢　英一郎","〒340-0043
草加市草加４丁目２－１２（４０１）
TEL: 048-949-6427"
14,"アート　株式会社
代表者: 伊草　吉秋","〒345-0813
南埼玉郡宮代町東姫宮１丁目１３－２
TEL: 0480-32-5539"
15,"株式会社　アートクラフト
代表者: 山本　直人","〒350-0001
川越市大字古谷上５３１３－２
TEL: 049-235-7475"
16,"株式会社　アートスペース
代表者: 高森　彰宏","〒331-0078
さいたま市西区西大宮１丁目１－１白百合ビル１０１
TEL: 048-856-9771"
17,"株式会社　アーネスト
代表者: 孫田　丈太郎","〒343-0114
北葛飾郡松伏町ゆめみ野東２丁目８－１５
TEL: 048-993-4306
HP: http://earnest.link/
Mail: service@earnest.link"
18,"株式会社　アーバン
代表者: 髙城　竜太","〒342-0033
吉川市大字中曽根１４４１－３
TEL: 048-981-5211"
19,"株式会社　アーバン２１
代表者: 松田　明基","〒343-0845
越谷市南越谷１丁目１－５４
TEL: 048-987-0007"
20,"アーバンフロンティア　株式会社
代表者: 松井　真介","〒339-0057
さいたま市岩槻区本町３丁目４－１９
TEL: 048-878-8102
HP: www.urban-f.net
Mail: info@urban-f.net"
21,"有限会社　アーバンプラン
代表者: 木下 博","〒350-0253
坂戸市大字北大塚２８１
TEL: 049-282-0904"
22,"株式会社　アーバンライフ
代表者: 豊嶋　啓示","〒350-0015
川越市大字今泉３７－４
TEL: 049-293-6250"
23,"株式会社　アーユー不動産
代表者: 上水流　あゆ美","〒330-0801
さいたま市大宮区土手町２丁目１－１－２０５
TEL: 048-606-3901"
24,"株式会社　Ｒ＆Ｓ
代表者: 髙橋　英明","〒333-0847
川口市芝中田２丁目９－６
TEL: 048-267-5884"
25,"株式会社　Ｒｅ＆Ｔａ
代表者: 原　浩一","〒354-0036
富士見市ふじみ野東１丁目１１－４オリンピア１階ＡＢ
TEL: 049-293-6406"
26,"株式会社　アール・イー・ソネ
代表者: 曽根 義之","〒359-1111
所沢市緑町４丁目１－１７ＳＫＹＷＡＬＫＥＲ２０１
TEL: 04-2928-8131"
27,"株式会社　Ｒｅ　Ｔｅｃｈｎｏｌｏｇｙ
代表者: 渡辺　賢","〒332-0031
川口市青木５丁目１０－４８－２０５ソアール第二川口
TEL: 048-400-2761"
28,"アールコーポレーション株式会社
代表者: 大関 貢","〒350-0815
川越市大字鯨井１１１５－２
TEL: 049-231-2087"
29,"株式会社　アールスタジオ
代表者: 石田　真人","〒369-0223
深谷市榛沢１３０－９
TEL: 048-594-8428"
30,"アールライン　株式会社
代表者: 牧田　寛之","〒330-0846
さいたま市大宮区大門町３丁目２００
TEL: 048-829-7082"
31,"株式会社　アイアールコーポレーション
代表者: 福島　茂雄","〒350-1123
川越市脇田本町１１－２ＭＴビル８Ｆ
TEL: 049-293-5018"
32,"株式会社　アイアールハウス
代表者: 井口　徹","〒350-0043
川越市新富町１丁目１０－３グリーンミユキ本川越１階
TEL: 049-299-5223"
33,"有限会社　アイウィル
代表者: 加藤　かほる","〒352-0001
新座市東北２丁目３４－２－７０１
TEL: 048-474-3614"
34,"株式会社　アイエー
代表者: 新沼　　光","〒350-1129
川越市大塚１丁目３２－１（アジアビルディング３階）
TEL: 049-249-5200"
35,"株式会社　アイエー
大宮営業所
代表者: 新沼　　光","〒331-0815
さいたま市北区大成町４丁目２０４－１
TEL: 048-662-7866"
36,"株式会社　アイ・エヌ・ジー
代表者: 小沼　伸幸","〒332-0016
川口市幸町３丁目１０－２
TEL: 048-240-5680"
37,"株式会社　アイエムエス
代表者: 粕谷　光春","〒351-0025
朝霞市三原２丁目３０－３
TEL: 048-487-8413
Mail: nishizawa@ims.co.jp"
38,"株式会社　アイエム建機サービス
代表者: 加藤　政男","〒363-0021
桶川市泉１丁目９－３６
TEL: 048-786-7149
Mail: i.m.kenki.0929@gmail.com"
39,"株式会社　ＩＭ３Ｋ
代表者: 桑原　健","〒338-0002
さいたま市中央区下落合４丁目１７－１８ドミール吉田１０１
TEL: 048-671-3890"
40,"株式会社　Ｉ・Ｇｒａｎｄ・Ｈｏｍｅ
代表者: 山田　智生","〒343-0025
越谷市大沢３丁目２３－６
TEL: 048-969-7777"
41,"アイケーハウス
代表者: 小林　泉","〒350-0214
坂戸市千代田３丁目２０－８
TEL: 049-289-2229"
42,"有限会社　アイケイホーム
代表者: 高瀬　慶一","〒335-0004
蕨市中央１丁目９－１１
TEL: 048-433-4121"
43,"株式会社　アイ建設事務所
代表者: 池本 寅男","〒359-1123
所沢市日吉町１６－１５ライナス所沢ビル２階
TEL: 04-2903-5500"
44,"株式会社　アイ建設事務所
ａｉ賃貸　東所沢店
代表者: 池本 寅男","〒359-0021
所沢市東所沢５丁目４－１サンフレア東所沢１０６号
TEL: 04-2946-5771"
45,"株式会社　アイ建設事務所
ａｉ賃貸　所沢店
代表者: 池本 寅男","〒359-1123
所沢市日吉町２８－２美妻ビル１Ｆ
TEL: 04-2968-9644"
46,"株式会社　アイ建設事務所
ａｉ賃貸　志木店
代表者: 池本 寅男","〒352-0001
新座市東北２丁目３７－１０駅前斉藤ビル２０１
TEL: 048-423-2505"
47,"藍建築工房　株式会社
代表者: 本間　香","〒336-0931
さいたま市緑区原山３丁目２０－９
TEL: 048-789-7340"
48,"有限会社　アイコン
代表者: 亀谷　貞夫","〒351-0104
和光市南１丁目２１－２９
TEL: 048-211-2688"
49,"アイ・さくら不動産　株式会社
代表者: 横山　直実","〒350-1141
川越市大字寺尾３５６－６
TEL: 049-299-7889"
50,"株式会社　アイザック・アソシエイツ
代表者: 杉田　智美","〒330-0056
さいたま市浦和区東仲町２８－２２
TEL: 048-816-8455"
51,"株式会社　アイシー企画
代表者: 篠﨑　有正","〒361-0057
行田市城西３丁目６－１３
TEL: 048-579-5744"
52,"アイシティハウス　株式会社日本住宅審査会
代表者: 髙橋　圭吾","〒333-0866
川口市大字芝５３４６
TEL: 048-264-7727"
53,"株式会社　アイシンエステート
代表者: 新井　孝一","〒359-0023
所沢市東所沢和田２丁目１０－１アイシン和田３階
TEL: 04-2944-9073"
54,"株式会社　アイズワークス
代表者: 古賀　功","〒331-0812
さいたま市北区宮原町３丁目５８６
TEL: 048-871-9171"
55,"アイテック都市設計　株式会社
代表者: 藤原　茂","〒335-0003
蕨市南町２丁目１６－１
TEL: 048-441-1101
HP: http://aitec.us
Mail: info@aitec.us"
56,"株式会社　アイデアル
代表者: 佐野　恵輔","〒334-0003
川口市坂下町１丁目８―１６モンパルテ２０２
TEL: 048-299-8955"
57,"株式会社　アイドハウス
代表者: 簾藤　由美子","〒350-1205
日高市大字原宿２５１－４
TEL: 042-989-1630"
58,"アイビークレスト　株式会社
代表者: 髙田　裕通","〒332-0035
川口市西青木２丁目１５－２６－１４０１
TEL: 048-271-3088"
59,"アイビスホーム
代表者: 松橋 美智子","〒338-0002
さいたま市中央区下落合２丁目１９－１２
TEL: 048-827-5511
HP: http://www.aibisuhome.com
Mail: info@aibisuhome.com"
