,name,details
0,"株式会社　Ｕｐ－ｔｏ
代表者: 徳山　玄基","〒871-0162
中津市大字永添３５８番地３
TEL: 0979-23-3330"
1,"アップルホーム　株式会社
代表者: 田崎　清治","〒870-0927
大分市大字津留１９１１－２第一岩田ビル
TEL: 097-569-2833
HP: http://www.apple-home-oita.com/
Mail: tokutoku@world.ocn.ne.jp"
2,"アーバンエステート大分　株式会社
代表者: 後藤　忠信","〒870-0839
大分市金池南１丁目１１番３号
TEL: 097-546-0131"
3,"アールジー開発　株式会社
代表者: 今村　基徳","〒872-0032
宇佐市大字江須賀4038番地
TEL: 0978-38-3401"
4,"有限会社　アーク
代表者: 亀井　孝","〒874-0920
別府市北浜３丁目１１番２５号永井ビル北浜
TEL: 0977-24-7711"
5,"株式会社アーク不動産
代表者: 亀井　孝","〒874-0920
別府市北浜３丁目１１番２５号
TEL: 0977-22-2600"
6,"アーバン開発　株式会社
代表者: 永田　亜紀","〒870-0128
大分市大字森５９９－１
TEL: 097-521-8060"
7,"株式会社　Ｒ＆Ｆ
代表者: 小川　隆司","〒871-0022
中津市大字相原３０３２番地２４
TEL: 0979-23-5560"
8,"有限会社　アイ建
代表者: 池田　達英","〒879-0454
宇佐市大字法鏡寺２７６－１
TEL: 0978-33-5233"
9,"あいか不動産　株式会社
代表者: 甲斐　哲夫","〒870-0045
大分市城崎町３丁目２－３８１１０１号
TEL: 097-507-0078"
10,"アイキュウ　合同会社
代表者: 植木　正浩","〒870-0855
大分市豊饒２丁目5番50号羽屋テラス101
TEL: 097-543-1877"
11,"秋月都市開発　株式会社
代表者: 阿南　広幸","〒870-0839
大分市金池南１丁目１４－２１
TEL: 097-529-6380"
12,"株式会社　アクティー
代表者: 渕上　清水","〒870-0034
大分市都町３丁目７－１７
TEL: 097-534-7788"
13,"安東技建株式会社
代表者: 安東　将悟","〒870-0115
大分市大字関園２６１番１
TEL: 097-565-0464"
14,"合資会社　ｅ－ハウス
代表者: 荻野　晃","〒870-1176
大分市富士見が丘東３丁目１８－１０
TEL: 097-541-0206"
