,name,details
0,"株式会社　アーキテクト・ディベロッパー
仙台支店
代表者: 井村　航","〒980-0014
仙台市青葉区本町１丁目１－１大樹生命仙台ビル６階
TEL: 022-722-0410"
1,"株式会社　アースメント
代表者: 佐藤　政美","〒982-0804
仙台市太白区鈎取２丁目１０－４５－２０１号
TEL: 022-797-9551"
2,"株式会社　アーテックプランニング
代表者: 髙橋　正宏","〒982-0012
仙台市太白区長町南３丁目２－７
TEL: 022-395-9166"
3,"アートハウス　株式会社
代表者: 髙橋　正宏","〒982-0012
仙台市太白区長町南３丁目２－７
TEL: 022-226-7362"
4,"アートハウス　株式会社
大和吉岡店
代表者: 髙橋　正宏","〒981-3621
黒川郡大和町吉岡字上道下４０－１－２
TEL: 022-342-9271"
5,"有限会社　アート・プロ
代表者: 福地　愛一","〒981-3223
仙台市泉区住吉台西１丁目１２－６
TEL: 022-343-6770"
6,"アートライフ・ジャパン　株式会社
代表者: 佐々木　郁子","〒980-0014
仙台市青葉区本町１丁目１２－１２ＧＭビル１Ｆ
TEL: 022-264-9811"
7,"株式会社　アーバンアメニティ
代表者: 山崎　等","〒980-0011
仙台市青葉区上杉３丁目５－４５－１０１
TEL: 022-211-6917
Mail: tmp708x4@gmail.com"
8,"アーバンスター　株式会社
代表者: 大泉　健太郎","〒980-0811
仙台市青葉区一番町２丁目１１－１　ＭＳ一番町ハイツ３０８
TEL: 022-765-5934"
9,"株式会社　アーバンプロット
代表者: 松田　淳一","〒980-0804
仙台市青葉区大町２丁目４－２４
TEL: 022-263-4998"
10,"株式会社　アーバンポート
代表者: 扇元　隆","〒981-3112
仙台市泉区八乙女３丁目９－１宮城県理容生活衛生同業組合会館３階
TEL: 022-371-0018"
11,"株式会社　アーバンライフ
代表者: 小山　修史","〒981-3111
仙台市泉区松森字台８７－１０
TEL: 022-346-8301"
12,"株式会社　ＡＲＭ
代表者: 阿部　奨","〒982-0802
仙台市太白区八木山東１丁目１６－２２－１階
TEL: 022-307-6522
HP: http://www.sendai-arm.co.jp
Mail: kato.arm.estate@gmail.com"
13,"株式会社　アームパートナーズ
代表者: 村松　三次","〒989-5506
栗原市若柳字大林要害８６－３
TEL: 0228-24-7574"
14,"株式会社　Ｒｅ
代表者: 大宮　奈央美","〒984-0032
仙台市若林区荒井１丁目２９－１０－１Ｆ
TEL: 022-781-6157"
15,"アール・エイチ・ビー
代表者: 相原　春夫","〒982-0812
仙台市太白区上野山１丁目３－８
TEL: 022-243-7337"
16,"有限会社　愛
代表者: 平山　健二","〒983-0834
仙台市宮城野区松岡町８１－３　　　三伸カ－スル３Ｆ北側
TEL: 022-273-3206"
17,"株式会社　アイアイコーポレーション
代表者: 杉山　大","〒981-3117
仙台市泉区市名坂字柳清水１０２－１
TEL: 022-739-8485"
18,"株式会社　アイ・クルール
代表者: 石垣　智浩","〒982-0001
仙台市太白区八本松１丁目１３－１０－Ｓ２
TEL: 022-393-9335"
19,"株式会社　アイ・クルール
塩釜店
代表者: 石垣　智浩","〒985-0036
塩竈市東玉川町６－４
TEL: 022-349-4023"
20,"株式会社　アイ・クルール
北六番丁店
代表者: 石垣　智浩","〒980-0005
仙台市青葉区梅田町１－５４
TEL: 022-341-2673"
21,"有限会社　アイコム不動産
代表者: 佐藤　高夫","〒983-0835
仙台市宮城野区大梶１０－２８
TEL: 022-256-7166"
22,"有限会社　アイサンホーム
代表者: 加藤　裕一郎","〒984-0831
仙台市若林区沖野５丁目１－３３ＫＭＤ五番館１０１号
TEL: 022-282-6207"
23,"アイナ不動産
代表者: 鈴木　貴彦","〒987-1102
石巻市和渕字佐沼川２２１－２
TEL: 0225-72-4143"
24,"有限会社　アイムホーム
代表者: 小林　豪","〒981-0905
仙台市青葉区小松島２丁目９－１１
TEL: 022-234-7511"
25,"有限会社　アイユー企画
代表者: 鈴木　孝志","〒981-1105
仙台市太白区西中田３丁目１－６０
TEL: 022-741-4555"
26,"有限会社　アイユー・ホーム
代表者: 古内　弘光","〒984-0065
仙台市若林区土樋１丁目１１－１２星ビル１階
TEL: 022-716-1577"
27,"株式会社　アイルエステート
代表者: 菊池　洋","〒984-0816
仙台市若林区河原町１丁目５－１４
TEL: 022-217-3633"
28,"株式会社　アイルエステート
イエステーション岩切店
代表者: 菊池　洋","〒983-0821
仙台市宮城野区岩切字入山１５－１
TEL: 022-290-5545"
29,"株式会社　青葉エステート
代表者: 小野寺　透","〒989-3124
仙台市青葉区上愛子字蛇台原６２
TEL: 022-391-7655"
30,"株式会社　青葉地所
代表者: 鈴木　正","〒980-0801
仙台市青葉区木町通１丁目６－２８
TEL: 022-702-0984"
31,"青葉不動産
代表者: 小林　妙子","〒981-0913
仙台市青葉区昭和町６－３
TEL: 022-718-3061"
32,"株式会社　青葉不動産
代表者: 中村　渉","〒981-0931
仙台市青葉区北山１丁目１－１５
TEL: 022-341-6427"
33,"株式会社　ＡＫＩ　ｃｏｒｐｏｒａｔｉｏｎ
代表者: 秋山　良一","〒981-3123
仙台市泉区南中山２丁目４０－５
TEL: 022-379-7866"
34,"あきつ不動産　株式会社
代表者: 牧野　隆仁","〒988-0053
気仙沼市田中前３丁目４－３
TEL: 0226-48-5073"
35,"有限会社　章
代表者: 相原　章宏","〒981-0912
仙台市青葉区堤町１丁目５－１０
TEL: 022-219-7881"
36,"株式会社　明産業
代表者: 齋藤　明","〒981-0922
仙台市青葉区鷺ケ森２丁目２５－２１
TEL: 022-344-7787"
37,"株式会社　アクアリオ
代表者: 菊地　正彦","〒983-0023
仙台市宮城野区福田町２丁目８－１３サン・アムール１１－１０３
TEL: 022-302-5847"
38,"有限会社　アコスモ
代表者: 後藤　勉","〒984-0816
仙台市若林区河原町１丁目７－２２ライオンズマンション広瀬川公園２０２号
TEL: 022-211-1775"
39,"旭化学工業　株式会社
代表者: 小野　德一","〒983-0862
仙台市宮城野区二十人町３０６－１６
TEL: 022-352-4701"
40,"有限会社　旭サンライフ
代表者: 中川　伸也","〒980-0871
仙台市青葉区八幡７丁目１－３０
TEL: 022-302-2821
HP: http;//asahisnlife.com"
