,name,details
0,"株式会社　アップルートエステート
代表者: 前田　敦之","〒900-0014
那覇市松尾１丁目10-24ホークシティ那覇ビル1階
TEL: 098-916-6594"
1,"アーク・クレスト　株式会社
代表者: 平　清和","〒904-0031
沖縄市上地２丁目17-1
TEL: 098-983-8001"
2,"株式会社　アースティック
琉球支店
代表者: 利岡　英明","〒901-0205
豊見城市字根差部727番地エクセルビル　201号
TEL: 098-996-4891"
3,"株式会社　アーバンライク
琉球アーバンホーム
代表者: 吉野　悟","〒901-2223
宜野湾市大山７丁目４番地２号
TEL: 098-988-8164"
4,"株式会社　ＲＫＳ
代表者: 稲垣　健一","〒904-0013
沖縄市室川２丁目1-15
TEL: 098-988-7211"
5,"株式会社　アールジェイエステート
代表者: 一丸　秀信","〒900-0016
那覇市前島３丁目7-22アールジェイビル2F
TEL: 098-988-0844"
6,"株式会社　Ｒ－ＪＡＰＡＮ
浦添店
代表者: 谷　和之","〒901-2133
浦添市城間４丁目６－２西原テナント１階
TEL: 098-876-5454"
7,"株式会社　Ｒ－ＪＡＰＡＮ
豊見城店
代表者: 谷　和之","〒901-0225
豊見城市字豊崎１－１１４６
TEL: 098-856-5456"
8,"株式会社　Ｒ－ＪＡＰＡＮ
南風原店
代表者: 谷　和之","〒901-1117
島尻郡南風原町字津嘉山１３４５番地２サニーハウス津嘉山１０１号
TEL: 098-940-6565"
9,"Ｒホーム沖縄　株式会社
代表者: 浦部　仁志","〒902-0074
那覇市字仲井真357-1
TEL: 098-996-3962"
10,"有限会社　あいブレイス
代表者: 下地　剛","〒900-0002
那覇市曙３丁目６－１
TEL: 098-868-0734"
11,"ＩＲ琉球　株式会社
代表者: 白仁田　慶典","〒900-0016
那覇市前島２丁目1-9-2Fコーポ潮渡
TEL: 098-943-0884"
12,"株式会社　アイエー
那覇営業所
代表者: 新沼　　光","〒902-0061
那覇市古島１丁目23-3アジアビルディング４階
TEL: 098-882-5300"
13,"（株）アイエステートおきなわ
代表者: 久高　利奈","〒901-2202
宜野湾市普天間２丁目49-10
TEL: 098-988-9976"
14,"Ｉ・Ｓハウジング
代表者: 佐久田　敬士","〒900-0004
那覇市字銘苅211-7
TEL: 098-894-2921"
15,"有限会社　あい企画開発
代表者: 久場　謙孝","〒901-2211
宜野湾市宜野湾３丁目14-23
TEL: 098-896-1507"
16,"株式会社　ｉ・コミュニケーション
代表者: 池間　泉","〒900-0003
那覇市字安謝617-192
TEL: 098-860-0019"
17,"Ｅｉ　ＴＥＭＰＥＬ　株式会社
代表者: 宮田　奏","〒900-0013
那覇市牧志３丁目2-10てんぶす那覇E-1
TEL: 098-869-0021"
18,"アイネット　合同会社
代表者: 萩原　沙妃","〒901-2132
浦添市伊祖２丁目16-15仲西アパート101
TEL: 098-876-5449"
19,"有限会社　アイ・ホーム
代表者: 喜納　弘治","〒901-0305
糸満市西崎２丁目１７－１３
TEL: 098-994-5988
HP: http://aihome-net.co.jp
Mail: ai@aihome-net.co.jp"
20,"株式会社　アイム・ユニバース
沖縄店
代表者: 藍川　眞樹","〒901-2114
浦添市安波茶２丁目1-2宮城ビル105
TEL: 098-894-7101"
21,"株式会社　アイモーション
沖縄支店
代表者: 今井　郁雄","〒901-0153
那覇市宇栄原１丁目28-29上原ビル101
TEL: 098-988-1131"
22,"株式会社　アイランドホーム沖縄
代表者: 坂上　成昭","〒904-0022
沖縄市園田３丁目3-21園田IHビル3F
TEL: 098-989-9900"
23,"愛土地家オーシャン麒麟　合同会社
代表者: 下里　茂博","〒906-0013
宮古島市平良字下里906-3
TEL: 0980-79-7024"
24,"青木土木工業　株式会社
沖縄支店
代表者: 青木　享洋","〒900-0006
那覇市おもろまち４丁目7-11-705
TEL: 098-943-1249"
25,"株式会社　青葉総合開発
代表者: 丸山　真弓","〒901-0155
那覇市金城５丁目12-15Liebe　NR103
TEL: 098-955-1665"
26,"株式会社あかりハウジング
代表者: 新垣　徳子","〒900-0012
那覇市泊３丁目14-5アーマンズハウス206
TEL: 098-868-6508"
27,"アクセス
代表者: 宮城　正子","〒900-0032
那覇市松山２丁目18-10グランパレ松山301
TEL: 098-861-1789"
28,"アクセスホーム
代表者: 大城　善昭","〒902-0074
那覇市字仲井真317番地5アクセス沖縄ビル　6階
TEL: 098-987-0703"
29,"株式会社　アクト
代表者: 金武　政克","〒901-2122
浦添市勢理客２丁目６－１６
TEL: 098-874-8261"
30,"株式会社　浅商
代表者: 浅田　義則","〒901-0223
豊見城市字翁長８５３－５
TEL: 098-850-5545"
31,"安里駅前不動産株式会社
代表者: 山城　美和","〒902-0067
那覇市安里２丁目6-35
TEL: 098-860-7110"
32,"株式会社　アジアテラス
代表者: 久高　友昭","〒901-2104
浦添市当山３丁目２番２号101
TEL: 098-871-2970
HP: asiatrade-okinawa.com
Mail: asia_trade_0404@yahoo.co.jp"
33,"合同会社　アスター
代表者: 冨名腰　拓也","〒903-0825
那覇市首里山川町３丁目5
TEL: 098-886-7100"
34,"アズフロンティア
代表者: 鹿川　勉","〒901-2121
浦添市内間４丁目20-9　1F
TEL: 098-988-3468"
35,"株式会社　ＡＺホーム
代表者: 安里　豊","〒904-0103
中頭郡北谷町字桑江1-5-10ローズマンション102号
TEL: 098-988-7286"
36,"株式会社　アセットプラン
代表者: 普久原　彰人","〒904-0004
沖縄市中央１丁目20-14比嘉ビル2階
TEL: 098-989-4576"
37,"Ａｆｆｉｎｉｔｙ　Ｈｏｕｓｉｎｇ株式会社
代表者: 木村　由佳","〒904-0117
中頭郡北谷町北前１丁目22-11F-A
TEL: 098-923-3552"
38,"株式会社　あられ
代表者: 禰覇　純子","〒901-0361
糸満市字糸満2077-1ﾊｰﾊﾞｰｿﾞｰﾝ日本BLDG201
TEL: 098-992-4129"
39,"株式会社アルチェハウジング
代表者: 渡口　良治","〒900-0013
那覇市牧志２丁目21-16-1F
TEL: 098-917-0202
HP: https://www.arch.okinawa/
Mail: info@arch.okinawa"
40,"合同会社アルバ
代表者: 中村　誠","〒907-0013
石垣市浜崎町２丁目3-33
TEL: 0980-87-0631"
41,"株式会社　アルファ開発
代表者: 座間味　英美","〒904-0012
沖縄市安慶田２丁目19-11
TEL: 098-989-1237
HP: https://alpha55okinawa.com
Mail: alpha.zamami@gmail.com"
42,"株式会社　アレックス
代表者: 外間　俊","〒900-0012
那覇市泊１丁目３４番２ＯＤＭビル３Ｆ
TEL: 098-863-3155"
43,"アレクシーデザイン　株式会社
代表者: 岡本　直人","〒901-2226
宜野湾市嘉数１丁目3番10号
TEL: 098-894-2000"
44,"安居不動産　株式会社
代表者: 王　忠彦","〒904-0325
中頭郡読谷村字瀬名波763-1
TEL: 098-961-4379"
45,"有限会社　安信サービス
代表者: 比嘉　安信","〒900-0003
那覇市字安謝２９２－５セーフティ安信Ⅱ　2F
TEL: 098-860-7620"
46,"アンドユー住宅株式会社
代表者: 川上　眞澄","〒900-0013
那覇市牧志２丁目16-12宮里ｱﾊﾟｰﾄ303
TEL: 098-867-0210"
47,"株式会社　イッセイナナ産業
代表者: 大城　奈々子","〒903-0822
那覇市首里桃原町１丁目８
TEL: 098-884-5665
Mail: isseinana@i-nana.co.jp"
48,"株式会社　イーガオ
代表者: 下地　崇仁","〒901-2112
浦添市字沢岻1265-5
TEL: 098-988-8944
HP: https://www.egao.okinawa/
Mail: info.egao@m.cln.ne.jp"
49,"イーゴス　株式会社
代表者: 榮　政則","〒901-2214
宜野湾市我如古２丁目1番14号
TEL: 098-890-1153"
50,"イースト・フォレスト　株式会社
代表者: 新城　元康","〒904-2142
沖縄市登川１丁目27-3當銘アパート102
TEL: 098-923-2953"
51,"株式会社　イーハウス
沖縄支店
代表者: 山田　花代","〒902-0067
那覇市安里３丁目４－９丸隆ビル１０２号
TEL: 098-943-0789"
52,"イー・フレス株式会社
代表者: 石松　完治","〒902-0073
那覇市字上間213番地-1-101
TEL: 098-996-1510"
53,"イー・フレス株式会社
中部支店
代表者: 石松　完治","〒904-2174
沖縄市与儀３丁目15-1新報ﾊｳｼﾞﾝｸﾞﾊﾟｰｸｱﾜｾﾍﾞｲ内
TEL: 098-975-8917"
54,"株式会社　Ｅプロジェクト
代表者: 有馬　良一","〒901-1303
島尻郡与那原町字与那原３６２８－６
TEL: 098-944-3626"
55,"伊江島不動産
代表者: 石川　清光","〒905-0501
国頭郡伊江村字東江上２１５
TEL: 0980-49-5765"
56,"株式会社　いえなび
那覇小禄店
代表者: 後藤　良太","〒901-0154
那覇市赤嶺１丁目5-10
TEL: 098-851-7995"
57,"株式会社　ＩＳＳＨＯ建築設計事務所
代表者: 漢那　ロブレ潤","〒901-2226
宜野湾市嘉数１丁目4-40ライトハウス３F
TEL: 098-917-2842"
58,"株式会社　石垣島エコ・プロジェクト
代表者: 前瓦　貞敏","〒907-0023
石垣市字石垣504-7モーニングハウス真地原102
TEL: 0980-87-5188"
59,"株式会社　いしがき不動産
代表者: 石垣　精一郎","〒907-0022
石垣市字大川２８７－２ミカサ商事ビル
TEL: 0980-88-6121"
60,"イシガントゥ　株式会社
代表者: 照屋　有美","〒904-0012
沖縄市安慶田１丁目3-10　2F
TEL: 098-989-9336"
61,"イソラ　株式会社
代表者: 島袋　和枝","〒904-2137
沖縄市比屋根６丁目4番22号
TEL: 098-959-6569"
62,"イトミチ不動産
代表者: 王　官錦","〒901-0361
糸満市字糸満1957
TEL: 098-800-1066"
63,"有限会社　イトミン
代表者: 糸数　明","〒902-0062
那覇市松川２丁目５－２
TEL: 098-886-8946"
64,"伊波不動産
代表者: 伊波　守","〒904-1105
うるま市石川白浜２丁目3-24-1F
TEL: 098-959-6956"
65,"合同会社　伊礼不動産
代表者: 伊礼　修","〒900-0024
那覇市古波蔵１丁目１－２１
TEL: 098-836-7105"
66,"株式会社　インフィニティ不動産
代表者: 大宮　学","〒901-0223
豊見城市字翁長832-3
TEL: 098-995-7797"
67,"合同会社　インベストリープ
代表者: 宮城　志津香","〒901-2302
中頭郡北中城村字渡口982大西テラス40
TEL: 098-989-4308"
68,"インペリアルハウジング　株式会社
代表者: 髙良　洋三","〒904-0101
中頭郡北谷町字上勢頭845-2ｱｼﾞｬｽﾄﾋﾞﾙ
TEL: 098-936-3301"
69,"株式会社　ウィステリアパートナーズ
代表者: 藤田　雄士","〒904-2143
沖縄市知花６丁目8-17ｾｲﾜﾋﾞﾙ201
TEL: 098-988-7100"
70,"株式会社　ＷＩＬＬ
代表者: 高田　叔哉","〒901-2316
中頭郡北中城村字安谷屋2162
TEL: 098-982-0455"
71,"株式会社　ＷＩＬＬ
那覇ＩＣ店
代表者: 高田　叔哉","〒901-1105
島尻郡南風原町字新川９８－１
TEL: 098-889-0455"
72,"ＷＡＶＥ住宅販売　株式会社
恩納村支店
代表者: 川口　健","〒904-0411
国頭郡恩納村字恩納6349-3
TEL: 098-971-1495
HP: http://www.wave-j.jp/
Mail: okinawa@wave-j.co.jp"
73,"株式会社　ウッドハウジング沖縄
代表者: 與古田　徹","〒904-1111
うるま市石川東恩納１０３７
TEL: 098-965-1414"
74,"株式会社　Ｗｉｔｈ－Ｔｒｕｓｔ
代表者: 増田　桂介","〒904-2142
沖縄市字登川2505-4
TEL: 098-923-5970"
75,"株式会社うりずん
代表者: 山口　征郎","〒905-2264
名護市字三原214-10
TEL: 0980-45-9001"
76,"有限会社　うるま産業
代表者: 目差　武博","〒904-2205
うるま市字栄野比４５－１
TEL: 098-979-4888"
77,"合同会社　ａ．ａｎｄ．Ａ
代表者: 新垣　博之","〒901-1303
島尻郡与那原町字与那原3858-2
TEL: 098-963-9716
Mail: aanda.arakaki@gmail.com"
78,"株式会社　ＡＨＣ沖縄
代表者: 高村　明彦","〒900-0006
那覇市おもろまち３丁目７番１５号グランドヒル新都心ビル１－B号
TEL: 098-917-5860"
79,"株式会社　ａｃｅ　ｅｓｔａｔｅ
代表者: 赤嶺　有矢","〒904-2154
沖縄市東２丁目1-10照喜名ﾋﾞﾙ202
TEL: 098-911-8423"
80,"有限会社　エースファミリーハウジング
代表者: キムラ　Ａ　アキヒコ","〒904-0004
沖縄市中央２丁目１７－２５ア－バンステ－ジ宮里２－C
TEL: 098-929-1808"
81,"有限会社　永代住宅
代表者: 平川　浩","〒904-2151
沖縄市松本４丁目２１－２３
TEL: 098-929-1122"
82,"永大住宅産業
代表者: 下地　栄次","〒901-2122
浦添市勢理客２丁目5-18　1F
TEL: 098-988-0206
Mail: eidai4708@outlook.jp"
83,"株式会社　エイト
沖縄支店
代表者: 白栁　雅文","〒904-2151
沖縄市松本７丁目3-1
TEL: 098-989-0961"
84,"エキスパート企画
代表者: 関山　登志仁","〒902-0075
那覇市字国場７２０－５
TEL: 098-833-2070"
85,"エクラホーム（株）
代表者: 諸見里　真","〒901-2221
宜野湾市伊佐３丁目24-7
TEL: 098-898-3090"
86,"株式会社　エコー・プロセス
代表者: 比嘉　仁一","〒901-0221
豊見城市字座安334　2F
TEL: 098-987-1964
Mail: ecopro2017@yahoo.co.jp"
87,"エコハウジング
代表者: 野原　浩","〒901-1112
島尻郡南風原町字本部145-4
TEL: 098-851-3530"
88,"株式会社　ＳＲＢ
代表者: 坂東　善夫","〒900-0002
那覇市曙２丁目10-24森山ビルD-4
TEL: 098-917-4334"
89,"ＳＫ企画
代表者: 登川　辰哉","〒904-2245
うるま市字赤道417
TEL: 098-974-7774
HP: https://www.ekiten.jp/shop_76103395/"
90,"エスジー開発
代表者: 座間味　栄樹","〒904-2172
沖縄市泡瀬３丁目47-15-101
TEL: 098-988-5932"
91,"エスタス
代表者: 荷川取　正","〒902-0067
那覇市安里３丁目1-35儀間アパート101
TEL: 098-953-2377
Mail: estas78nika@gmail.com"
92,"Ｅｓｐｅｒａｎｚａ　リアルエステート
代表者: 仲西　えりか","〒901-2225
宜野湾市字大謝名１７３メゾンゆうな1F
TEL: 098-943-5656"
93,"株式会社　エミアスホールディングス
代表者: 青木　史","〒900-0033
那覇市久米２丁目3-15COI那覇ビル5階
TEL: 098-916-8375"
94,"株式会社　ＭＪＰｌａｎｎｉｎｇ
代表者: 中澤　誠","〒904-1106
うるま市石川２丁目10-17
TEL: 098-989-5102"
