,name,details
0,"株式会社　アットライフ
代表者: 加藤　久人","〒522-0024
彦根市正法寺町４７０－１１－１０２
TEL: 0749-20-7587"
1,"株式会社　アーキ建築企画
代表者: 高山　景敏","〒520-2144
大津市大萱６丁目6番1号
TEL: 077-536-5314"
2,"有限会社　アークスホーム
代表者: 倉田　正暢","〒520-0106
大津市唐崎１丁目30-18
TEL: 077-578-1778"
3,"アース　株式会社
代表者: 谷口　清美","〒520-3242
湖南市菩提寺１７０６
TEL: 0748-74-8031"
4,"株式会社　アートホームサービス
代表者: 辻　昭朗","〒528-0005
甲賀市水口町水口6037-1
TEL: 0748-63-2525"
5,"株式会社　アーバンファミリー
代表者: 吉川　利彦","〒520-2352
野洲市冨波乙６９０－６
TEL: 077-584-4725"
6,"株式会社　Ｒｅ
代表者: 宮元　喜輝","〒526-0224
長浜市東野町１８４番地３
TEL: 0749-51-9033"
7,"ＩＩＩＯ不動産
代表者: 山本　哲夫","〒525-0023
草津市平井４丁目７－２０
TEL: 077-598-5628
Mail: iii-o@sky.plala.or.jp"
8,"アイリブ
代表者: 粕淵　昭彦","〒522-0054
彦根市西今町８５０－５７　尾本ハイツ１０２
TEL: 0749-23-0188"
9,"株式会社　アイル
代表者: 田中　政彦","〒520-3026
栗東市下鈎１１９１番地１
TEL: 077-554-3568"
10,"有限会社　赤田工務店
代表者: 赤田　晴彦","〒526-0241
長浜市三田町1313番地4
TEL: 0749-74-8320"
11,"株式会社　あかりハウジング
代表者: 髙橋　久子","〒520-0248
大津市仰木の里東６丁目８－２
TEL: 077-574-3800"
12,"有限会社　アクセス
代表者: 山内　　善仁","〒525-0034
草津市草津３丁目１３－５３
TEL: 077-563-0778"
13,"アクセス住宅センター
代表者: 宮下　周三","〒520-0042
大津市島の関６－１５　衣笠第２ビル２Ｆ
TEL: 077-510-5325"
14,"アコウ　有限会社
代表者: 辻井　正嗣","〒522-0056
彦根市開出今町１４１３－6
TEL: 0749-27-3085"
15,"Ａｓｔｎ　株式会社
代表者: 宮川　陽二","〒528-0005
甲賀市水口町水口6110-1
TEL: 0748-65-5277"
16,"ＡｚｕＭａｒｕリアルエステート　合同会社
代表者: 東　暢朗","〒520-0802
大津市馬場２丁目６番５号
TEL: 077-507-2177"
17,"株式会社　アソシエホーム
代表者: 奥田　伸之","〒526-0021
長浜市八幡中山町982
TEL: 0749-63-3123"
18,"株式会社　アソシエホーム
近江八幡店
代表者: 奥田　伸之","〒523-0031
近江八幡市堀上町１９０－１
TEL: 0748-32-2053"
19,"株式会社　アフターホーム
大津店
代表者: 川本　耕平","〒520-0514
大津市木戸213-2
TEL: 077-535-9205"
20,"荒川建設　株式会社
代表者: 上原　一行","〒520-2342
野洲市野洲９４１－１
TEL: 077-587-3900"
21,"株式会社　アローズ
代表者: 久保　龍矢","〒522-0051
彦根市中藪町６３４－４９
TEL: 0749-47-5390"
22,"有限会社　アロマエステート
代表者: 井上　和彦","〒520-0865
大津市南郷１丁目１９番１２号
TEL: 0775-34-1101"
23,"有限会社　壹心プロパティーズ
代表者: 森田　康弘","〒520-0831
大津市松原町2番12号
TEL: 077-531-2838"
24,"株式会社　イエ・サポート
代表者: 児玉　淳司","〒520-0065
大津市稲葉台8-18
TEL: 077-527-1678"
25,"株式会社　粋ホーム
代表者: 黒川　潤","〒520-2132
大津市神領１丁目９－７粋ビル1階
TEL: 077-572-6993"
26,"イクセイトラスト　株式会社
代表者: 堀谷　育央","〒527-0015
東近江市中野町６９２番地２
TEL: 0748-29-3376"
27,"有限会社　石山ハウス
代表者: 佐久間　英彦","〒520-2271
大津市稲津１丁目３－１
TEL: 077-546-0869"
28,"株式会社　ＩＮ　ＳＴＹＬＥ
代表者: 井上　健一","〒520-0024
大津市松山町７番２８－２１１号
TEL: 077-515-4849"
29,"ウィナーズホームサービス　株式会社
代表者: 勝部　寿久","〒524-0022
守山市守山４丁目13番7号南喜ビル105
TEL: 077-516-4245"
30,"株式会社　ウッディランド
代表者: 岸村　務","〒528-0058
甲賀市水口町北泉１丁目１３３
TEL: 0748-63-5990"
31,"株式会社　ウイルステージ
代表者: 大谷　洋","〒525-0045
草津市若草１丁目６－９
TEL: 077-561-7239"
32,"有限会社　上田花園
代表者: 上田　太治","〒529-1235
愛知郡愛荘町目加田2441番地２
TEL: 0749-42-2323
Mail: uk.m@violet.plala.or.jp"
33,"株式会社　ＵＮＯ
代表者: 宇野　和人","〒520-2352
野洲市冨波乙７９８番地５レガティプラザ野洲６号
TEL: 077-518-0515"
34,"株式会社　ＡＩ　ＳＹＳＴＥＭ
代表者: 山口　武志","〒522-0069
彦根市馬場２丁目6番36号フリースタイル2階
TEL: 0749-29-9030"
35,"ＡＧ債権回収　株式会社
代表者: 吾妻　弘","〒525-0037
草津市西大路町１番１号アイフルコンタクトセンター西日本３階
TEL: 077-503-0220"
36,"エールコーポレーション　株式会社
代表者: 平田　昌宏","〒525-0016
草津市北大萱町５５６－２
TEL: 077-568-3190"
37,"エイコー産業　有限会社
代表者: 吉田　兼","〒522-0027
彦根市東沼波町910
TEL: 0749-24-3538"
38,"有限会社　叡知
代表者: 大田　博貴","〒520-0016
大津市比叡平２丁目４－２
TEL: 077-529-2851"
39,"株式会社　ＨＬＣ
代表者: 川本　享世","〒520-3047
栗東市手原２丁目1-14　２階
TEL: 077-554-2222"
40,"エクセルホーム　株式会社
代表者: 石山　牧廣","〒525-0071
草津市南笠東２丁目６－２
TEL: 077-569-5550"
41,"株式会社　エコグリーン
代表者: 奥村　拓三","〒520-0242
大津市本堅田５丁目２０番１０号アル・プラザ堅田店内１階
TEL: 077-572-8755"
42,"株式会社　Ｓ－Ｈｏｍｅ
代表者: 塩澤　善之介","〒520-0001
大津市蓮池町１０番１９号
TEL: 077-572-8861"
43,"株式会社　ＥＳＬＩＮＱ
代表者: 岩野　大樹","〒525-0059
草津市野路７丁目２０番１７号
TEL: 077-599-1334"
44,"有限会社　Ｎテックジャパン
代表者: 衣笠　尚寛","〒520-2353
野洲市久野部１９８番地１アンゲネーム３号室
TEL: 077-598-1847"
45,"株式会社　えびす不動産
代表者: 森﨑　学","〒522-0033
彦根市芹川町503番地11
TEL: 0749-29-0850"
46,"有限会社　恵比寿屋
代表者: 大黒　智行","〒525-0034
草津市草津１丁目4番4号
TEL: 050-5576-9980"
47,"エミフルホーム
代表者: 斎藤　直樹","〒525-0027
草津市野村４丁目１５番５号
TEL: 077-518-6831
HP: http://emifull-home/main.jp
Mail: info@emifull-home.maim.jp"
48,"エムズホーム　株式会社
代表者: 田中　学","〒522-0010
彦根市駅東町7番地2
TEL: 0749-26-5500"
49,"エムズワークス　株式会社
代表者: 山本　義忠","〒520-3031
栗東市綣１０丁目１３番１５号
TEL: 077-552-4666"
50,"株式会社　エムハウス
代表者: 奥村　睦恵","〒524-0063
守山市欲賀町1915
TEL: 077-599-1299"
