,name,details
0,"ＡＲＣＲＥＡ　株式会社
代表者: 牧野　豊","〒910-0375
坂井市丸岡町南横地7-18
TEL: 0776-76-8183"
1,"株式会社　ＡＡＭＵ
代表者: 朝川　炯徹","〒910-0023
福井市順化１丁目24-8
TEL: 0776-97-8301"
2,"あいジョブ宅建
代表者: 坪内　武夫","〒918-8201
福井市南四ツ居町1-154
TEL: 0776-41-3909"
3,"あおぞらホーム　株式会社
代表者: 山　裕二","〒918-8108
福井市春日２丁目7-2
TEL: 0776-34-0801
HP: あおぞらホーム.com
Mail: aozora_home2013@ybb.ne.jp"
4,"株式会社　アスフリーク
代表者: 榊間　俊午","〒914-0123
敦賀市和久野2-24-1
TEL: 0770-37-5011"
5,"株式会社　アド・ブレイン
代表者: 斎藤　敏幸","〒918-8004
福井市西木田２丁目２－１６
TEL: 0776-36-3639
Mail: info@adbrain.com"
6,"株式会社　アド・ブレイン
丹南営業所
代表者: 斎藤　敏幸","〒916-0042
鯖江市新横江２丁目1-26
TEL: 0778-43-6255"
7,"株式会社　安藤建設
代表者: 安藤　啓介","〒916-1111
鯖江市上戸口町７１－１４
TEL: 0778-65-1544"
8,"今西総合建設
代表者: 今西　薫","〒915-0804
越前市新保町2-7-1
TEL: 0778-22-6379
Mail: imanishi@po.ttn.ne.jp"
9,"有限会社　インテリア総合建築
代表者: 高島　猪男","〒914-0056
敦賀市津内町２丁目１０－７
TEL: 0770-25-3023"
10,"ヴァンプロジェクト
代表者: 竹内　茂夫","〒918-8237
福井市和田東２丁目1611-2階
TEL: 0776-97-6645"
11,"永平寺エステート　株式会社
代表者: 清川　高行","〒910-1133
吉田郡永平寺町松岡春日３丁目７６―１
TEL: 0776-89-1641"
12,"エステート天谷
代表者: 天谷　雄治郎","〒910-1133
吉田郡永平寺町松岡春日２丁目１３０番地
TEL: 0776-61-3254
HP: http://www.estate-amaya.com/
Mail: y.amaya-0517@za2.so-net.ne.jp"
13,"株式会社　エステートブロードバンド
代表者: 東　雅晴","〒916-0019
鯖江市丸山町１丁目２－７　丸山ビル１０２号
TEL: 0778-42-8272"
14,"エステートヨシダ
代表者: 吉田　啓司","〒910-3602
福井市竹生町１９－１２－１
TEL: 0776-98-4456"
