,name,details
0,"株式会社　アップポイント
代表者: 佐久間　幸彦","〒963-4312
田村市船引町船引字扇田２３１－１
TEL: 0247-81-1571
HP: http://uppoint-tamura.com"
1,"有限会社　アースライフ
代表者: 富塚　政治","〒963-8013
郡山市神明町7-5
TEL: 024-925-6400
HP: http://www.earth-life.jp
Mail: seiji.t@earth-life.jp"
2,"有限会社　アーデンホームいわき
代表者: 横山　美寿","〒971-8151
いわき市小名浜岡小名字沖５－１
TEL: 0246-88-9244"
3,"株式会社　アーバン
代表者: 竹中　淳","〒971-8101
いわき市小名浜字辰巳町22-1
TEL: 0246-84-7280"
4,"株式会社　アーバン土地企画
代表者: 丹野　典夫","〒960-8001
福島市天神町１６－２１
TEL: 024-597-6300"
5,"有限会社　アーバンプラン
代表者: 小林　潤子","〒960-8051
福島市曽根田町６－７
TEL: 024-522-0273"
6,"株式会社　アイエス地所
代表者: 石井　俊雄","〒963-0714
郡山市中田町赤沼字中井田238-2
TEL: 0249-43-4881"
7,"アイエスホールディングス　株式会社
代表者: 鈴木　辰次郎","〒963-8861
郡山市鶴見坦３丁目4-6
TEL: 024-983-4111"
8,"アイエスホールディングス　株式会社
須賀川駅前店
代表者: 鈴木　辰次郎","〒962-0858
須賀川市栄町314
TEL: 0248-94-8740"
9,"アイエスホールディングス　株式会社
白河店
代表者: 鈴木　辰次郎","〒961-0973
白河市北登り町21-41号室
TEL: 0248-21-6882"
10,"アイエスホールディングス　株式会社
矢吹店
代表者: 鈴木　辰次郎","〒969-0222
西白河郡矢吹町八幡町432番地1
TEL: 0248-29-8533"
11,"アイエスホールディングス　株式会社
本宮店
代表者: 鈴木　辰次郎","〒969-1104
本宮市荒井字関畑78番地10
TEL: 0243-24-5172"
12,"有限会社　アイ住研
代表者: 今川　浩人","〒971-8165
いわき市小名浜愛宕町10-5
TEL: 0246-92-3632
HP: http://www.zennichi.net/m/i-juken/indx.asp
Mail: i-juken@flute.ocn.ne.jp"
13,"愛’Ｓ不動産　株式会社
代表者: 白井　篤樹","〒960-8003
福島市森合字後口5-48
TEL: 024-572-7003"
14,"有限会社　アイティユウ
代表者: 矢吹　匡志","〒970-8026
いわき市平字２－５５－１
TEL: 0246-37-4321"
15,"アイナル　有限会社
代表者: 矢吹　匠","〒973-8402
いわき市内郷御厩町４丁目１１０－１
TEL: 0246-45-2344
HP: http://inal-f.com
Mail: inal@poppy.ocn.ne.jp"
16,"有限会社　アイハウス
代表者: 横田　正一","〒963-8002
郡山市駅前１丁目５－７　メルセデス郡山１Ｆ
TEL: 024-921-0102
HP: http://www.apaman-i-house.com/
Mail: i-house@ams.odn.ne.jp"
17,"ＩＶＹ　ＨＯＵＳＥ　株式会社
代表者: 宇佐美　靜","〒970-8026
いわき市平字五色町６３
TEL: 0246-84-7312"
18,"株式会社　アオキマネジメント
代表者: 菅原　治","〒963-0101
郡山市安積町日出山３丁目71
TEL: 024-944-9238"
19,"赤沼不動産　株式会社
代表者: 赤沼　武臣","〒969-0403
岩瀬郡鏡石町久来石字南町４７０番地１
TEL: 0248-62-6515"
20,"赤井田造園土木　株式会社
代表者: 赤井田　貴之","〒962-0034
須賀川市一里坦９５
TEL: 0248-76-4171"
21,"株式会社　アクシア
代表者: 遊佐　秀徳","〒963-8873
郡山市愛宕町7番14号
TEL: 024-905-8211"
22,"株式会社　アサヒエステート
代表者: 渡邊　武雄","〒963-8042
郡山市不動前１丁目65
TEL: 024-921-5521"
23,"朝日住宅　株式会社
代表者: 梅宮　茂","〒962-0821
須賀川市桜岡77-3
TEL: 0248-72-5951
HP: https://asahijutaku.co.jp/
Mail: asahijutaku@nifty.com"
24,"株式会社　アサヒ都市開発
代表者: 柴田　多田男","〒962-0061
須賀川市北山寺町236
TEL: 0248-72-4677"
25,"アシスト
代表者: 木田　正三","〒971-8169
いわき市小名浜南君ケ塚町５－１２　１Ｆ事務所
TEL: 0246-73-7133
HP: http://www.zennichi.net/m/iwakiassist/index.asp
Mail: asisuto@sweet.ocn.ne.jp"
26,"株式会社　アスリート２１
代表者: 大和田　俊一","〒963-8025
郡山市桑野１丁目15-3　MY第一ビル1F
TEL: 024-973-6977
HP: https://www.zennichi.net/m/athlete/
Mail: athlete@ninus.ocn.ne.jp"
27,"有限会社　我妻不動産
代表者: 我妻　秀衛","〒963-0203
郡山市静町５番７号
TEL: 0249-52-1171"
28,"有限会社　アトム不動産
代表者: 桑原　賢治","〒963-8071
郡山市富久山町久保田字本木４４
TEL: 024-991-4160"
29,"アドレス　株式会社
代表者: 高尾　昇","〒970-8051
いわき市平六町目６－３－１８
TEL: 0246-35-0024"
30,"アドレス　株式会社
いわき泉店
代表者: 高尾　昇","〒971-8182
いわき市泉町滝尻字六百町7
TEL: 0246-84-5404"
31,"アドレス　株式会社
郡山富田店
代表者: 高尾　昇","〒963-8044
郡山市備前舘１丁目50アビラックトミタ103
TEL: 024-983-1645"
32,"アドレス　株式会社
二本松店
代表者: 高尾　昇","〒964-0916
二本松市向原266-5栗本ハイツ101
TEL: 0243-24-7078"
33,"アドレス　株式会社
南相馬店
代表者: 高尾　昇","〒975-0002
南相馬市原町区東町１丁目89番地
TEL: 024-426-4140"
34,"アドレス　株式会社
伊達店
代表者: 高尾　昇","〒960-0671
伊達市保原町字東野崎106-1シャインKANNO1階-101
TEL: 0245-73-6513"
35,"アドレス　株式会社
田村店
代表者: 高尾　昇","〒963-4312
田村市船引町船引字反田80
TEL: 0247-61-5145"
36,"アドレス　株式会社
会津若松店
代表者: 高尾　昇","〒965-0875
会津若松市米代２丁目1-10セレッソよねだい1-南号室
TEL: 0242-23-8028"
37,"アドレス　株式会社
喜多方店
代表者: 高尾　昇","〒966-0819
喜多方市字一丁目4552岩田ビル1階
TEL: 0241-23-8277"
38,"アドレス　株式会社
福島店
代表者: 高尾　昇","〒960-8074
福島市西中央５丁目33-2グランリレイユ西中央103号室
TEL: 024-597-7807"
39,"アドレス賃貸　株式会社
代表者: 武田　淳","〒970-8034
いわき市平上荒川字長尾７４－８アドレスいわき中央ビル１０３
TEL: 0246-29-0036"
40,"株式会社　数多
代表者: 鈴木　康憲","〒963-8002
郡山市駅前２丁目5-18和光第2ビル3階
TEL: 024-927-1033"
41,"有限会社　アモーレ
代表者: 滝田　アヤ子","〒963-8831
郡山市七ッ池町１－２ヴィラオ－トリ１０５
TEL: 024-935-4539"
42,"有限会社　あゆり不動産
代表者: 深谷　壽夫","〒969-0213
西白河郡矢吹町本町３番地
TEL: 0248-42-3396
Mail: mozayuri@gray.plala.or.jp"
43,"アンカーエステート
代表者: 久保　靖人","〒971-8185
いわき市泉町３丁目11-2
TEL: 0246-84-6457"
44,"イーコンセプト　株式会社
福島支店
代表者: 熊谷　章","〒960-8035
福島市本町2-2
TEL: 024-597-7951"
45,"イーコンセプト　株式会社
須賀川営業所
代表者: 熊谷　章","〒962-0013
須賀川市岡東町２２
TEL: 0248-94-8101"
46,"株式会社　Ｅ．ｓｕｍａｉ
代表者: 外崎　敦子","〒962-0847
須賀川市諏訪町70番地4
TEL: 0248-94-4170"
47,"イガラシ不動産
代表者: 五十嵐　幸成","〒963-7808
石川郡石川町大字双里字七鍬石７１
TEL: 0247-26-5072
HP: 2071web.net
Mail: kousei@igarashifudousan.pla-pla.jp"
48,"株式会社　石井工務店
代表者: 石井　一夫","〒963-1155
郡山市田村町守山字三ノ丸３３
TEL: 0249-55-3447
HP: http://www.ishiikomuten.jp/
Mail: fudousan@ishiikoumuten.com"
49,"株式会社　石原不動産
代表者: 石原　幸一","〒965-0037
会津若松市中央１丁目5-29B.STEP203
TEL: 0242-23-4122"
50,"有限会社　伊豆屋住宅不動産
代表者: 熊田　春夫","〒969-0213
西白河郡矢吹町本町１８１－１５
TEL: 0248-44-3843"
51,"有限会社　いちい住宅
代表者: 河治　勝一","〒963-0201
郡山市大槻町字古屋敷45-1
TEL: 024-983-0488"
52,"有限会社　イツキ開発
代表者: 大内　誠","〒963-0213
郡山市逢瀬町多田野字宮南116-2
TEL: 0249-57-3756"
53,"株式会社　伊藤建築工業
代表者: 菅野　克樹","〒963-8061
郡山市富久山町福原字三斗蒔田35
TEL: 024-933-6574"
54,"株式会社　イトハン
代表者: 藤原　茂","〒970-8026
いわき市平字作町二丁目６－３
TEL: 0246-84-8955
Mail: itohan@palette.plala.or.jp"
55,"株式会社　イリタニ
代表者: 入谷　康之","〒969-6515
河沼郡会津坂下町字福原前甲4062
TEL: 0242-23-4150"
56,"いろはコンサルタント　株式会社
代表者: 渡邊　孝彦","〒960-8224
福島市舘ノ前２２－２
TEL: 024-573-0168
HP: http://www.168consultant.co.jp
Mail: info@168consultant.co.jp"
57,"岩根不動産
代表者: 大塚　一成","〒969-1128
本宮市本宮字舘町１７０－２
TEL: 0243-34-3470"
58,"いわき住宅情報
代表者: 和田　理夫","〒970-8034
いわき市平上荒川字堀ノ内１１－３
TEL: 0246-84-9355
HP: http://www.zennichi.net/m/iwaki-jj/index.asp#pg_top
Mail: iwaki-jj@comet.ocn.ne.jp"
59,"株式会社　いわき中央地所
代表者: 大浦　卓彦","〒971-8127
いわき市小名浜玉川町南1番地15
TEL: 0246-38-8733"
60,"株式会社　いわき土地建物
代表者: 吉田　弘志","〒970-8026
いわき市平字倉前１１２－１３
TEL: 0246-25-3719"
61,"株式会社　いわき土地建物
植田店
代表者: 吉田　弘志","〒974-8261
いわき市植田町本町２丁目５－３　　　いわき土地建物ビル１Ｆ
TEL: 0246-62-3000"
62,"株式会社　いわき土地建物
小島店
代表者: 吉田　弘志","〒973-8411
いわき市小島町２丁目９－１２
TEL: 0246-26-0303"
63,"株式会社　いわき土地建物
小島東店
代表者: 吉田　弘志","〒973-8411
いわき市小島町２丁目9-13
TEL: 0246-27-0331"
64,"株式会社　いわき土地建物
双葉店
代表者: 吉田　弘志","〒979-1112
双葉郡富岡町中央２丁目117-2
TEL: 0240-23-7525"
65,"いわきベースエステート　株式会社
代表者: 髙橋　梨枝子","〒970-0222
いわき市平沼ノ内諏訪原２丁目5-8
TEL: 0246-84-6138
Mail: info@iwaki-base.com"
66,"株式会社　いわきライフ
代表者: 鈴木　栄一","〒970-8026
いわき市平字五色町７７－１
TEL: 0246-22-8807"
67,"株式会社　Ｗｉｔｈ
代表者: 臼井　尚美","〒979-0204
いわき市四倉町細谷字北江添１０４－３
TEL: 0246-68-8755"
68,"植田工業所
代表者: 松崎　勢司","〒963-0101
郡山市安積町日出山３丁目29番地
TEL: 024-944-2310"
69,"株式会社　内山不動産
代表者: 内山　正人","〒971-8101
いわき市小名浜字林ノ上19-3
TEL: 0246-92-1026"
70,"有限会社　ＡＳＰ
代表者: 小峯　利充","〒960-8021
福島市霞町9-9
TEL: 024-533-4624"
71,"有限会社　エー・ジー・エス
代表者: 七海　由紀","〒963-0107
郡山市安積３丁目３１７－１
TEL: 024-946-0059"
72,"株式会社　エコフレンズ
代表者: 紺野　宏","〒960-0211
福島市飯坂町湯野字暮坪6
TEL: 024-572-6340"
73,"株式会社　エスアンドシー
代表者: 谷　洋","〒963-8041
郡山市富田町字稲川原６９番地２
TEL: 024-983-4141"
74,"株式会社　Ｓ・ガイア
代表者: 鈴木　洋幸","〒970-8026
いわき市平字九品寺町6-20
TEL: 0246-68-8718"
75,"合資会社　ＳＫＫ
代表者: 酒井　幸子","〒975-0038
南相馬市原町区日の出町５３１
TEL: 0244-23-1213"
76,"有限会社　エス・ケーコーポレーション
代表者: 北澤　卓","〒970-8026
いわき市平字七軒町２９番地
TEL: 0246-23-7727"
