,name,details
0,"アーク
代表者: 増崎　満","〒855-0071
島原市宇土町乙８１８番地
TEL: 0957-62-2383"
1,"株式会社　アース企画
代表者: 浦上　輝之","〒853-0064
五島市三尾野３丁目６－７
TEL: 0959-74-2675"
2,"アースコンサル　有限会社
代表者: 池田　恵一","〒857-0054
佐世保市栄町５－８
TEL: 0956-23-9459"
3,"株式会社　ＲＩＧ
長崎支店
代表者: 八木　剛","〒850-0023
長崎市出来大工町４６番地
TEL: 095-895-9883"
4,"相川工務店　株式会社
代表者: 相川　透","〒854-0055
諫早市栗面町８１３番地
TEL: 0957-56-8265
HP: http://www.aikawa-k.co.jp/
Mail: aikawa-k@aikawa-k.co.jp"
5,"相川工務店　株式会社
南島原支店
代表者: 相川　透","〒859-2215
南島原市西有家町長野４５８－１
TEL: 0957-82-4144"
6,"アイコー地建
代表者: 山本　和彦","〒853-0001
五島市栄町３－７
TEL: 0959-74-2111"
7,"有限会社　あい緑化
代表者: 原口　末丸","〒852-8042
長崎市白鳥町６－５５
TEL: 095-848-3857"
8,"あおい宅建　有限会社
代表者: 谷村　萬澄","〒857-0033
佐世保市城山町３－２４
TEL: 0956-24-7500
HP: http://www.aoi45.com"
9,"株式会社　アクシス
代表者: 福田　美樹","〒857-0062
佐世保市金比良町２－１３シュラインコート２０６号
TEL: 0956-22-1137"
10,"株式会社　アクセルホーム
代表者: 野田　啓介","〒859-3224
佐世保市重尾町２３３ー１
TEL: 0956-39-2299"
11,"有限会社　アサダ建設
代表者: 浅田　久太","〒859-3701
東彼杵郡波佐見町折敷瀬郷１０７９－３
TEL: 0956-85-3888"
12,"株式会社　朝日テック
代表者: 池田　修","〒850-0976
長崎市毛井首町５０６番地
TEL: 095-878-5710"
13,"有限会社　飛鳥不動産
代表者: 本浦　修一","〒856-0828
大村市杭出津２丁目１ー４
TEL: 0957-52-5615"
14,"株式会社　アトリエ・プランニング
代表者: 林田　佐重喜","〒856-0817
大村市古賀島町５０１－５
TEL: 0957-27-3333"
15,"アルカス・ハウジング
代表者: 譜久山　斉","〒857-0863
佐世保市三浦町４－１０Ｙビル２階
TEL: 0956-37-3900"
16,"株式会社　アルファーホーム
佐世保大村店
代表者: 辻　真由美","〒859-3213
佐世保市権常寺町１丁目12-1松本ハイツ106
TEL: 0956-55-8721"
17,"合同会社　Ｅ．Ｈ．リアルエステート
代表者: 堀本　榮一","〒853-0002
五島市中央町３ー２６ササキビル２階
TEL: 0959-72-7673"
18,"ｅｍ．不動産　合同会社
代表者: 金﨑　浩太郎","〒851-2105
西彼杵郡時津町浦郷４３９－２５
TEL: 095-894-5595"
19,"株式会社　飯盛グリーン開発
代表者: 植松　将志","〒854-1101
諫早市飯盛町野中１５－３
TEL: 0957-28-4001"
20,"有限会社　イケザキ
代表者: 池崎　和明","〒850-0954
長崎市新戸町２丁目４－３
TEL: 095-879-0073"
21,"池田建築設計事務所
代表者: 池田　秀則","〒859-1311
雲仙市国見町土黒甲１０１番地
TEL: 0957-78-3675"
22,"いざき不動産
代表者: 伊﨑　俊郎","〒859-2212
南島原市西有家町須川１８１４番地
TEL: 0957-82-5824"
23,"株式会社　市場建築
代表者: 市場　和浩","〒851-3406
西海市西彼町鳥加郷８－７
TEL: 0959-28-1234"
24,"出口興業　株式会社
代表者: 出口　敬介","〒853-0015
五島市東浜町１丁目４－１６
TEL: 0959-72-3344"
25,"イニシャル不動産
代表者: 山口　将仁","〒859-4501
松浦市志佐町浦免１７２４番地
TEL: 0956-76-7202"
26,"株式会社　イレブン
代表者: 山口　智英","〒859-3226
佐世保市崎岡町８５３－１２
TEL: 0956-59-8472"
27,"有限会社　イレブンハウス
代表者: 辻　登志美","〒854-0073
諫早市中尾町５－１６
TEL: 0957-26-1317"
28,"岩本不動産
代表者: 岩本　幸次郎","〒859-5115
平戸市新町９２ー１
TEL: 0950-23-3444"
29,"ウィズアース　株式会社
代表者: 入江　玲爾","〒852-8031
長崎市三芳町９－３０サンシャイン三芳１０１号
TEL: 095-870-7755"
30,"株式会社　ウィズエステート
代表者: 百武　太一郎","〒857-0033
佐世保市城山町３番２３号
TEL: 0956-37-2103"
