,name,details
0,"有限会社　アート不動産
代表者: 末永　卓","〒895-0076
薩摩川内市大小路町２６番８号アートビル　１Ｆ
TEL: 0996-25-4860
HP: http://www.artfudosan.com/
Mail: artfudousan@soleil.ocn.ne.jp"
1,"有限会社　アートハウス国分
代表者: 本村　勝江","〒899-4332
霧島市国分中央１丁目８－２７古川ハイツ１Ｆ
TEL: 0995-46-8515"
2,"アイアム　株式会社
代表者: 原口　秀一","〒890-0051
鹿児島市高麗町３－６
TEL: 099-258-6123"
3,"株式会社　あいハウジング
代表者: 川﨑　廣明","〒899-2701
鹿児島市石谷町１８６８番地１２
TEL: 099-278-1111"
4,"有限会社あいら産業
代表者: 岩崎　直美","〒892-0824
鹿児島市堀江町１番２１号
TEL: 099-223-2030"
5,"株式会社アイリード
代表者: 岸本　将明","〒892-0815
鹿児島市易居町２番４号リードインＡＩＳビル４階
TEL: 099-805-7628"
6,"株式会社　あおぞら
代表者: 千葉　祐輔","〒890-0082
鹿児島市紫原３丁目１番１号
TEL: 099-259-5122"
7,"旭福泉　株式会社
代表者: 芦原　典和","〒892-0844
鹿児島市山之口町４－２６ラフィネ天文館７Ｆ
TEL: 099-239-1051"
8,"株式会社　アズマ建設
代表者: 古屋敷　正巳","〒899-7306
曽於郡大崎町永吉８１９１番地５
TEL: 0994-76-3557"
9,"株式会社　アスポート
代表者: 今井　修","〒891-0133
鹿児島市平川町７９５－６
TEL: 099-261-4914"
10,"株式会社　アドヴァンス
代表者: 東　正臣","〒899-5421
姶良市東餅田２３６９番地８東ビル内
TEL: 0995-65-1151"
11,"株式会社　アパートナー
鹿児島店
代表者: 照井　亮二","〒892-0833
鹿児島市松原町１５－２２　　　　パリオス天文館１Ｆ
TEL: 099-222-6185"
12,"株式会社　アパートナー
鹿児島ベイサイド店
代表者: 照井　亮二","〒892-0817
鹿児島市小川町１１－６サムティ鹿児島駅前ベイサイドⅡ－1階
TEL: 099-295-4133"
13,"株式会社　アパネットコム
代表者: 林　清彦","〒899-4343
霧島市国分野口西２－４８
TEL: 0995-47-2662"
14,"株式会社　アパネットコム
姶良店
代表者: 林　清彦","〒899-5433
姶良市西宮島町１－７
TEL: 0995-73-8855"
15,"有限会社　奄美
代表者: 吉村　貞孝","〒899-2708
鹿児島市四元町１５３９番地５
TEL: 099-278-5858
HP: www.amami.-.com
Mail: mail@amami-e.com"
16,"奄美アイランドホーム株式会社
代表者: 池山　正穂","〒894-0104
大島郡龍郷町浦４６６－３
TEL: 0997-57-1717"
17,"株式会社　アミュゼ・クリエイト
代表者: 南原　裕樹","〒899-4332
霧島市国分中央３丁目４２－８－１０４翔陽Ａ
TEL: 0995-47-0064"
18,"綾織不動産
代表者: 綾織　尚三","〒899-6201
姶良郡湧水町木場１２８９
TEL: 0995-54-1100"
19,"有村不動産
代表者: 有村　正己","〒899-4351
霧島市国分新町２丁目１４－２２
TEL: 0995-46-4708"
20,"＆地域おこし不動産
代表者: 塚脇　竹俊","〒891-0406
指宿市湯の浜１丁目２－３
TEL: 080-6600-0905"
21,"合同会社　塩梅
代表者: 久保　力也","〒890-0046
鹿児島市西田２丁目１２－２８山下ビル１号棟　２階
TEL: 099-203-0858"
22,"株式会社　石原建設
代表者: 石原　良一","〒899-2101
いちき串木野市湊町２丁目３３
TEL: 0996-36-2207"
23,"今村不動産
代表者: 今村　春男","〒899-4301
霧島市国分重久２１８４－２
TEL: 0995-45-1611"
24,"（株）イリアス
代表者: 徳留　弘孝","〒893-0064
鹿屋市西原４丁目１４番３６号
TEL: 0994-43-6868"
25,"いろどり不動産
代表者: 大山　利貴","〒899-5431
姶良市西餅田３６０４－１
TEL: 080-6423-8830"
26,"有限会社　岩下不動産
代表者: 岩下　博子","〒899-5241
姶良市加治木町木田３９００－１
TEL: 0995-62-3723"
27,"有限会社　岩元不動産
代表者: 圖師　夏美","〒899-6405
霧島市溝辺町崎森９５７－１０
TEL: 0995-58-2688"
28,"イワタホーム　株式会社
代表者: 岩田　正稔","〒899-5121
霧島市隼人町神宮４丁目１６－２
TEL: 0995-64-2733"
29,"株式会社　ＩＮＦＩＮＩＴＹ
代表者: 山口　和樹","〒892-0847
鹿児島市西千石町１７番２７号ワイエム殖産ビル６Ｆ
TEL: 099-295-0774"
30,"株式会社　ウィッシュ
代表者: 八反田　忠弘","〒890-0052
鹿児島市上之園町２０番地２３ＷＩＳＨビル
TEL: 099-203-0155
HP: http://wishinc.com/"
31,"うえの不動産
代表者: 上野　政利","〒891-0104
鹿児島市山田町２０３－１
TEL: 099-264-6502"
32,"有限会社　魚牧
代表者: 宮元　慎吾","〒892-0838
鹿児島市新屋敷町３－２８
TEL: 099-222-3988"
33,"有限会社　魚牧
天文館店
代表者: 宮元　慎吾","〒892-0844
鹿児島市山之口町９番２４号
TEL: 099-222-7939"
34,"内村商事
代表者: 内村　政信","〒897-0302
南九州市知覧町郡１７２０３－３
TEL: 0993-83-2082"
35,"うみかぜ不動産
代表者: 柏村　考兵","〒891-7101
大島郡徳之島町亀津７６２２番地
TEL: 0997-82-0063"
36,"株式会社エース不動産
代表者: 野間口　俊輔","〒899-4351
霧島市国分新町１丁目２０番２７号
TEL: 0995-55-8191"
37,"エービーシーホーム
代表者: 坪山　正子","〒899-7103
志布志市志布志町志布志２丁目１５－１６
TEL: 099-473-8133"
38,"エイコー住宅産業　有限会社
代表者: 福田　英光","〒890-0034
鹿児島市田上３丁目５番２１号
TEL: 099-812-8878
HP: http://eiko-jutaku.net
Mail: eikou-jutaku@river.ocn.ne.jp"
39,"栄地不動産
代表者: 内田　栄子","〒896-0078
いちき串木野市生福９８４２番地８
TEL: 0996-24-8276"
40,"株式会社　エキデン
代表者: 益田　孝弘","〒899-5431
姶良市西餅田３０８２番地２７
TEL: 0995-65-0711"
41,"株式会社　江口土木
代表者: 江口　まさよ","〒892-0861
鹿児島市東坂元４丁目１７－７
TEL: 099-248-0994"
42,"株式会社　ＳＫホーム
代表者: 池脇　伸治","〒890-0055
鹿児島市上荒田町４２－９－３０３
TEL: 099-230-7157"
43,"有限会社　ＭＳＩコーポレーション
代表者: 久保　勇","〒890-0054
鹿児島市荒田１丁目３２番１０号
TEL: 099-253-0300
HP: msi-cop.co.jp"
44,"大田新不動産
代表者: 大田　基次","〒899-1629
阿久根市塩浜町１丁目６５
TEL: 0996-73-2702
Mail: oota@po2.synapse.ne.jp"
45,"大山不動産
代表者: 大山　健次","〒891-0113
鹿児島市東谷山１丁目５８－１５
TEL: 099-260-6223"
46,"株式会社Ｏｂａｍａ　Ｖｉｌｌａｇｅ
代表者: 有村　健弘","〒899-5106
霧島市隼人町内山田１丁目５番７号
TEL: 0995-55-0150"
47,"折田汽船株式会社
代表者: 市丸　隆二郎","〒892-0836
鹿児島市錦江町７番３７号
TEL: 099-226-0479"
48,"株式会社　カインドホーム
代表者: 並木　正剛","〒890-0011
鹿児島市玉里団地１丁目８６－６Ａ－２０１
TEL: 099-248-7012"
49,"鹿児島物産　株式会社
代表者: 濱田　操","〒899-3309
日置市吹上町与倉3119番地1
TEL: 099-296-6024"
50,"株式会社建築工房Ｗｏｒｋ・Ｓｐａｃｅ
代表者: 大城　孝一","〒891-0175
鹿児島市桜ヶ丘２丁目２－１６
TEL: 099-297-6042"
51,"川﨑産業　株式会社
代表者: 川﨑　弘一","〒896-0016
いちき串木野市桜町１１５番地
TEL: 0996-32-2726"
52,"株式会社　感動
代表者: 渡邊　孝太郎","〒890-0032
鹿児島市西陵３丁目２８－２２　　　２階
TEL: 099-296-8881"
53,"株式会社　感動
姶良支店
代表者: 渡邊　孝太郎","〒899-5431
姶良市西餅田１３４－１４
TEL: 0995-73-3778"
